İlçe,Λ_ithalat (50 yıl),Yorum
Kartal (İstanbul),289.6,Yüksek ithalat baskısı
Fethiye (Muğla),89.5,Orta ithalat baskısı
Hopa (Artvin),1.4,Düşük ithalat baskısı
Zonguldak,0.2,Çok düşük (< 1 beklenen vaka/50 yıl)
Eğirdir (Isparta),0.1,Çok düşük (< 1 beklenen vaka/50 yıl)
