district_label,Erken,Geç,delta
Eğirdir (Isparta),5.8,6.5,0.7
Fethiye (Muğla),6.4,8,1.6
Hopa (Artvin),4.7,5.5,0.8
Kartal (İstanbul),7.1,8.3,1.2
Zonguldak,4.9,5.9,1
