Terim,Katsayı,SE,p
Sabit,-29.1607,23.0148,0.206
T_sezon,0.2961,2.2429,0.895
T_sezon²,0.0105,0.0545,0.848
RH_sezon,0.1503,0.0068,<0.0000000000000002
log₁₀(Λ+1),8.1078,0.3182,<0.0000000000000002
