İlçe,2020'ler,2030'lar,2040'lar,2050'ler,2060'lar,2070'ler
Kartal (İstanbul),0.00644312831197342,0.006535867592185169,0.00967229810882177,0.013177528645615217,0.021817400679149453,0.01854506924929131
Fethiye (Muğla),1.0799224281488051e-7,7.340065488858905e-7,2.1506313365726726e-7,3.864755073967885e-7,1.0495857281855868e-6,1.1723451966427767e-6
Zonguldak,5.628820424430358e-7,1.0314959617563346e-7,8.207887124522806e-7,3.7912175412380122e-6,8.560434567606024e-6,1.0425331252746547e-5
Hopa (Artvin),9.129320364631433e-6,6.6786268084095825e-6,1.051481626742623e-5,3.831631909507749e-5,8.582079700505396e-5,1.3655964818816885e-4
Eğirdir (Isparta),1.1563194846075931e-12,1.785818160016106e-11,8.051037614364987e-12,3.270914650244094e-11,7.327755069397311e-11,2.021599554424824e-11
