parameter,PRCC,p_value,ci_lo,ci_hi
m,0.644683975777839,2.3577302614595733e-235,0.618325117770627,0.669594120453576
beta_vh,0.5290200350596483,1.2182948271761883e-144,0.4967064542807599,0.5598690371420196
beta_hv,0.5135664713862665,4.993016505965517e-135,0.48055282975528596,0.545126552233854
T_C,0.869991520837927,0,0.8589131271583297,0.880256054492601
RH,0.5058729277845487,2.0056946856368944e-130,0.4725191056200521,0.5377797337282131
ip_days,0.3984365620686187,4.460300522189282e-77,0.36090847957567596,0.4346763734153963
