district_label,p_mean,p_lo,p_hi,Lambda
Kartal (İstanbul),4.84e-01,4.84e-01,4.84e-01,289.6
Hopa (Artvin),2.28e-03,2.28e-03,2.28e-03,1.4
Zonguldak,1.98e-04,1.98e-04,1.98e-04,0.2
Fethiye (Muğla),3.14e-05,3.14e-05,3.14e-05,89.5
Eğirdir (Isparta),1.45e-09,1.45e-09,1.45e-09,0.1
