country,gbd_match,w_c_norm,rate_pp,contribution_pct,ssp
Brazil,Brazil,0.0019185330836344,0.0803641038803692,42.616964942230446,ssp585
Mexico,Mexico,0.00229223924362511,0.0140237653679122,8.885373712852203,ssp585
Malaysia,Malaysia,0.00191105685793935,0.00746176061063589,3.941540909382762,ssp585
Thailand,Thailand,8.517826568556983e-4,0.0166403720921046,3.9178061589866178,ssp585
Argentina,Argentina,9.990933669528092e-4,0.0134385765258293,3.711166700071125,ssp585
Colombia,Colombia,0.00153474731414582,0.0084075279256971,3.566615714699548,ssp585
Nicaragua,Nicaragua,2.533506755385205e-5,0.4907233202824612,3.4364488340852226,ssp585
Peru,Peru,2.979297582809465e-4,0.0412499069483323,3.3969407796914104,ssp585
India,India,0.00487605747316656,0.001876001001118,2.5284420242937204,ssp585
Jordan,Jordan,0.01039384596182459,8.211306162931e-4,2.35906354701511,ssp585
Bangladesh,Bangladesh,4.7502169496808704e-4,0.016806337035617,2.206671225172487,ssp585
Costa Rica,Costa Rica,1.5526927293377376e-4,0.0348804646292012,1.4969899991251872,ssp585
Indonesia,Indonesia,0.003143001571912,0.0016203982772224,1.4077239169048152,ssp585
Kuwait,Kuwait,0.00905082766147111,5.359086816417e-4,1.340695668697792,ssp585
Yemen,Yemen,8.288716426289417e-4,0.0056676838280641,1.2985061627819796,ssp585
Lebanon,Lebanon,0.00679671160346217,6.688393696929e-4,1.2565268973859671,ssp585
Bolivia,Bolivia (Plurinational State of),6.457133888145547e-5,0.0691782390433418,1.2346970556510724,ssp585
Seychelles,Seychelles,1.8285524714850012e-5,0.1899670052919565,0.9601447727405868,ssp585
Guatemala,Guatemala,8.431005883066117e-5,0.0409283810438969,0.953795077422265,ssp585
Panama,Panama,1.5202895675163597e-4,0.0222932429016531,0.9368081957926216,ssp585
Sri Lanka,Sri Lanka,1.576314881657902e-4,0.021077189117915,0.918346946291173,ssp585
Philippines,Philippines,0.00255282497628787,9.798585825446e-4,0.6914098454027304,ssp585
Ecuador,Ecuador,2.7719544500096944e-4,0.0084514541443802,0.6475430509486537,ssp585
Pakistan,Pakistan,0.003310972389575,6.92165528661e-4,0.6334562771517765,ssp585
Singapore,Singapore,6.642338982907048e-4,0.0033655099470306,0.6179068819301475,ssp585
