district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,99.58200854088665,0.04938217146431991,0.04909789135978642,0.049646453781078806,0.01584226282772277,0.01584226282772277,0.01584226282772277,8.251951878721077e-5,8.203322084118032e-5,8.297160228833728e-5,0.002821001348536258,0.002804003348616055,0.0028370598437042005
TUR.39.3_1,albopictus,2025,2075,1.4706043039552468,5.309803319253348e-11,5.0493614844882016e-11,5.621577370273911e-11,2.3608384395997365e-4,2.3608384395997365e-4,2.3608384395997365e-4,8.676202803800735e-14,8.250628971724316e-14,9.185728557654831e-14,2.2353694230687834e-10,2.1282010678982851e-10,2.3636733825209103e-10
TUR.40.25_1,albopictus,2025,2075,257.72149934030216,0.03799598686972136,0.037633653608000986,0.038385861265181384,0.040409386133502354,0.040409386133502354,0.040409386133502354,6.324644363149597e-5,6.263236696768434e-5,6.390718702276229e-5,9.272082977438047e-4,9.186464722322436e-4,9.365133854600415e-4
TUR.59.4_1,albopictus,2025,2075,1308.875929077267,1.2030160067200146e-6,1.1570049130354975e-6,1.2536668422435948e-6,0.18682844344504618,0.18682844344504618,0.18682844344504618,1.9657134789270645e-9,1.890531878756177e-9,2.048476360374935e-9,7.013934105111864e-9,6.752769472870889e-9,7.307627615068999e-9
TUR.81.6_1,aegypti,2025,2075,0.9829427731099837,7.278553773587615e-5,7.112075716786681e-5,7.436691505610104e-5,1.578040942520589e-4,1.578040942520589e-4,1.578040942520589e-4,1.1893466996295015e-7,1.1621425929494222e-7,1.2151879314104365e-7,4.228049943519744e-4,4.1349564060804453e-4,4.3185667868707854e-4
