district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.06705690518671184,3.858537867424856e-4,2.390332958990271e-5,0.6281034622015411,1,0.25,31,3,4.007208264892074e-7,1.2021624794676222e-6,1.242234562116543e-5,1.242234562116543e-5,1.2021617569191179e-6
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.06705690518671184,3.858537867424856e-4,2.4911093353785496e-5,0.6545846179366359,1,0.25,29,3,4.1761520628053035e-7,1.252845618841591e-6,1.211084098213538e-5,1.211084098213538e-5,1.2528448339876874e-6
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.06705690518671184,3.858537867424856e-4,2.480168879337441e-5,0.6517097770197132,1,0.25,31,3,4.1578112347191036e-7,1.247343370415731e-6,1.2889214827629222e-5,1.2889214827629222e-5,1.2473425924364179e-6
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.06705690518671184,3.858537867424856e-4,3.0496219788345158e-5,0.8013462854757657,1,0.25,30,3,5.112455297250467e-7,1.53373658917514e-6,1.5337365891751402e-5,1.5337365891751402e-5,1.5337354130062764e-6
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.06705690518671184,3.858537867424856e-4,4.1983694702762975e-5,1.103207914941687,1,0.25,31,3,7.038241587677582e-7,2.1114724763032748e-6,2.1818548921800504e-5,2.1818548921800504e-5,2.1114702472013747e-6
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.06705690518671184,3.858537867424856e-4,4.7547177973283894e-5,1.2494033544433176,1,0.25,30,3,7.970916513125529e-7,2.3912749539376587e-6,2.3912749539376587e-5,2.3912749539376587e-5,2.391272094892649e-6
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.06705690518671184,3.858537867424856e-4,5.456147630578112e-5,1.4337240087847871,1,0.25,31,3,9.146809358709473e-7,2.744042807612842e-6,2.8355109011999367e-5,2.8355109011999367e-5,2.7440390427679873e-6
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.06705690518671184,3.858537867424856e-4,5.8387165185136425e-5,1.5342554185233497,1,0.25,31,3,9.78815649985144e-7,2.936446949955432e-6,3.0343285149539462e-5,3.0343285149539462e-5,2.9364426386013776e-6
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.06705690518671184,3.858537867424856e-4,5.0261602678958184e-5,1.3207324366221658,1,0.25,30,3,8.425968813437702e-7,2.5277906440313107e-6,2.5277906440313107e-5,2.5277906440313107e-5,2.527787449135843e-6
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.06705690518671184,3.858537867424856e-4,4.7326462954133675e-5,1.243603460048037,1,0.25,31,3,7.93391534784443e-7,2.380174604353329e-6,2.4595137578317734e-5,2.4595137578317734e-5,2.3801717717875093e-6
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.06705690518671184,3.858537867424856e-4,2.7597745537177865e-5,0.7251823004971923,1,0.25,30,3,4.62654851463384e-7,1.387964554390152e-6,1.3879645543901519e-5,1.3879645543901519e-5,1.38796359117066e-6
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.06705690518671184,3.858537867424856e-4,2.4894438036215938e-5,0.6541469635058071,1,0.25,31,3,4.1733599276775127e-7,1.2520079783032539e-6,1.2937415775800289e-5,1.2937415775800289e-5,1.2520071945854028e-6
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.06705690518671184,3.858537867424856e-4,2.6104007844751642e-5,0.6281034622015411,1.0920669637443554,0.25,31,3,4.3761349475967323e-7,1.3128404842790197e-6,1.3566018337549871e-5,1.3566018337549871e-5,1.3128396224582062e-6
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.06705690518671184,3.858537867424856e-4,2.7204550885451262e-5,0.6545846179366359,1.0920669637443554,0.25,28,3,4.560632473431957e-7,1.3681897420295872e-6,1.276977092560948e-5,1.276977092560948e-5,1.368188806027959e-6
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.06705690518671184,3.858537867424856e-4,2.7085074052801694e-5,0.6517097770197132,1.0920669637443554,0.25,31,3,4.5406031068344806e-7,1.3621809320503442e-6,1.407586963118689e-5,1.407586963118689e-5,1.362180004238489e-6
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.06705690518671184,3.858537867424856e-4,3.3303867395861886e-5,0.8013462854757657,1.0920669637443554,0.25,30,3,5.583135695787835e-7,1.6749407087363506e-6,1.6749407087363505e-5,1.6749407087363505e-5,1.6749393060289108e-6
