district_id,province_name,district_name,pi_scenario,year,lambda_import_year,q_import_year,M_climate_mean,weighted_rate_pp_year
TUR.10.4_1,Artvin,Hopa,high,2024,0.026944131977684183,0.002641189471701222,1,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2025,0.03237354371398172,0.0031770586426431713,1.203212843421189,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2026,0.031301825301810485,0.0030720445979315336,1.1633806969029414,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2027,0.032017926766901295,0.003142214173006974,1.1899957644146502,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2028,0.031057231900999495,0.0030437605259572287,1.1526531804568647,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2029,0.03522355646301339,0.003456267886044806,1.3091381969341958,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2030,0.034214728460298924,0.0033574442525194925,1.271643461350961,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2031,0.03336991525976943,0.0032746797812667205,1.2402446064479842,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2032,0.03528537003983329,0.003457421612077183,1.3095759548210726,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2033,0.03401933297255158,0.003338302401907578,1.2643812703619135,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2034,0.03272198902352649,0.003211199231254902,1.2161633774688125,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2035,0.031886311373704644,0.0031293177730227217,1.1851040655660257,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2036,0.03281922696971693,0.003216166674219312,1.2180477123792561,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2037,0.03326406964008702,0.003264309836709667,1.236310682271279,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2038,0.03430560701995355,0.0033663470135703033,1.2750211108490248,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2039,0.03550661950581876,0.003483994656400924,1.319658696687297,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2040,0.032499313954358844,0.0031848663213931427,1.206174487519587,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2041,0.034145832933127646,0.003350694968259127,1.2690828470528472,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2042,0.037814269977235006,0.003710006317796055,1.4054263040490425,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2043,0.03605339881799383,0.0035375509454264042,1.339980642797454,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2044,0.03947420955478489,0.00386706865365094,1.465040280265467,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2045,0.0388520545520113,0.0038116303970058274,1.4439972741887057,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2046,0.03507694568666768,0.003441906671207473,1.3036891684156995,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2047,0.03572261900652442,0.0035051518572908336,1.3276866707266106,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2048,0.03904837045893713,0.003825431462462725,1.4492357114231684,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2049,0.03606466620021213,0.0035386545399026526,1.3403994134586765,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2050,0.03673000740630317,0.0036038198506699315,1.36512790777173,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2051,0.03588525190883502,0.0035210814911339483,1.33373118814874,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2052,0.03615992690981281,0.0035429627048937373,1.3420341969740086,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2053,0.040470012676157,0.003970046747831191,1.5041313577260746,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2054,0.03727912155621957,0.003657598360373604,1.3855366348523184,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2055,0.039374558031238134,0.0038627921357615724,1.4634169769579046,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2056,0.039589124980712175,0.0038783044199928174,1.469305245211331,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2057,0.040779435922648585,0.004000339904260408,1.5156315845601835,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2058,0.03864535233862115,0.0037913901037530673,1.436314846178837,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2059,0.03880403164497437,0.0038069280277125417,1.4422124237858518,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2060,0.038908588237325785,0.0038117636224112017,1.4440478418841924,3.858537867424856e-4
