district_id,province_name,district_name,pi_scenario,year,month,V_TR,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.05967879665188663,4198.117435651615,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6279892517689902,1,0.25,31,3,0.0033284731667302353,0.009985419500190705,0.10318266816863729,0.10318266816863729,0.009935730724181413,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.05967879665188663,3476.7816257710115,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.520085854004514,1,0.25,29,3,0.0027565627987639458,0.008269688396291837,0.07994032116415442,0.07994032116415442,0.008235588586216203,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.05967879665188663,3855.003288168089,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.5766633896290498,1,0.25,31,3,0.0030564354616089227,0.009169306384826768,0.0947494993098766,0.0947494993098766,0.009127396487751516,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.05967879665188663,5267.450573116841,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7879489782849164,1,0.25,30,3,0.004176292864226622,0.012528878592679867,0.12528878592679868,0.12528878592679868,0.012450718951355966,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.05967879665188663,7125.0029992349955,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.0658170884747757,1,0.25,31,3,0.005649051428249321,0.016947154284747964,0.17512059427572896,0.17512059427572896,0.01680435906105837,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.05967879665188663,8281.128796694715,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.2387599814800696,1,0.25,30,3,0.0065656845985198374,0.019697053795559513,0.19697053795559513,0.19697053795559513,0.019504334241472243,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.05967879665188663,9411.109644723994,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.407791895937949,1,0.25,31,3,0.007461588772053456,0.02238476631616037,0.23130925193365712,0.23130925193365712,0.02213608643779119,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.05967879665188663,11175.099475262783,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.6716641364809814,1,0.25,31,3,0.008860166326714462,0.026580498980143384,0.27466515612814835,0.27466515612814835,0.026230346783583602,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.05967879665188663,9203.997054977232,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3768102756615694,1,0.25,30,3,0.007297379764556478,0.021892139293669434,0.21892139293669433,0.21892139293669433,0.021654245575481568,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.05967879665188663,8777.569330496097,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3130216771444592,1,0.25,31,3,0.006959286974099561,0.020877860922298683,0.2157378961970864,0.2157378961970864,0.020661427225071027,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.05967879665188663,5261.139767110427,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7870049555407285,1,0.25,30,3,0.004171289348061399,0.012513868044184197,0.12513868044184198,0.12513868044184198,0.012435895183724788,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.05967879665188663,4187.777481433127,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6264425155919956,1,0.25,31,3,0.003320275144476455,0.009960825433429365,0.1029285294787701,0.1029285294787701,0.00991138071801323,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.05967879665188663,4198.117435651615,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.6279892517689902,0.9449988234365747,0.25,31,3,0.0031454035006968574,0.009436210502090573,0.09750750852160257,0.09750750852160257,0.00939182917465664,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.05967879665188663,3476.7816257710115,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.520085854004514,0.9449988234365747,0.25,28,3,0.0026049488287268998,0.0078148464861807,0.0729385672043532,0.0729385672043532,0.0077843899627052515,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.05967879665188663,3855.003288168089,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.5766633896290498,0.9449988234365747,0.25,31,3,0.0028883281670084404,0.00866498450102532,0.08953817317726165,0.08953817317726165,0.008627551719007531,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.05967879665188663,5267.450573116841,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.7879489782849164,0.9449988234365747,0.25,30,3,0.003946592187185379,0.011839776561556136,0.11839776561556137,0.11839776561556137,0.01176996220746196,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,5,0.05967879665188663,7125.0029992349955,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.0658170884747757,0.9449988234365747,0.25,31,3,0.005338347418761719,0.016015042256285156,0.1654887699816133,0.1654887699816133,0.015887483328741903,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,6,0.05967879665188663,8281.128796694715,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.2387599814800696,0.9449988234365747,0.25,30,3,0.006204564761729235,0.018613694285187707,0.18613694285187707,0.18613694285187707,0.018441529341144514,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,7,0.05967879665188663,9411.109644723994,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.407791895937949,0.9449988234365747,0.25,31,3,0.0070511932254611045,0.021153579676383313,0.21858698998929424,0.21858698998929424,0.020931412014538298,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,8,0.05967879665188663,11175.099475262783,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.6716641364809814,0.9449988234365747,0.25,31,3,0.008372847484356117,0.02511854245306835,0.2595582720150396,0.2595582720150396,0.024805696748731676,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,9,0.05967879665188663,9203.997054977232,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.3768102756615694,0.9449988234365747,0.25,30,3,0.006896015893046452,0.020688047679139357,0.20688047679139357,0.20688047679139357,0.02047551815097759,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,10,0.05967879665188663,8777.569330496097,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.3130216771444592,0.9449988234365747,0.25,31,3,0.006576518575990345,0.019729555727971033,0.2038720758557007,0.2038720758557007,0.019536201727450297,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,11,0.05967879665188663,5261.139767110427,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.7870049555407285,0.9449988234365747,0.25,30,3,0.0039418638698838614,0.011825591609651584,0.11825591609651584,0.11825591609651584,0.011755944112482486,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,12,0.05967879665188663,4187.777481433127,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.6264425155919956,0.9449988234365747,0.25,31,3,0.003137656378636936,0.009412969135910807,0.09726734773774502,0.09726734773774502,0.009368805819871762,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,1,0.05967879665188663,4198.117435651615,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.6279892517689902,1.0754719476161918,0.25,31,3,0.0035796790908247805,0.010739037272474342,0.1109700518155682,0.1109700518155682,0.0106815796753984,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,2,0.05967879665188663,3476.7816257710115,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.520085854004514,1.0754719476161918,0.25,28,3,0.002964605607133164,0.008893816821399492,0.08300895699972859,0.08300895699972859,0.008854383822454626,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,3,0.05967879665188663,3855.003288168089,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.5766633896290498,1.0754719476161918,0.25,31,3,0.0032871102052851827,0.009861330615855549,0.10190041636384066,0.10190041636384066,0.009812867130741476,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,4,0.05967879665188663,5267.450573116841,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.7879489782849164,1.0754719476161918,0.25,30,3,0.0044914852830010565,0.01347445584900317,0.1347445584900317,0.1347445584900317,0.01338408173815786,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,5,0.05967879665188663,7125.0029992349955,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.0658170884747757,1.0754719476161918,0.25,31,3,0.006075395614669494,0.018226186844008483,0.18833726405475432,0.18833726405475432,0.018061094423891588,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,6,0.05967879665188663,8281.128796694715,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.2387599814800696,1.0754719476161918,0.25,30,3,0.007061208757575849,0.021183626272727546,0.21183626272727546,0.21183626272727546,0.020960829251248647,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,7,0.05967879665188663,9411.109644723994,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.407791895937949,1.0754719476161918,0.25,31,3,0.008024728448657339,0.024074185345972016,0.2487665819083775,0.2487665819083775,0.023786713648825675,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,8,0.05967879665188663,11175.099475262783,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.6716641364809814,1.0754719476161918,0.25,31,3,0.009528859195258794,0.02858657758577638,0.2953946350530226,0.2953946350530226,0.028181847165672735,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,9,0.05967879665188663,9203.997054977232,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.3768102756615694,1.0754719476161918,0.25,30,3,0.00784812628868275,0.02354437886604825,0.2354437886604825,0.2354437886604825,0.023269372490681395,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,10,0.05967879665188663,8777.569330496097,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.3130216771444592,1.0754719476161918,0.25,31,3,0.007484517020368851,0.022453551061106553,0.2320200276314344,0.2320200276314344,0.02220334624442688,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,11,0.05967879665188663,5261.139767110427,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.7870049555407285,1.0754719476161918,0.25,30,3,0.004486104142369885,0.013458312427109657,0.13458312427109656,0.13458312427109656,0.013368154252580866,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,12,0.05967879665188663,4187.777481433127,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.6264425155919956,1.0754719476161918,0.25,31,3,0.003570862348920022,0.010712587046760065,0.11069673281652068,0.11069673281652068,0.01065541163380379,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,1,0.05967879665188663,4198.117435651615,3.858537867424856e-4,1.082326912077247e-6,3.2469754648323246e-6,0.6279892517689902,1.0238316597676584,0.25,31,3,0.003407796078011397,0.010223388234034191,0.10564167841835331,0.10564167841835331,0.010171307033754906,0.25,1
