district_id,province_name,district_name,pi_scenario,year,month,V_TR,pi_global,seasonal_multiplier,M_climate,eta,rho,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.06705690518671184,1,0.6281034622015411,1,0.25,1.0911248368792599,31,7,0.011489182909643167,0.08042428036750217,0.35616467019893816,0.35616467019893816,0.07727523068095121,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.06705690518671184,1,0.6545846179366359,1,0.25,1.0911248368792599,29,7,0.011973572600527605,0.08381500820369324,0.3472336054153006,0.3472336054153006,0.08039864093188753,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.06705690518671184,1,0.6517097770197132,1,0.25,1.0911248368792599,31,7,0.011920986402363882,0.08344690481654717,0.3695505784732803,0.3695505784732803,0.0800600702461054,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.06705690518671184,1,0.8013462854757657,1,0.25,1.0911248368792599,30,7,0.014658117017097396,0.10260681911968178,0.4397435105129219,0.4397435105129219,0.09751825770130362,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.06705690518671184,1,1.103207914941687,1,0.25,1.0911248368792599,31,7,0.020179728794527892,0.14125810156169524,0.6255715926303647,0.6255715926303647,0.1317348178246628,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.06705690518671184,1,1.2494033544433176,1,0.25,1.0911248368792599,30,7,0.02285391584502205,0.15997741091515436,0.6856174753506615,0.6856174753506615,0.14783696166802707,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.06705690518671184,1,1.4337240087847871,1,0.25,1.0911248368792599,31,7,0.02622548412826572,0.18357838889786005,0.8129900079762373,0.8129900079762373,0.16771336885101706,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.06705690518671184,1,1.5342554185233497,1,0.25,1.0911248368792599,31,7,0.028064390971100497,0.19645073679770347,0.8699961201041154,0.8699961201041154,0.1783581929951823,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.06705690518671184,1,1.3207324366221658,1,0.25,1.0911248368792599,30,7,0.024158657692897417,0.16911060385028193,0.7247597307869225,0.7247597307869225,0.15558449738493985,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.06705690518671184,1,1.243603460048037,1,0.25,1.0911248368792599,31,7,0.022747824967365635,0.15923477477155945,0.7051825739883347,0.7051825739883347,0.14720387954979053,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.06705690518671184,1,0.7251823004971923,1,0.25,1.0911248368792599,30,7,0.013264935786287112,0.09285455050400979,0.39794807358861334,0.39794807358861334,0.08867395742962203,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.06705690518671184,1,0.6541469635058071,1,0.25,1.0911248368792599,31,7,0.011965567085338464,0.08375896959736924,0.37093257964549237,0.37093257964549237,0.080347106309401,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.06705690518671184,1.165393464128417,0.6281034622015411,0.9449988234365747,0.25,1.0911248368792599,31,7,0.012652984890664687,0.08857089423465281,0.3922425316106053,0.3922425316106053,0.08476177667741447,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.06705690518671184,1.165393464128417,0.6545846179366359,0.9449988234365747,0.25,1.0911248368792599,28,7,0.01318644105444552,0.09230508738111863,0.3692203495244745,0.3692203495244745,0.08817307978200262,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.06705690518671184,1.165393464128417,0.6517097770197132,0.9449988234365747,0.25,1.0911248368792599,31,7,0.013128528113546596,0.09189969679482618,0.4069843715199445,0.4069843715199445,0.08780335879657808,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.06705690518671184,1.165393464128417,0.8013462854757657,0.9449988234365747,0.25,1.0911248368792599,30,7,0.016142917612292466,0.11300042328604726,0.484287528368774,0.484287528368774,0.10684971794211695,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,5,0.06705690518671184,1.165393464128417,1.103207914941687,0.9449988234365747,0.25,1.0911248368792599,31,7,0.022223843552927017,0.15556690487048913,0.6889391501407375,0.6889391501407375,0.14407019085982475,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,6,0.06705690518671184,1.165393464128417,1.2494033544433176,0.9449988234365747,0.25,1.0911248368792599,30,7,0.02516891359061559,0.1761823951343091,0.7550674077184677,0.7550674077184677,0.16153496255391364,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,7,0.06705690518671184,1.165393464128417,1.4337240087847871,0.9449988234365747,0.25,1.0911248368792599,31,7,0.028882006408549623,0.20217404485984736,0.8953421986650383,0.8953421986650383,0.18304727085513517,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,8,0.06705690518671184,1.165393464128417,1.5342554185233497,0.9449988234365747,0.25,1.0911248368792599,31,7,0.03090718615202809,0.21635030306419664,0.9581227707128708,0.9581227707128708,0.19454690024067955,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,9,0.06705690518671184,1.165393464128417,1.3207324366221658,0.9449988234365747,0.25,1.0911248368792599,30,7,0.026605819854291543,0.1862407389800408,0.7981745956287463,0.7981745956287463,0.169926260179049,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,10,0.06705690518671184,1.165393464128417,1.243603460048037,0.9449988234365747,0.25,1.0911248368792599,31,7,0.025052076189507,0.175364533326549,0.776614361874717,0.776614361874717,0.1608489335224127,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,11,0.06705690518671184,1.165393464128417,0.7251823004971923,0.9449988234365747,0.25,1.0911248368792599,30,7,0.014608613458373514,0.1022602942086146,0.4382584037512054,0.4382584037512054,0.09720547110477007,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2025,12,0.06705690518671184,1.165393464128417,0.6541469635058071,0.9449988234365747,0.25,1.0911248368792599,31,7,0.013177624616973261,0.09224337231881283,0.4085063631261711,0.4085063631261711,0.08811680459031368,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,1,0.06705690518671184,1.35121251537538,0.6281034622015411,1.0754719476161918,0.25,1.0911248368792599,31,7,0.016695978988837158,0.11687185292186011,0.5175753486539519,0.5175753486539519,0.11030080178877744,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,2,0.06705690518671184,1.35121251537538,0.6545846179366359,1.0754719476161918,0.25,1.0911248368792599,28,7,0.017399889803472023,0.12179922862430416,0.48719691449721664,0.48719691449721664,0.1146739012007526,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,3,0.06705690518671184,1.35121251537538,0.6517097770197132,1.0754719476161918,0.25,1.0911248368792599,31,7,0.017323472005396284,0.12126430403777398,0.5370276321672848,0.5370276321672848,0.11420019181530527,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,4,0.06705690518671184,1.35121251537538,0.8013462854757657,1.0754719476161918,0.25,1.0911248368792599,30,7,0.021301046006323474,0.1491073220442643,0.6390313801897042,0.6390313801897042,0.1385233454981195,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,5,0.06705690518671184,1.35121251537538,1.103207914941687,1.0754719476161918,0.25,1.0911248368792599,31,7,0.029325003405689012,0.2052750238398231,0.9090751055763594,0.9090751055763594,0.18557670021527806,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,6,0.06705690518671184,1.35121251537538,1.2494033544433176,1.0754719476161918,0.25,1.0911248368792599,30,7,0.03321110837576451,0.23247775863035158,0.9963332512729354,0.9963332512729354,0.2074326230652518,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,7,0.06705690518671184,1.35121251537538,1.4337240087847871,1.0754719476161918,0.25,1.0911248368792599,31,7,0.038110641585321056,0.2667744910972474,1.1814298891449528,1.1814298891449528,0.23415424297007836,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,8,0.06705690518671184,1.35121251537538,1.5342554185233497,1.0754719476161918,0.25,1.0911248368792599,31,7,0.040782924745216526,0.2854804732165157,1.2642706671017123,1.2642706671017123,0.24834698159921453,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,9,0.06705690518671184,1.35121251537538,1.3207324366221658,1.0754719476161918,0.25,1.0911248368792599,30,7,0.03510714768937835,0.24575003382564847,1.0532144306813505,1.0532144306813505,0.21788229653682445,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,10,0.06705690518671184,1.35121251537538,1.243603460048037,1.0754719476161918,0.25,1.0911248368792599,31,7,0.03305693805066924,0.2313985663546847,1.0247650795707464,1.0247650795707464,0.20657682877388261,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,11,0.06705690518671184,1.35121251537538,0.7251823004971923,1.0754719476161918,0.25,1.0911248368792599,30,7,0.01927648736362595,0.13493541154538166,0.5782946209087785,0.5782946209087785,0.12622765452898843,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2026,12,0.06705690518671184,1.35121251537538,0.6541469635058071,1.0754719476161918,0.25,1.0911248368792599,31,7,0.017388256259603507,0.12171779381722454,0.5390359440477087,0.5390359440477087,0.1146018019050381,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,1,0.06705690518671184,1.559886660763142,0.6281034622015411,1.0238316597676584,0.25,1.0911248368792599,31,7,0.018348929955876545,0.1284425096911358,0.5688168286321729,0.5688168286321729,0.12053587837094293,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,2,0.06705690518671184,1.559886660763142,0.6545846179366359,1.0238316597676584,0.25,1.0911248368792599,28,7,0.019122530009012376,0.13385771006308664,0.5354308402523466,0.5354308402523466,0.12528548117746696,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,3,0.06705690518671184,1.559886660763142,0.6517097770197132,1.0238316597676584,0.25,1.0911248368792599,31,7,0.01903854662443747,0.1332698263710623,0.5901949453575616,0.5901949453575616,0.12477109959321642,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,4,0.06705690518671184,1.559886660763142,0.8013462854757657,1.0238316597676584,0.25,1.0911248368792599,30,7,0.023409912136224804,0.16386938495357362,0.7022973640867441,0.7022973640867441,0.15114711240099343,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,5,0.06705690518671184,1.559886660763142,1.103207914941687,1.0238316597676584,0.25,1.0911248368792599,31,7,0.03222826488980298,0.22559785422862086,0.9990762115838924,0.9990762115838924,0.20196103486036787,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,6,0.06705690518671184,1.559886660763142,1.2494033544433176,1.0238316597676584,0.25,1.0911248368792599,30,7,0.036499105667979204,0.2554937396758544,1.094973170039376,1.094973170039376,0.2254660146208468,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,7,0.06705690518671184,1.559886660763142,1.4337240087847871,1.0238316597676584,0.25,1.0911248368792599,31,7,0.041883707058454796,0.2931859494091836,1.2983949188120987,1.2983949188120987,0.25411656878220656,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,8,0.06705690518671184,1.559886660763142,1.5342554185233497,1.0238316597676584,0.25,1.0911248368792599,31,7,0.04482055410144485,0.31374387871011394,1.3894371771447904,1.3894371771447904,0.26929384640241527,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,9,0.06705690518671184,1.559886660763142,1.3207324366221658,1.0238316597676584,0.25,1.0911248368792599,30,7,0.03858285844356362,0.27008000910494534,1.1574857533069087,1.1574857533069087,0.23668158052991706,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,10,0.06705690518671184,1.559886660763142,1.243603460048037,1.0238316597676584,0.25,1.0911248368792599,31,7,0.03632967202779918,0.25430770419459425,1.1262198328617745,1.1262198328617745,0.22454684485651655,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,11,0.06705690518671184,1.559886660763142,0.7251823004971923,1.0238316597676584,0.25,1.0911248368792599,30,7,0.02118491624043105,0.14829441368301735,0.6355474872129315,0.6355474872129315,0.1378227592050083,0.25,1
TUR.10.4_1,Artvin,Hopa,high,2027,12,0.06705690518671184,1.559886660763142,0.6541469635058071,1.0238316597676584,0.25,1.0911248368792599,31,7,0.01910974471012546,0.1337682129708782,0.5924020860138892,0.5924020860138892,0.12520719326830199,0.25,1
