Model,R2,adj_R2,delta_R2,ANOVA_p
M1: T + T²,0.0166,0.0088,NA,—
M2: + RH,0.1387,0.1284,0.1221,0.00000000821
M3: + Λ_import,0.7616,0.7578,0.6228,< 0.0000000000000002
