parameter,level,value,year,lambda_total,M_climate,ssp
k,k010,0.1,2025,5.730598652854695,1.0708207413418118,ssp245
k,k010,0.1,2050,5.9230893311947135,1.1067896311832317,ssp245
k,k010,0.1,2075,6.647909905830876,1.2422299378745654,ssp245
k,k013,0.13,2025,5.844299683186347,1.0920669637443554,ssp245
k,k013,0.13,2050,6.0945375498786305,1.1388265205382009,ssp245
k,k013,0.13,2075,7.036804183763317,1.314898919236935,ssp245
k,k020,0.2,2025,6.1096020654654355,1.141641482683624,ssp245
k,k020,0.2,2050,6.49458334392811,1.2135792623664627,ssp245
k,k020,0.2,2075,7.944223914755756,1.4844598757491307,ssp245
eta,eta_low,0.15,2025,3.506579809911808,1.0920669637443554,ssp245
eta,eta_low,0.15,2050,3.656722529927178,1.1388265205382009,ssp245
eta,eta_low,0.15,2075,4.22208251025799,1.314898919236935,ssp245
eta,eta_base,0.25,2025,5.844299683186347,1.0920669637443554,ssp245
eta,eta_base,0.25,2050,6.0945375498786305,1.1388265205382009,ssp245
eta,eta_base,0.25,2075,7.036804183763317,1.314898919236935,ssp245
eta,eta_high,0.33,2025,7.71447558180598,1.0920669637443554,ssp245
eta,eta_high,0.33,2050,8.044789565839793,1.1388265205382009,ssp245
eta,eta_high,0.33,2075,9.288581522567576,1.314898919236935,ssp245
