district_label,Erken,Geç,delta
Eğirdir (Isparta),6,6.3,0.3
Fethiye (Muğla),6.7,7.2,0.5
Hopa (Artvin),4.6,5.2,0.6
Kartal (İstanbul),7.4,7.5,0.1
Zonguldak,4.8,5.6,0.8
