İlçe,2020'ler,2030'lar,2040'lar,2050'ler,2060'lar,2070'ler
Kartal (İstanbul),0.004122761446026138,0.0036235104945407694,0.007700860553355184,0.010274405213731444,0.012398472854297746,0.01591380767795596
Fethiye (Muğla),3.174512801113116e-6,4.2360899239035637e-7,2.2627520838192195e-6,5.595189810416734e-8,1.8077793309188572e-6,4.202207317339942e-5
Zonguldak,3.5181210584174226e-7,1.7924741129526912e-8,1.0573282445180631e-6,9.522987889475587e-7,4.014083809784841e-6,4.586547379972828e-6
Hopa (Artvin),1.003698439803331e-5,2.879820724379978e-7,9.898232966215547e-6,5.650339436662333e-6,4.3575294255984076e-5,6.746399336462613e-5
Eğirdir (Isparta),7.776250887658876e-12,1.481808609149482e-12,4.536789810494212e-11,2.5583198559608887e-12,3.4546213367736555e-11,1.0744243081709883e-9
