district_label,p_mean,p_lo,p_hi,Lambda
Kartal (İstanbul),3.68e-01,3.67e-01,3.69e-01,239.1
Hopa (Artvin),1.05e-03,1.04e-03,1.05e-03,1.1
Fethiye (Muğla),3.13e-04,2.94e-04,3.34e-04,73.9
Zonguldak,8.97e-05,8.91e-05,9.03e-05,0.2
Eğirdir (Isparta),7.32e-09,6.62e-09,8.08e-09,0.1
