district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,82.22722326672363,0.02497694835816476,0.024778926491945814,0.025167379053816614,0.013102551942947736,0.013102551942947736,0.013102551942947736,4.124307323383011e-5,4.0912782316789824e-5,4.156082380686282e-5,0.0017297908144459583,0.001715917888387164,0.0017430360163007827
TUR.39.3_1,albopictus,2025,2075,1.214312808208559,2.603256374911211e-10,2.3292299200505793e-10,2.905241824890936e-10,1.9494345025768524e-4,1.9494345025768524e-4,1.9494345025768524e-4,4.2536913787000236e-13,3.805926353130753e-13,4.747133520102604e-13,1.1252415654070798e-9,1.0085683547128395e-9,1.253432822911759e-9
TUR.40.25_1,albopictus,2025,2075,212.80674669449792,0.0312749781156802,0.030953598455417473,0.031599562034130155,0.03350666813931986,0.03350666813931986,0.03350666813931986,5.1873147657389194e-5,5.1332317865897086e-5,5.2419880909712235e-5,8.976956754015885e-4,8.887407660225801e-4,9.069278192010059e-4
TUR.59.4_1,albopictus,2025,2075,1080.7698581866593,1.8243611843219987e-5,1.6587425311725968e-5,2.0081008291780724e-5,0.15743667955247356,0.15743667955247356,0.15743667955247356,2.9809895262730525e-8,2.710370073223567e-8,3.2812184166255324e-8,1.0555776706002511e-7,9.622958747699492e-8,1.158307201805856e-7
TUR.81.6_1,aegypti,2025,2075,0.8116391308751508,4.9649087836040496e-5,4.8418183396875536e-5,5.093872143717426e-5,1.3030382730842648e-4,1.3030382730842648e-4,1.3030382730842648e-4,8.112767961783643e-8,7.911631785263077e-8,8.323501297410183e-8,3.421112870859291e-4,3.3365253508389054e-4,3.510122431344504e-4
