district_id,province_name,district_name,pi_scenario,year,month,V_TR,A_d,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.40.25_1,Istanbul,Kartal,high,2025,3,0.7604649293442438,7095480,11210.146706425014,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.5766633896290498,1.0920669637443554,0.25,31,3,0.012812235431236338,0.038436706293709016,0.3971792983683265,0.3971792983683265,0.03770739012184321,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,4,0.7604649293442438,7095480,15317.469086139887,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.7879489782849164,1.0920669637443554,0.25,30,3,0.017506552347778724,0.05251965704333618,0.5251965704333618,0.5251965704333618,0.05116433043139024,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,5,0.7604649293442438,7095480,20719.133794331512,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.0658170884747757,1.0920669637443554,0.25,31,3,0.023680191442286377,0.07104057432685913,0.7340859347108777,0.7340859347108777,0.06857590054496454,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,6,0.7604649293442438,7095480,24081.086776417,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.2387599814800696,1.0920669637443554,0.25,30,3,0.027522615118199444,0.08256784535459832,0.8256784535459832,0.8256784535459832,0.0792510328025191,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,7,0.7604649293442438,7095480,27367.01162134191,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.407791895937949,1.0920669637443554,0.25,31,3,0.03127814515942517,0.09383443547827548,0.9696224999421802,0.9696224999421802,0.08956651475222166,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,8,0.7604649293442438,7095480,32496.601224981023,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.6716641364809814,1.0920669637443554,0.25,31,3,0.03714082576375471,0.11142247729126412,1.151365598676396,1.151365598676396,0.10543926251321623,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,9,0.7604649293442438,7095480,26764.73910890727,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.3768102756615694,1.0920669637443554,0.25,30,3,0.030589799375453204,0.09176939812635962,0.917693981263596,0.917693981263596,0.08768449304499326,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,10,0.7604649293442438,7095480,25524.709725328677,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.3130216771444592,1.0920669637443554,0.25,31,3,0.029172552231403432,0.08751765669421029,0.9043491191735064,0.9043491191735064,0.08379730560275,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,11,0.7604649293442438,7095480,15299.117594356516,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.7870049555407285,1.0920669637443554,0.25,30,3,0.017485578167921813,0.05245673450376544,0.5245673450376543,0.5245673450376543,0.051104625403049386,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2025,12,0.7604649293442438,7095480,12177.83654940464,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.6264425155919956,1.0920669637443554,0.25,31,3,0.01391822185740551,0.04175466557221653,0.4314648775795708,0.4314648775795708,0.0408949467995221,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2026,1,0.7604649293442438,7095480,12207.90459216941,3.858537867424856e-4,1.0938085680393468e-6,3.281420320244699e-6,0.6279892517689902,1.0346927801457857,0.25,31,3,0.013219557844796581,0.039658673534389746,0.40980629318869405,0.40980629318869405,0.038882562010057686,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2026,2,0.7604649293442438,7095480,10110.29801471767,3.858537867424856e-4,1.0938085680393468e-6,3.281420320244699e-6,0.520085854004514,1.0346927801457857,0.25,28,3,0.010948125325243986,0.03284437597573196,0.3065475091068316,0.3065475091068316,0.03231085644975318,0.33,1.32
TUR.40.25_1,Istanbul,Kartal,high,2026,3,0.7604649293442438,7095480,11210.146706425014,3.858537867424856e-4,1.0938085680393468e-6,3.281420320244699e-6,0.5766633896290498,1.0346927801457857,0.25,31,3,0.012139117054477785,0.03641735116343335,0.3763126286888113,0.3763126286888113,0.03576221626585829,0.33,1.32
