district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,99.58200854088665,3.596914151667465e-4,3.377475003234293e-4,3.825773843608965e-4,0.01584226282772277,0.01584226282772277,0.01584226282772277,5.877698521447955e-7,5.519101224563459e-7,6.251697816519435e-7,1.848265877972257e-5,1.7361282383970796e-5,1.965418741921631e-5
TUR.39.3_1,albopictus,2025,2075,1.4706043039552468,0,0,0,2.3608384395997365e-4,2.3608384395997365e-4,2.3608384395997365e-4,1.5273206687724422e-19,1.4491578255077905e-19,1.6210232619654933e-19,3.9322829669286384e-16,3.735165771450297e-16,4.1670098744111116e-16
TUR.40.25_1,albopictus,2025,2075,257.72149934030216,3.9642981674437026e-7,3.8585929558465626e-7,4.0794035845448385e-7,0.040409386133502354,0.040409386133502354,0.040409386133502354,6.47761255276135e-10,6.304891577057637e-10,6.6656933730442e-10,9.220419414324492e-9,8.983892969146873e-9,9.474759064706934e-9
TUR.59.4_1,albopictus,2025,2075,1308.875929077267,2.3248900582473197e-12,2.23065177440418e-12,2.428687806421692e-12,0.18682844344504618,0.18682844344504618,0.18682844344504618,3.7993799593774734e-15,3.645817518720936e-15,3.9687127231477026e-15,1.3551376977713923e-14,1.3013328613681282e-14,1.4163701983228851e-14
TUR.81.6_1,aegypti,2025,2075,0.9829427731099837,6.043108700115595e-10,5.752884502108202e-10,6.324525209100429e-10,1.578040942520589e-4,1.578040942520589e-4,1.578040942520589e-4,9.874363421503987e-13,9.400132461776753e-13,1.0334203009754065e-12,3.4685805996133475e-9,3.307199772704331e-9,3.624119956976634e-9
