İlçe,2020'ler,2030'lar,2040'lar,2050'ler,2060'lar,2070'ler
Kartal (İstanbul),0.003097679773239596,0.005202923341992268,0.004682283550586527,0.008052857429557064,0.009733807861502549,0.007208157601146733
Fethiye (Muğla),1.2231207291435453e-7,1.4667636270004893e-7,1.044757913071237e-7,4.84609983575357e-7,2.4446693245305797e-7,9.150031336317237e-8
Zonguldak,3.896381395307458e-9,5.9357056214626176e-8,4.572717472894894e-7,1.4958541677545512e-7,5.601810163402554e-7,8.444454305071384e-7
Hopa (Artvin),3.395355219204532e-8,1.0300659805118074e-7,2.587905669837465e-6,7.166521937995717e-7,3.68844006736202e-6,1.1629794467856355e-5
Eğirdir (Isparta),6.379785588706e-13,3.022249117634601e-12,4.793498931121576e-13,5.994771345996241e-12,2.975311108599499e-11,2.4173441026675846e-12
