Model,R2,adj_R2,delta_R2,ANOVA_p
M1: T + T²,0.0074,-6e-4,NA,—
M2: + RH,0.0765,0.0653,0.0691,0.0000229
M3: + Λ_import,0.755,0.7511,0.6786,< 0.0000000000000002
