parameter,PRCC,p_value,ci_lo,ci_hi
m,0.6780014984109513,2.156012619412765e-269,0.6535936959098885,0.7010004923768649
beta_vh,0.5547747620848922,8.203401681962994e-162,0.5236777317736323,0.5843953645129107
beta_hv,0.5236724007511013,2.941068424745418e-141,0.49111403292733513,0.554769677402057
T_C,0.8993159557623923,0,0.8905901795350629,0.9073799165361934
RH,0.5183437575838726,6.01970577273842e-138,0.48554414034064763,0.5496861021465013
ip_days,0.42417255439826007,3.66588758116984e-88,0.3875468456869469,0.459461239427233
