Terim,Katsayı,SE,p
Sabit,-20.2434,36.7864,0.583
T_sezon,-0.4845,3.6629,0.895
T_sezon²,0.0345,0.0912,0.705
RH_sezon,0.0897,0.0081,<0.0000000000000002
log₁₀(Λ+1),10.7775,0.4112,<0.0000000000000002
