district_label,p_mean,p_lo,p_hi,Lambda
Kartal (İstanbul),2.86e-01,2.86e-01,2.86e-01,228.7
Hopa (Artvin),1.41e-04,1.41e-04,1.41e-04,1.1
Zonguldak,1.73e-05,1.73e-05,1.73e-05,0.1
Fethiye (Muğla),1.10e-05,1.10e-05,1.10e-05,70.7
Eğirdir (Isparta),4.10e-10,4.10e-10,4.10e-10,0.1
