district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.023339772865035243,5.5710415169940574e-12,4.89535356695825e-12,6.218406345404049e-12,1.9115857818375695e-4,1.9115857818375695e-4,1.9115857818375695e-4,4.642535322117674e-13,4.0795003606744234e-13,5.182033539282962e-13,1.455061187575583e-9,1.2788862385759715e-9,1.6238413935258191e-9,11.987555373027492,82.00079144941334
TUR.10.4_1,2026,aegypti,0.022567114876814898,3.49211004557759e-12,3.1131625055635936e-12,3.8705344485023824e-12,1.8483098352996738e-4,1.8483098352996738e-4,1.8483098352996738e-4,2.9100914423715844e-13,2.5942567217468113e-13,3.2254586950893126e-13,9.418985341032767e-10,8.396734782016117e-10,1.0439722863964108e-9,12.571779522612262,79.88245572553639
TUR.10.4_1,2027,aegypti,0.023083389962273798,3.1712010795104106e-12,2.814484756363811e-12,3.52118889601627e-12,1.890589646490933e-4,1.890589646490933e-4,1.890589646490933e-4,2.642671585582645e-13,2.345394951770912e-13,2.934292586017047e-13,8.362166543744258e-10,7.421498401938287e-10,9.284938059147171e-10,12.158861481462486,81.48944526817962
TUR.10.4_1,2028,aegypti,0.022390774658325518,0,0,0,1.831268400967756e-4,1.831268400967756e-4,1.831268400967756e-4,0,0,0,0,0,0,11.52963851721542,83.77635818627044
TUR.10.4_1,2029,aegypti,0.02539449660329965,3.0527121144564573e-6,2.826571291575375e-6,3.273368548048494e-6,2.0798528198567867e-4,2.0798528198567867e-4,2.0798528198567867e-4,2.5439268306153677e-7,2.3554761404301417e-7,2.727807197426403e-7,8.676300554743788e-4,8.032532887446461e-4,9.304239595795693e-4,13.321432067269651,80.11147806948983
TUR.10.4_1,2030,aegypti,0.02466717953822914,1.0117462423409051e-15,8.881784197001252e-16,1.1102230246251565e-15,2.0202911734032436e-4,2.0202911734032436e-4,2.0202911734032436e-4,8.519790546029068e-17,7.497192726261143e-17,9.648157572029657e-17,2.9932870071469607e-13,2.6338699739743744e-13,3.389786136972124e-13,13.04720964363671,79.66073216901783
TUR.10.4_1,2031,aegypti,0.024058109373840945,4.655464727720826e-9,4.175060258626573e-9,5.115329135274571e-9,1.970412722641183e-4,1.970412722641183e-4,1.970412722641183e-4,3.87955394147528e-10,3.4792168646505255e-10,4.262774316991741e-10,1.1778724329823686e-6,1.0563259836331163e-6,1.2942220759771156e-6,12.51264945995268,81.87432533409759
TUR.10.4_1,2032,aegypti,0.025439061236297217,1.9468134027200712e-8,1.7681079059195248e-8,2.143199394344375e-8,2.0805482105989057e-4,2.0805482105989057e-4,2.0805482105989057e-4,1.6223445022547194e-9,1.473423252403992e-9,1.7859994909436156e-9,4.664877375184867e-6,4.236670315495989e-6,5.1354497184880055e-6,13.1178748938586,78.91104306684498
TUR.10.4_1,2033,aegypti,0.024526308677413053,5.401759040069009e-13,4.882427795394052e-13,5.959732707339072e-13,2.008754891825356e-4,2.008754891825356e-4,2.008754891825356e-4,4.501466499741163e-14,4.0687473830208395e-14,4.966609597752834e-14,1.6212494717097552e-10,1.4648370572079017e-10,1.789039566953606e-10,12.991372260763812,83.02621958560312
TUR.10.4_1,2034,aegypti,0.023590985362700986,7.8332736679827e-6,7.321879260882568e-6,8.37985520166229e-6,1.9321584449516482e-4,1.9321584449516482e-4,1.9321584449516482e-4,6.527728056651288e-7,6.101566050725856e-7,6.983212668009099e-7,0.002021122055828034,0.0018891733254188096,0.0021621496823032993,12.21449005188005,80.53120984540944
TUR.10.4_1,2035,aegypti,0.022988501523995085,4.0949799107181663e-14,3.652633751016765e-14,4.552191956719298e-14,1.8828188718298758e-4,1.8828188718298758e-4,1.8828188718298758e-4,3.4126513470000737e-15,3.0471096289576643e-15,3.7969695355432955e-15,1.0843165855941214e-11,9.681714226624412e-12,1.2064276429709271e-11,11.759104741925565,83.11171585228607
TUR.10.4_1,2036,aegypti,0.023661089279628865,6.034839294954963e-15,5.3290705182007514e-15,6.772360450213455e-15,1.9351518144748262e-4,1.9351518144748262e-4,1.9351518144748262e-4,5.041824615295052e-16,4.486985291602284e-16,5.677639473205694e-16,1.5593659974388884e-12,1.3878190263660883e-12,1.7558614284762796e-12,12.044812334889738,82.43104416039154
TUR.10.4_1,2037,aegypti,0.023981799713483347,3.696909445238816e-14,3.30818705762681e-14,4.118927421359331e-14,1.9641634921688245e-4,1.9641634921688245e-4,1.9641634921688245e-4,3.080813656380279e-15,2.752557665678004e-15,3.4323604179949514e-15,9.383425064735107e-12,8.383635452524627e-12,1.0454152821193219e-11,11.991824139097897,80.47836929466888
TUR.10.4_1,2038,aegypti,0.02473269866206443,8.756935176990055e-13,7.870065710235962e-13,9.741485396119743e-13,2.0256566998697045e-4,2.0256566998697045e-4,2.0256566998697045e-4,7.297513386689999e-14,6.558531443590392e-14,8.117587890580284e-14,2.1551827287617323e-10,1.9369387783500317e-10,2.3973756914837565e-10,12.374981515918739,80.26988273766204
TUR.10.4_1,2039,aegypti,0.025598571615012736,2.6438038868814572e-8,2.3831122605844077e-8,2.9004444740410308e-8,2.0965649133318035e-4,2.0965649133318035e-4,2.0965649133318035e-4,2.20316990567979e-9,1.9859268766330955e-9,2.417037058464408e-9,6.2865937991427404e-6,5.666706633407579e-6,6.896848280155132e-6,12.797790451163618,82.29003832644784
TUR.10.4_1,2040,aegypti,0.02343044720981027,6.21772744402449e-12,5.572220462823907e-12,6.9026395710380936e-12,1.9162905270181385e-4,1.9162905270181385e-4,1.9162905270181385e-4,5.181439192534052e-13,4.643492783260832e-13,5.752182995105484e-13,1.6175663198706817e-9,1.4496276524074887e-9,1.7957438334936794e-9,11.54308981529332,81.75367790367767
