district_id,year,species,Lambda_import_year,mean_p_est_year,mean_p_local_major,p_ge1_major_year,mean_q_import_year,mean_p_month_major,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,1.6839076072160295,3.8797974347847814e-6,3.8797974347847814e-6,1.0596523339900799e-6,0.01368518125519074,8.830436190504309e-8,11.987555373027492,82.00079144941334
TUR.10.4_1,2026,aegypti,1.628162220503651,1.874432625711117e-6,1.874432625711117e-6,4.959183794728261e-7,0.013235572386613567,4.1326531619809036e-8,12.571779522612262,79.88245572553639
TUR.10.4_1,2027,aegypti,1.6654102069706798,1.766950063457053e-6,1.766950063457053e-6,4.780546827287679e-7,0.013536018248649659,3.9837890226604124e-8,12.158861481462486,81.48944526817962
TUR.10.4_1,2028,aegypti,1.6154397044325008,9.549583346313284e-16,9.549583346313284e-16,2.220446049250313e-16,0.013114444597293448,1.913994445554572e-17,11.52963851721542,83.77635818627044
TUR.10.4_1,2029,aegypti,1.832150906480269,0.014125996180520474,0.014125996180520474,0.0036347635593014793,0.014879685224977448,3.030476110480873e-4,13.321432067269651,80.11147806948983
TUR.10.4_1,2030,aegypti,1.7796767566326066,1.3176902993368895e-9,1.3176902993368895e-9,3.2135882843675745e-10,0.01445705182803538,2.677989752058561e-11,13.04720964363671,79.66073216901783
TUR.10.4_1,2031,aegypti,1.7357338318632722,6.819914814162423e-4,6.819914814162423e-4,1.922145031927336e-4,0.01410297071383492,1.6017875266067285e-5,12.51264945995268,81.87432533409759
TUR.10.4_1,2032,aegypti,1.8353661359065079,0.0016089941305563616,0.0016089941305563616,4.785173011966348e-4,0.014884618325066582,3.987644176638622e-5,13.1178748938586,78.91104306684498
TUR.10.4_1,2033,aegypti,1.7695132680873242,5.057996851721703e-7,5.057996851721703e-7,1.2036821572802836e-7,0.014375169884512234,1.0030684809086481e-08,12.991372260763812,83.02621958560312
TUR.10.4_1,2034,aegypti,1.7020319753619084,0.01535495841276196,0.01535495841276196,0.004244634007163239,0.013831311153810394,3.537195005969368e-4,12.21449005188005,80.53120984540944
TUR.10.4_1,2035,aegypti,1.6585642379041279,2.8518264202068156e-8,2.8518264202068156e-8,7.684362257620592e-9,0.013480805834837137,6.403635168524578e-10,11.759104741925565,83.11171585228607
TUR.10.4_1,2036,aegypti,1.7070898017466432,4.759008948159356e-9,4.759008948159356e-9,1.3167866796948147e-9,0.01385257135671547,1.0973222523970135e-10,12.044812334889738,82.43104416039154
TUR.10.4_1,2037,aegypti,1.7302282762469734,2.7065581232411465e-8,2.7065581232411465e-8,7.60433327418042e-9,0.01405859808357742,6.336944397675758e-10,11.991824139097897,80.47836929466888
TUR.10.4_1,2038,aegypti,1.784403801393597,5.123837905871888e-7,5.123837905871888e-7,1.48411289480066e-7,0.014495132523993473,1.2367607458461191e-8,12.374981515918739,80.26988273766204
TUR.10.4_1,2039,aegypti,1.846874420143128,0.0019184478029943377,0.0019184478029943377,5.748794538977808e-4,0.014998233074376977,4.7906623047347125e-5,12.797790451163618,82.29003832644784
TUR.10.4_1,2040,aegypti,1.6904495397287809,2.9066673898203813e-6,2.9066673898203813e-6,7.969784350247977e-7,0.0137186017299408,6.641486958605645e-8,11.54308981529332,81.75367790367767
TUR.10.4_1,2041,aegypti,1.7760931585204138,9.320307990323795e-6,9.320307990323795e-6,2.6221019203687135e-6,0.014428181527548553,2.1850855988904052e-7,12.449291294008065,79.67336199588144
TUR.10.4_1,2042,aegypti,1.966906778506467,0.002809682370142604,0.002809682370142604,8.912040984689895e-4,0.01596407821883754,7.426862571206907e-5,13.354591184173591,78.80983819471363
TUR.10.4_1,2043,aegypti,1.875315126107416,7.531837289324008e-4,7.531837289324008e-4,2.2913209475372565e-4,0.015227180158371267,1.9094341230435056e-5,12.488820983285276,81.65715652611419
TUR.10.4_1,2044,aegypti,2.0532484811554186,1.6968235161412686e-4,1.6968235161412686e-4,5.173031133154371e-5,0.016634765288496473,4.310914988106293e-6,14.294597301199603,80.63331403242115
TUR.10.4_1,2045,aegypti,2.020887109693925,0.02037139438099091,0.02037139438099091,0.006671794419930044,0.016398080568848006,5.559828683282372e-4,14.052092918072708,80.3769765486972
TUR.10.4_1,2046,aegypti,1.8245249525196892,2.4780929482954234e-5,2.4780929482954234e-5,7.337169264376442e-6,0.014818277686770751,6.114307720333658e-7,13.069648835375476,81.02913210696542
TUR.10.4_1,2047,aegypti,1.8581096261707635,1.7433245242300574e-10,1.7433245242300574e-10,5.1829984748508195e-11,0.015088683507472148,4.319165649552369e-12,12.847621850236822,82.86321566409433
TUR.10.4_1,2048,aegypti,2.03109847368407,2.1484434276548235e-6,2.1484434276548235e-6,7.061475988390242e-7,0.01645700684677782,5.884563323369051e-8,14.073932800009418,80.57291529483163
TUR.10.4_1,2049,aegypti,1.8759011985609813,0.0011140098395460273,0.0011140098395460273,3.390064847567098e-4,0.015231897390303126,2.8250540397135212e-5,12.97736103665289,81.58262687828704
TUR.10.4_1,2050,aegypti,1.9105088977599958,3.459168557642127e-4,3.459168557642127e-4,1.0718335744874796e-4,0.01551040517026033,8.931946454065988e-6,13.621351791734067,79.53390810794198
TUR.10.4_1,2051,aegypti,1.8665689706761528,0.0016328195712307736,0.0016328195712307736,4.940390794997418e-4,0.015156780261464645,4.117000429873869e-5,12.587287925992973,81.31001398867929
TUR.10.4_1,2052,aegypti,1.8808561793170853,9.921468822002104e-4,9.921468822002104e-4,3.0228565208856306e-4,0.015250312122462362,2.519047100758165e-5,13.132692012503314,81.4045332859612
TUR.10.4_1,2053,aegypti,2.1050451531622714,5.202741529044125e-4,5.202741529044125e-4,1.7737205046020055e-4,0.017074276078588385,1.4781005357360351e-5,14.337174786443082,79.84946781304046
TUR.10.4_1,2054,aegypti,1.939071051304089,0.02494958734303152,0.02494958734303152,0.007346190368643923,0.0157401932762192,6.132185831498842e-4,13.687591387147275,81.122718074983
TUR.10.4_1,2055,aegypti,2.048065112066841,0.011929294909268223,0.011929294909268223,0.003775746646990541,0.01661650922919188,3.148733909311799e-4,13.528915160213478,81.24533325340911
TUR.10.4_1,2056,aegypti,2.0592258035535322,0.039605725295596826,0.039605725295596826,0.012179156508828282,0.01668272826520459,0.0010179861343708508,14.318627470050819,79.79980585879647
TUR.10.4_1,2057,aegypti,2.1211397945234194,0.008407813403555918,0.008407813403555918,0.002887603839483166,0.01720353330335365,2.406344489946885e-4,14.18362666499075,80.47391817874276
TUR.10.4_1,2058,aegypti,2.0101355006300308,1.7947089104378145e-7,1.7947089104378145e-7,5.6876432674712873e-8,0.016311654968384038,4.73970276188035e-9,13.763075205996204,79.94498783257171
TUR.10.4_1,2059,aegypti,2.0183891997109944,0.00654330654751177,0.00654330654751177,0.002140187013027428,0.016378002173525308,1.78349094842688e-4,13.747523718391426,82.36300013369882
TUR.10.4_1,2060,aegypti,2.0238277057288006,1.2482203468575437e-4,1.2482203468575437e-4,3.452730359643219e-5,0.01639864941543165,2.877275738393224e-6,14.009596599454252,80.04080380903248
TUR.10.4_1,2061,aegypti,2.06351561386562,0.024369105823656846,0.024369105823656846,0.008146270049690707,0.016740659681739534,6.78858604058398e-4,14.383190863643653,79.97511472211842
TUR.10.4_1,2062,aegypti,2.2225614700033836,0.0210330425882758,0.0210330425882758,0.00756551002981809,0.018017611719470406,6.304592130954901e-4,14.645345124914813,81.18791188703541
TUR.10.4_1,2063,aegypti,2.0998924825921383,0.0014247457283392407,0.0014247457283392407,4.844368444042457e-4,0.017032890507972343,4.036977181122122e-5,13.831879251514442,81.96700849042897
TUR.10.4_1,2064,aegypti,2.194819538806206,0.02595725381188102,0.02595725381188102,0.008558520283864612,0.017770036509699532,7.147809521562203e-4,14.652454270238248,79.37622505333587
TUR.10.4_1,2065,aegypti,2.077105446326737,0.026359459594940515,0.026359459594940515,0.008788367659265495,0.016849844179827943,7.32657666874746e-4,14.04587557713396,80.47103490339283
TUR.10.4_1,2066,aegypti,2.146723743114358,0.012204928952773952,0.012204928952773952,0.003581202179101406,0.01740895989370574,2.9843379886723763e-4,14.32031612924195,82.15255663699472
TUR.10.4_1,2067,aegypti,2.1655972927476466,0.03077854728884589,0.03077854728884589,0.010247427093716843,0.01756047383762017,8.557070816945404e-4,14.667941583508817,81.4063357304192
TUR.10.4_1,2068,aegypti,2.1790927946030982,0.01375275202296674,0.01375275202296674,0.004815925214703198,0.01764399623197298,4.0138624804270323e-4,14.847338192974098,81.52678098188404
TUR.10.4_1,2069,aegypti,2.0827230785617363,0.033612042687741865,0.033612042687741865,0.010662600198872552,0.016894973757307863,8.906562309734052e-4,13.549662014657823,82.19884163048431
TUR.10.4_1,2070,aegypti,2.2533402114297325,0.030715574750235747,0.030715574750235747,0.010266157503328821,0.01826451023922381,8.577155355476254e-4,14.822044902359016,80.72149330284759
TUR.10.4_1,2071,aegypti,2.1827976111572003,0.031170573329323444,0.031170573329323444,0.010982965379329968,0.017698532105397225,9.153919515699671e-4,14.93314648997244,81.5561586013095
TUR.10.4_1,2072,aegypti,2.14585665061492,0.012121564905423229,0.012121564905423229,0.004203011194743533,0.017377568017505552,3.502563273249182e-4,14.004419439350135,82.24329111880624
TUR.10.4_1,2073,aegypti,2.324006419338994,0.04195236658176424,0.04195236658176424,0.015331052137442569,0.018831106788704827,0.0012800104738513755,15.349417441402442,80.15818617648446
TUR.10.4_1,2074,aegypti,2.1362998386608205,0.006381431808188536,0.006381431808188536,0.002194704513978074,0.017325266959990777,1.8290422722113103e-4,13.967934015705753,81.74023745364511
TUR.10.4_1,2075,aegypti,2.377755385093702,0.044568917769327816,0.044568917769327816,0.01668673223954109,0.019261812104785215,0.0013932649083630356,15.803520633096067,79.988560258414
