ssp,parameter,value,label,lambda_2075_main,M_climate_2075
ssp245,k_elasticity,0.1,k010,2663.3503796557075,1.2422299378745654
ssp245,k_elasticity,0.13,k013,2819.153225167392,1.314898919236935
ssp245,k_elasticity,0.2,k020,3182.69319802799,1.4844598757491307
ssp245,eta_x_rho,0.75,eta_rho_low,845.7459675502176,1.314898919236935
ssp245,eta_x_rho,2.5,eta_rho_base,2819.153225167392,1.314898919236935
ssp245,eta_x_rho,6.6000000000000005,eta_rho_high,7442.564514441916,1.314898919236935
