district_id,province_name,district_name,pi_scenario,year,month,V_TR,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.05967879665188663,4198.117435651615,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6279892517689902,1,0.25,31,3,0.001997083900038141,0.005991251700114423,0.061909600901182374,0.061909600901182374,0.005973339940785971,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.05967879665188663,3476.7816257710115,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.520085854004514,1,0.25,29,3,0.0016539376792583675,0.004961813037775102,0.04796419269849265,0.04796419269849265,0.00494952357786671,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.05967879665188663,3855.003288168089,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.5766633896290498,1,0.25,31,3,0.0018338612769653534,0.00550158383089606,0.05684969958592596,0.05684969958592596,0.005486477833571257,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.05967879665188663,5267.450573116841,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7879489782849164,1,0.25,30,3,0.0025057757185359734,0.00751732715560792,0.07517327155607921,0.07517327155607921,0.007489142719919961,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.05967879665188663,7125.0029992349955,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.0658170884747757,1,0.25,31,3,0.0033894308569495926,0.010168292570848779,0.10507235656543737,0.10507235656543737,0.010116770263119967,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.05967879665188663,8281.128796694715,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.2387599814800696,1,0.25,30,3,0.003939410759111903,0.011818232277335708,0.11818232277335708,0.11818232277335708,0.011748671269304345,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.05967879665188663,9411.109644723994,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.407791895937949,1,0.25,31,3,0.004476953263232073,0.013430859789696221,0.13878555116019425,0.13878555116019425,0.013341068234469344,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.05967879665188663,11175.099475262783,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.6716641364809814,1,0.25,31,3,0.005316099796028677,0.01594829938808603,0.164799093676889,0.164799093676889,0.01582179864478095,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.05967879665188663,9203.997054977232,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3768102756615694,1,0.25,30,3,0.004378427858733887,0.01313528357620166,0.1313528357620166,0.1313528357620166,0.013049392219285028,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.05967879665188663,8777.569330496097,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3130216771444592,1,0.25,31,3,0.004175572184459736,0.012526716553379209,0.12944273771825182,0.12944273771825182,0.012448583828690962,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.05967879665188663,5261.139767110427,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7870049555407285,1,0.25,30,3,0.0025027736088368393,0.007508320826510518,0.07508320826510519,0.07508320826510519,0.007480203800253271,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.05967879665188663,4187.777481433127,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6264425155919956,1,0.25,31,3,0.0019921650866858726,0.005976495260057619,0.06175711768726205,0.06175711768726205,0.005958671537735549,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.05967879665188663,4198.117435651615,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.6279892517689902,0.9449988234365747,0.25,31,3,0.0018872421004181143,0.005661726301254343,0.05850450511296154,0.05850450511296154,0.005645728934043137,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.05967879665188663,3476.7816257710115,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.520085854004514,0.9449988234365747,0.25,28,3,0.0015629692972361398,0.00468890789170842,0.043763140322611915,0.043763140322611915,0.004677932124588002,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.05967879665188663,3855.003288168089,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.5766633896290498,0.9449988234365747,0.25,31,3,0.0017329969002050642,0.005198990700615192,0.053722903906356985,0.053722903906356985,0.005185499339076416,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.05967879665188663,5267.450573116841,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.7879489782849164,0.9449988234365747,0.25,30,3,0.0023679553123112274,0.007103865936933682,0.07103865936933682,0.07103865936933682,0.007078693124673796,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,5,0.05967879665188663,7125.0029992349955,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.0658170884747757,0.9449988234365747,0.25,31,3,0.0032030084512570316,0.009609025353771094,0.09929326198896797,0.09929326198896797,0.009563006187380263,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,6,0.05967879665188663,8281.128796694715,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.2387599814800696,0.9449988234365747,0.25,30,3,0.003722738857037541,0.011168216571112624,0.11168216571112624,0.11168216571112624,0.011106083560507463,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,7,0.05967879665188663,9411.109644723994,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.407791895937949,0.9449988234365747,0.25,31,3,0.004230715935276663,0.012692147805829987,0.13115219399357653,0.13115219399357653,0.012611942183666458,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,8,0.05967879665188663,11175.099475262783,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.6716641364809814,0.9449988234365747,0.25,31,3,0.00502370849061367,0.01507112547184101,0.15573496320902377,0.15573496320902377,0.014958124456758592,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,9,0.05967879665188663,9203.997054977232,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.3768102756615694,0.9449988234365747,0.25,30,3,0.004137609535827871,0.012412828607483615,0.12412828607483614,0.12412828607483614,0.012336107221693648,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,10,0.05967879665188663,8777.569330496097,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,1.3130216771444592,0.9449988234365747,0.25,31,3,0.003945911145594207,0.01183773343678262,0.12232324551342041,0.12232324551342041,0.011767943128127123,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,11,0.05967879665188663,5261.139767110427,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.7870049555407285,0.9449988234365747,0.25,30,3,0.002365118321930317,0.007095354965790951,0.0709535496579095,0.0709535496579095,0.007070242364122015,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2025,12,0.05967879665188663,4187.777481433127,3.858537867424856e-4,9.989900670964272e-7,2.9969657103778857e-6,0.6264425155919956,0.9449988234365747,0.25,31,3,0.0018825938271821614,0.005647781481546484,0.05836040864264701,0.05836040864264701,0.005631862746326766,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2026,1,0.05967879665188663,4198.117435651615,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.6279892517689902,1.0754719476161918,0.25,31,3,0.0021478074544948682,0.006443422363484605,0.06658203108934091,0.06658203108934091,0.006422708031882274,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2026,2,0.05967879665188663,3476.7816257710115,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.520085854004514,1.0754719476161918,0.25,28,3,0.0017787633642798984,0.005336290092839696,0.04980537419983715,0.04980537419983715,0.0053220773891371476,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2026,3,0.05967879665188663,3855.003288168089,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.5766633896290498,1.0754719476161918,0.25,31,3,0.0019722661231711095,0.005916798369513329,0.06114024981830439,0.06114024981830439,0.005899328590076691,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2026,4,0.05967879665188663,5267.450573116841,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,0.7879489782849164,1.0754719476161918,0.25,30,3,0.0026948911698006337,0.008084673509401901,0.08084673509401902,0.08084673509401902,0.008052080430470121,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2026,5,0.05967879665188663,7125.0029992349955,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.0658170884747757,1.0754719476161918,0.25,31,3,0.003645237368801696,0.01093571210640509,0.11300235843285258,0.11300235843285258,0.010876134578766572,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2026,6,0.05967879665188663,8281.128796694715,3.858537867424856e-4,1.1369175986932157e-6,3.4107469795152667e-6,1.2387599814800696,1.0754719476161918,0.25,30,3,0.004236725254545509,0.012710175763636528,0.12710175763636528,0.12710175763636528,0.012629742613458284,0.15,0.6
