district_id,year,month,species,temp_c,rh,lambda_import,lambda_local_i1_mean,lambda_local_i1_p2_5,lambda_local_i1_p97_5,p_establishment_mean,p_establishment_p2_5,p_establishment_p97_5,q_extinction_mean,q_extinction_p2_5,q_extinction_p97_5,q_import_month,p_month_major_mean,p_month_major_p2_5,p_month_major_p97_5
TUR.59.4_1,2060,2,albopictus,4.793396967298845,65.83945194981165,0.057832855716175184,0,0,0,0,0,0,1,1,1,0.005964848443605786,0,0,0
TUR.59.4_1,2060,3,albopictus,8.24424209314234,68.34727420063783,0.06854656127182317,0,0,0,0,0,0,1,1,1,0.0066115848427587,0,0,0
TUR.59.4_1,2060,4,albopictus,12.508464658961577,62.71516241011771,0.09064021977695479,3.5247927132253264e-4,3.4496098954973393e-4,3.598711468835872e-4,0,0,0,1,1,1,0.009023067561139908,0,0,0
TUR.59.4_1,2060,5,albopictus,18.42052187639124,49.1121864735138,0.12669106045849116,0.0458554654192797,0.04560868678784202,0.04610530215949071,0,0,0,1,1,1,0.012185572413859203,0,0,0
TUR.59.4_1,2060,6,albopictus,23.040653312907498,51.08328680144843,0.14249841051465875,0.14150892018026115,0.14092703036148144,0.14212383483413385,1.2872325404691187e-5,1.1516899594421482e-5,1.4419687848207795e-5,0.9999871276745953,0.9999855803121518,0.9999884831004056,0.014148792610631511,1.8212786256753895e-7,1.6295022387893573e-7,2.0402117287433545e-7
TUR.59.4_1,2060,7,albopictus,25.724084405338065,45.90864238109193,0.16734076618763988,0.16498407613107188,0.1641844343694832,0.16577037937480751,6.626480648805985e-4,5.874452910827527e-4,7.426126081120199e-4,0.9993373519351194,0.999257387391888,0.9994125547089172,0.01606384552208817,1.0644676149752594e-5,9.43663040863146e-6,1.192921421946649e-5
TUR.59.4_1,2060,8,albopictus,27.702510721543256,42.199086809643084,0.1987066115483995,0.1548959876800057,0.15403272282268496,0.1557839948821898,1.367237778137085e-4,1.1816738678731841e-4,1.5779139395747933e-4,0.9998632762221863,0.9998422086060426,0.9998818326132126,0.019045961391137123,2.604035793490302e-6,2.2506114864428335e-6,3.0052887971678584e-6
TUR.59.4_1,2060,9,albopictus,23.724723928114948,43.7573195715622,0.15837876489004046,0.13550385664226844,0.13483882754897233,0.13611908266015568,4.038055503144622e-6,3.5296062837503192e-6,4.551210087325175e-6,0.9999959619444968,0.9999954487899126,0.9999964703937162,0.015713116834204177,6.345043790391257e-8,5.5461115915309987e-8,7.151369583914906e-8
TUR.59.4_1,2060,10,albopictus,16.142501438365265,55.0138794668674,0.1560756629643352,0.017625787077625438,0.017500500823437858,0.017743186130120103,0,0,0,1,1,1,0.014990601681931004,0,0,0
TUR.59.4_1,2060,11,albopictus,12.377592970343198,73.35535579402712,0.09053162590683661,3.216100762827085e-4,3.146531923431494e-4,3.2880003194231964e-4,0,0,0,1,1,1,0.00901230610067938,0,0,0
TUR.59.4_1,2060,12,albopictus,7.07499574212467,74.41846860087652,0.07446368375478818,0,0,0,0,0,0,1,1,1,0.007180260807507666,0,0,0
TUR.59.4_1,2061,1,albopictus,4.852314266211846,56.995323612442604,0.0696547460995613,0,0,0,0,0,0,1,1,1,0.006718113772610446,0,0,0
TUR.59.4_1,2061,2,albopictus,3.5528571780990155,69.97880284092493,0.052103858015810446,0,0,0,0,0,0,1,1,1,0.0055670027052695525,0,0,0
TUR.59.4_1,2061,3,albopictus,8.47726382928736,73.84024752827455,0.06396183035995599,0,0,0,0,0,0,1,1,1,0.006170736866848769,0,0,0
TUR.59.4_1,2061,4,albopictus,13.872956121669096,57.1109715837017,0.08457775639791057,0.002899651359165007,0.0028628476938144646,0.0029336756914061716,0,0,0,1,1,1,0.00842210927892828,0,0,0
TUR.59.4_1,2061,5,albopictus,18.322739741381476,53.1562538563263,0.11821733967127435,0.0468976786922567,0.04664597815130888,0.047145489721924054,0,0,0,1,1,1,0.011375195320217246,0,0,0
TUR.59.4_1,2061,6,albopictus,22.927858436808865,48.63202718841132,0.1329674164654059,0.13349814085350215,0.13293330467806475,0.13406292222651067,2.7003695529337345e-6,2.4043038608784206e-6,3.021233334798978e-6,0.999997299630447,0.9999969787666653,0.9999975956961391,0.013208730496365617,3.566845366529301e-8,3.175780172971439e-8,3.990665688599565e-8
TUR.59.4_1,2061,7,albopictus,26.74083092633416,48.12837657298646,0.1561481932952725,0.17805216492908477,0.17707863953107753,0.17891909068123538,0.0038946593937641185,0.003448078053039652,0.004321938415971099,0.9961053406062359,0.9956780615840288,0.9965519219469603,0.01499751550195405,5.841021463280834e-5,5.1712604052409724e-5,6.481833839201729e-5
TUR.59.4_1,2061,8,albopictus,28.194446451523724,41.08023991633254,0.18541613676082158,0.14796337185649008,0.147026255893391,0.14887560761707902,4.182210545798504e-5,3.5290301865384396e-5,4.8941023027643246e-5,0.999958177894542,0.9999510589769723,0.9999647096981346,0.017783471133043127,7.437422051351623e-7,6.275840644994415e-7,8.703412702336927e-7
TUR.59.4_1,2061,9,albopictus,21.11103832020479,64.95304787356415,0.14778561469107937,0.12457837225929846,0.12411949508321846,0.12503638066481898,4.1212678969204664e-7,3.720408386365115e-7,4.5499479981170317e-7,0.9999995878732103,0.9999995450052002,0.9999996279591614,0.014669894501991299,6.045856526226679e-9,5.457799853229992e-9,6.674725712192337e-9
TUR.59.4_1,2061,10,albopictus,16.69085844825296,44.93100898346896,0.1456365555414966,0.020597646913500186,0.02044711718534675,0.020745181435235467,0,0,0,1,1,1,0.01399500671986953,0,0,0
TUR.59.4_1,2061,11,albopictus,12.370306898565854,71.32485347469118,0.0844764258195452,3.0251623495657385e-4,2.9560730061677716e-4,3.0967965445512956e-4,0,0,0,1,1,1,0.008412061511904878,0,0,0
TUR.59.4_1,2061,12,albopictus,8.152429805082434,74.46452725566168,0.06948318660966861,0,0,0,0,0,0,1,1,1,0.0067016226421277025,0,0,0
TUR.59.4_1,2062,1,albopictus,4.703000339515069,70.96233029579221,0.07512539745947643,0,0,0,0,0,0,1,1,1,0.007243835781049812,0,0,0
TUR.59.4_1,2062,2,albopictus,7.540384310133318,64.39612309238977,0.056196070789130914,0,0,0,0,0,0,1,1,1,0.006002917643150751,0,0,0
TUR.59.4_1,2062,3,albopictus,9.194821736391852,69.37128390522767,0.06898536276564743,0,0,0,0,0,0,1,1,1,0.0066537678490945495,0,0,0
TUR.59.4_1,2062,4,albopictus,14.743593061671538,47.99480260787162,0.09122045404546851,0.005963103931996109,0.005899082728040814,0.0060241741862068175,0,0,0,1,1,1,0.00908056577055294,0,0,0
TUR.59.4_1,2062,5,albopictus,18.43470110612757,55.14581684460755,0.1275020745422307,0.050240645772357616,0.049992145945310776,0.05049773815479877,0,0,0,1,1,1,0.012263098217913049,0,0,0
TUR.59.4_1,2062,6,albopictus,22.324335182414334,44.80531744109687,0.1434106155070209,0.1140551479943628,0.11350274855214927,0.11459213750935957,3.635811140212386e-8,3.171665926560152e-8,4.131310182842185e-8,0.9999999636418886,0.9999999586868982,0.9999999682833407,0.014238718348344559,5.176929079325766e-10,4.5160457823331287e-10,5.882456210313774e-10
TUR.59.4_1,2062,7,albopictus,26.941228417789237,43.16585978831849,0.1684119997669532,0.16011114982669256,0.15922433280931053,0.16102330409245091,3.160456543548278e-4,2.743088687895523e-4,3.6335396429214295e-4,0.9996839543456452,0.9996366460357079,0.9997256911312105,0.016165842697852595,5.109144333640038e-6,4.434434023477789e-6,5.8739230303879315e-6
TUR.59.4_1,2062,8,albopictus,27.453163034775677,43.87420811701613,0.19997863389879034,0.1619131691167859,0.16101810104930772,0.16279540251417396,4.176549898720413e-4,3.630615378485358e-4,4.766763301915056e-4,0.999582345010128,0.9995233236698086,0.9996369384621515,0.01916670835860368,8.005071385392989e-6,6.958694612169037e-6,9.136316202230058e-6
TUR.59.4_1,2062,9,albopictus,22.040165059706744,55.499945761747746,0.15939262812890084,0.12964682754468748,0.12911415375333402,0.130122316695801,1.2221734334653123e-6,1.0911947496777817e-6,1.3478499306524006e-6,0.9999987778265665,0.9999986521500693,0.9999989088052503,0.015812905004274236,1.9326112402134662e-8,1.7254958917817566e-8,2.1313422913424027e-8
TUR.59.4_1,2062,10,albopictus,17.18895014594583,58.52286689362521,0.15707478287330887,0.0317416151566686,0.03155260117631785,0.03192384192160307,0,0,0,1,1,1,0.015085836674579078,0,0,0
TUR.59.4_1,2062,11,albopictus,11.22216789862689,74.4328399248865,0.09111116501061056,1.4882563082916175e-6,1.3997796189658716e-6,1.5909333639670282e-6,0,0,0,1,1,1,0.009069736048515686,0,0,0
TUR.59.4_1,2062,12,albopictus,8.521170363706702,72.91251767314215,0.07494036376704562,0,0,0,0,0,0,1,1,1,0.007226058847171424,0,0,0
TUR.59.4_1,2063,1,albopictus,7.820636304862359,74.45770688270628,0.08218105103543437,0,0,0,0,0,0,1,1,1,0.007921463467015166,0,0,0
TUR.59.4_1,2063,2,albopictus,7.493578928358415,70.85312382481165,0.0614739131863308,0,0,0,0,0,0,1,1,1,0.0065648473127308815,0,0,0
TUR.59.4_1,2063,3,albopictus,9.707736393984625,69.42955722065736,0.07546435439758852,0,0,0,0,0,0,1,1,1,0.007276399916930298,0,0,0
TUR.59.4_1,2063,4,albopictus,16.681898916468903,43.30124486861381,0.0997877288227313,0.020023295815330407,0.019884922756225817,0.020173526688647192,0,0,0,1,1,1,0.009929150123400343,0,0,0
TUR.59.4_1,2063,5,albopictus,18.817742487963507,41.44600681653138,0.13947685935014079,0.046982710230011375,0.04671234087677383,0.047256123985736746,0,0,0,1,1,1,0.013407074291052812,0,0,0
TUR.59.4_1,2063,6,albopictus,23.481021965251248,41.06513265716132,0.15687950427633818,0.12552273993837054,0.12489326549567535,0.12614289279649984,5.071145021021683e-7,4.4097194742964696e-7,5.787802217604997e-7,0.9999994928854979,0.9999994212197783,0.9999995590280525,0.01556553551568629,7.893508792990872e-9,6.863964509137517e-9,9.009024097589846e-9
TUR.59.4_1,2063,7,albopictus,29.659371880924002,27.335289567371227,0.18422897736139307,0.08997216799816328,0.08904053058974067,0.09078639435759073,4.8274606978537806e-11,3.5670430498235815e-11,6.165656041279278e-11,0.9999999999517254,0.9999999999383434,0.9999999999643295,0.017670621336083325,8.530423000659871e-13,6.303186702294032e-13,1.0895097319398065e-12
TUR.59.4_1,2063,8,albopictus,27.197538263657513,46.13732304621535,0.21876029777144115,0.17085097425941922,0.1698804040599365,0.17174153674683254,0.0015285070559493538,0.0013346318664924002,0.0017224889037067313,0.9984714929440507,0.9982775110962933,0.9986653681335076,0.020947832541891143,3.20189098471261e-5,2.7957644844354414e-5,3.608240911011427e-5
TUR.59.4_1,2063,9,albopictus,24.949127309462604,32.161254050321965,0.17436252119662995,0.12019937990597152,0.11946134576109568,0.1208801677616614,1.5475266918618668e-7,1.302264774544204e-7,1.8017004333459316e-7,0.9999998452473308,0.9999998198299567,0.9999998697735226,0.017285120341105076,2.67491850999046e-9,2.2509803343978638e-9,3.1142608809005587e-9
TUR.59.4_1,2063,10,albopictus,17.76824625800638,45.58255546174045,0.1718269877327998,0.03398071008472007,0.03376753519632219,0.034186113783243446,0,0,0,1,1,1,0.016490929152094935,0,0,0
TUR.59.4_1,2063,11,albopictus,11.330357481451596,73.11657100398806,0.09966817554175042,3.553316808938491e-6,3.3495432643791337e-6,3.753357910806837e-6,0,0,0,1,1,1,0.009917313430794161,0,0,0
TUR.59.4_1,2063,12,albopictus,8.382178530973547,72.83224118388434,0.0819786392834149,0,0,0,0,0,0,1,1,1,0.007902030210098387,0,0,0
TUR.59.4_1,2064,1,albopictus,6.63514760399566,72.69058652137815,0.0744139897175756,0,0,0,0,0,0,1,1,1,0.00717548622624653,0,0,0
TUR.59.4_1,2064,2,albopictus,3.950380342848161,65.38009373447962,0.057651913278757384,0,0,0,0,0,0,1,1,1,0.005946241737409097,0,0,0
TUR.59.4_1,2064,3,albopictus,10.283811947878668,66.72408999653626,0.06833209871901404,0,0,0,0,0,0,1,1,1,0.006590967407958281,0,0,0
TUR.59.4_1,2064,4,albopictus,14.04247363875894,59.74298681197318,0.09035663249613612,0.0036507155337927853,0.003607922564807209,0.003690436524701659,0,0,0,1,1,1,0.008994964317293186,0,0,0
TUR.59.4_1,2064,5,albopictus,20.228415629443,53.70795063367005,0.12629468042512554,0.08500895839809114,0.08462347505784763,0.08539203572728353,9.662857070047436e-12,8.481096380741349e-12,1.0950165774126219e-11,0.9999999999903372,0.9999999999890499,0.9999999999915189,0.01214767975976283,1.1738129325129641e-13,1.0302564284492947e-13,1.3301910714040075e-13
TUR.59.4_1,2064,6,albopictus,22.614627922282498,54.473881283870305,0.14205257381150124,0.1405845448176152,0.1399906178620118,0.14115644572882186,1.0810663828256351e-5,9.642686302288595e-6,1.2026306870083214e-5,0.9999891893361718,0.99998797369313,0.9999903573136977,0.014104838765616301,1.524826702468361e-7,1.3600853556119746e-7,1.6962911934834735e-7
TUR.59.4_1,2064,7,albopictus,25.498925713931815,48.50950679149232,0.16681720487048907,0.17183435431716076,0.1710658897644571,0.17259670592808132,0.0017465387902138826,0.0015713229749862389,0.001932410583121008,0.9982534612097861,0.998067589416879,0.9984286770250137,0.016013990945325074,2.7969056372144124e-5,2.5163151893610892e-5,3.094560558075017e-5
TUR.59.4_1,2064,8,albopictus,28.116498834946576,45.34499898005324,0.1980849154868899,0.1643346315370129,0.1634253106489491,0.16529695902952352,6.021715689402025e-4,5.24272674473969e-4,6.927546444561283e-4,0.9993978284310598,0.9993072453555438,0.999475727325526,0.01898694136451773,1.1433396270847271e-5,9.954334529256138e-6,1.3153291814285834e-5
TUR.59.4_1,2064,9,albopictus,22.65557300343233,49.709445120878605,0.15788324310749063,0.1305881073014628,0.13000513622578447,0.13118703641040205,1.487718195055665e-6,1.3152919884212855e-6,1.6811578947339977e-6,0.9999985122818049,0.9999983188421052,0.9999986847080116,0.01566434206667744,2.3304126706171886e-8,2.0603183624191355e-8,2.6334232331208643e-8
TUR.59.4_1,2064,10,albopictus,17.00633581946878,68.66362159333224,0.15558734692791185,0.033450303112769975,0.03327825921509354,0.03362405237029156,0,0,0,1,1,1,0.014944052593175772,0,0,0
TUR.59.4_1,2064,11,albopictus,11.897175718756284,69.5598693438318,0.09024837838512728,6.762075764475992e-5,6.542176352630245e-5,6.974765955772653e-5,0,0,0,1,1,1,0.008984236222311037,0,0,0
TUR.59.4_1,2064,12,albopictus,6.565002665800207,66.14741147197027,0.07423070822088364,0,0,0,0,0,0,1,1,1,0.007157876422058673,0,0,0
TUR.59.4_1,2065,1,albopictus,5.934632333762505,79.26282925819456,0.07738128775551584,0,0,0,0,0,0,1,1,1,0.007460542673451087,0,0,0
TUR.59.4_1,2065,2,albopictus,8.265904444105486,70.92027775547571,0.05788354499966174,0,0,0,0,0,0,1,1,1,0.006182616873687485,0,0,0
TUR.59.4_1,2065,3,albopictus,9.727245709475348,66.85238589497376,0.07105687806798879,0,0,0,0,0,0,1,1,1,0.006852883237311924,0,0,0
TUR.59.4_1,2065,4,albopictus,12.4233597166398,69.57383550582084,0.09395965202698311,3.3267572339290064e-4,3.255449995279521e-4,3.398243190836219e-4,0,0,0,1,1,1,0.009351961049994362,0,0,0
TUR.59.4_1,2065,5,albopictus,15.807790896471808,70.23992542615052,0.13133074903064004,0.017770684591573667,0.017648936116870673,0.017894747378915617,0,0,0,1,1,1,0.012629003627671498,0,0,0
