district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.018330974880161683,1.4458106378789637e-11,1.2743153754435355e-11,1.6119963697214246e-11,1.5013878490477417e-4,1.5013878490477417e-4,1.5013878490477417e-4,1.2048426206358458e-12,1.0619341148169162e-12,1.3433277345037656e-12,4.800712735860321e-9,4.231291785700142e-9,5.352508613184111e-9,11.25774147442437,82.59211403038665
TUR.10.4_1,2026,aegypti,0.020861873926758666,5.736430923608537e-10,4.974330947149497e-10,6.507732130955901e-10,1.7086594509779784e-4,1.7086594509779784e-4,1.7086594509779784e-4,4.780359095037944e-11,4.1452764611022747e-11,5.4231103693883875e-11,2.0320632201665617e-7,1.7620984533635772e-7,2.305288901709168e-7,12.653347005130604,78.06356292870208
TUR.10.4_1,2027,aegypti,0.01986016308077982,9.493288044559734e-12,8.346237589940132e-12,1.0621684087830374e-11,1.6266234931059756e-4,1.6266234931059756e-4,1.6266234931059756e-4,7.911070172712711e-13,6.955165512279428e-13,8.851437883794945e-13,2.9145785826005057e-9,2.5630986691856556e-9,3.2600908068021923e-9,12.084069478824306,82.12509335981373
TUR.10.4_1,2028,aegypti,0.01889155900790684,9.100720177457333e-15,7.882583474838611e-15,1.0325074129013956e-14,1.5451042071520926e-4,1.5451042071520926e-4,1.5451042071520926e-4,7.56975574752551e-16,6.603868886713816e-16,8.576026622698991e-16,2.936546135886194e-12,2.5629394440063176e-12,3.3255386870193843e-12,12.151536239499418,80.23289734032318
TUR.10.4_1,2029,aegypti,0.01781064126756222,7.71803031878171e-6,7.258650130309574e-6,8.13965042606446e-6,1.4587737748723387e-4,1.4587737748723387e-4,1.4587737748723387e-4,6.43169193228532e-7,6.048875108544099e-7,6.783042021657102e-7,0.0026375764749729143,0.002480586889787831,0.0027816618478323555,11.571021723128426,82.09587913658783
TUR.10.4_1,2030,aegypti,0.02104119040211249,3.73817903631668e-10,3.34789265754587e-10,4.1639237613466663e-10,1.7233446444798553e-4,1.7233446444798553e-4,1.7233446444798553e-4,3.115149189313531e-11,2.789910558325682e-11,3.4699366474546677e-11,1.2774275555052506e-7,1.1429363593213708e-7,1.4240734916085016e-7,12.018559153690505,82.68236404564544
TUR.10.4_1,2031,aegypti,0.02012837858957809,2.1140935002059712e-6,1.9329208933549505e-6,2.283825795379446e-6,1.6485893046094824e-4,1.6485893046094824e-4,1.6485893046094824e-4,1.7617445835054056e-7,1.6107674111519155e-7,1.9031881628352582e-7,6.392937027254373e-4,5.845078067195404e-4,6.906200927158645e-4,12.263408753588367,81.00572067406341
TUR.10.4_1,2032,aegypti,0.017778870982116418,4.070706216552366e-12,3.576844376240729e-12,4.575534395812042e-12,1.4541071499713878e-4,1.4541071499713878e-4,1.4541071499713878e-4,3.3922549871545953e-13,2.9806788407601935e-13,3.8129049604211406e-13,1.6571508015724342e-9,1.4560916995291312e-9,1.8626425596357518e-9,11.321999185596473,83.34326924787526
TUR.10.4_1,2033,aegypti,0.020470877511147526,4.291833555214453e-14,3.8968828164342995e-14,4.696520949920568e-14,1.676638559880983e-4,1.676638559880983e-4,1.676638559880983e-4,3.5765094278966155e-15,3.250134097870849e-15,3.916189305746027e-15,1.4386526784685809e-11,1.305261061272193e-11,1.5819991150411994e-11,12.090877769703237,81.70063390241627
TUR.10.4_1,2034,aegypti,0.020837806217417817,1.8909075571960087e-6,1.7519007697835987e-6,2.0392874246294435e-6,1.7066884145512198e-4,1.7066884145512198e-4,1.7066884145512198e-4,1.5757562976626593e-7,1.4599173081409485e-7,1.6994061872453792e-7,5.523388171957042e-4,5.117346019034815e-4,5.956809283572397e-4,12.198136015052167,81.62732241458261
TUR.10.4_1,2035,aegypti,0.02015741737404409,2.342559479728834e-14,2.0650148258027912e-14,2.6537105846102802e-14,1.6509674652998943e-4,1.6509674652998943e-4,1.6509674652998943e-4,1.9524382323261593e-15,1.7200320016795487e-15,2.219617092316096e-15,8.400686035692218e-12,7.40074113103617e-12,9.550260119765378e-12,11.97449657650249,81.1122626255608
TUR.10.4_1,2036,aegypti,0.022305577126221717,1.9557067076902969e-13,1.729727472365994e-13,2.2237767183241886e-13,1.824301098293605e-4,1.824301098293605e-4,1.824301098293605e-4,1.6297470682642193e-14,1.4415741968254618e-14,1.853164170000674e-14,6.335216448660752e-11,5.603711106250131e-11,7.205545396460344e-11,13.36302649310685,81.32179377383554
TUR.10.4_1,2037,aegypti,0.02221804240087016,2.1446422347180528e-5,2.067361304005644e-5,2.2210421115809174e-5,1.8197227922857792e-4,1.8197227922857792e-4,1.8197227922857792e-4,1.7872019628012014e-6,1.7228011830991484e-6,1.850868521660657e-6,0.005878334770365438,0.005666602319686365,0.006087394259378744,13.86988756389873,80.50319661603932
TUR.10.4_1,2038,aegypti,0.02052274664436336,1.3125861023868257e-6,1.2065290348306501e-6,1.4282767778123206e-6,1.6808864210702637e-4,1.6808864210702637e-4,1.6808864210702637e-4,1.0938217519895238e-7,1.0054408623757307e-7,1.1902306481073191e-7,3.8929472834090906e-4,3.578396818854274e-4,4.23606968735836e-4,12.28173581094997,81.68036768740976
TUR.10.4_1,2039,aegypti,0.02268007797253915,1.1827747337100902e-11,1.0465731059561279e-11,1.3185905145540744e-11,1.8575608479818687e-4,1.8575608479818687e-4,1.8575608479818687e-4,9.856454903102528e-13,8.721504402216282e-13,1.0988215474665054e-12,3.1788830548162838e-9,2.8129393011648107e-9,3.543612202746201e-9,13.127686275357572,80.00668261355722
TUR.10.4_1,2040,aegypti,0.019232529698652655,4.4213946301940866e-8,3.938062622943495e-8,4.899382817780129e-8,1.5729890393674043e-4,1.5729890393674043e-4,1.5729890393674043e-4,3.6844955253906415e-9,3.281718853169095e-9,4.082819019934874e-9,1.663879350400312e-5,1.4819892490302208e-5,1.8437590681018996e-5,12.12288662127114,81.35170926557545
TUR.10.4_1,2041,aegypti,0.022978314059910587,1.1440848268762238e-15,9.992007221626409e-16,1.3322676295501878e-15,1.8819845812874844e-4,1.8819845812874844e-4,1.8819845812874844e-4,9.535551264603279e-17,8.27376302815022e-17,1.0857798918176274e-16,3.0312893861683674e-13,2.6302131768870155e-13,3.4516001168327645e-13,13.09170783888754,81.78951253400807
TUR.10.4_1,2042,aegypti,0.02191467845713455,7.733257324193943e-8,7.040896074228531e-8,8.520529548861066e-8,1.7948789413526253e-4,1.7948789413526253e-4,1.7948789413526253e-4,6.4443811127322986e-9,5.867413402958935e-9,7.100441303588826e-9,2.5416905209845444e-5,2.3132345360649585e-5,2.8009094550450245e-5,12.243462238028217,81.34447659955983
TUR.10.4_1,2043,aegypti,0.019879078555338655,1.8631052256523617e-13,1.652011860642233e-13,2.1096180358171065e-13,1.6281725990271076e-4,1.6281725990271076e-4,1.6281725990271076e-4,1.552649448097942e-14,1.3770567474771931e-14,1.7578016747724886e-14,6.773945376847834e-11,6.007857706695022e-11,7.669000319047528e-11,11.600983625466196,83.3414852411207
TUR.10.4_1,2044,aegypti,0.0211162479733508,1.2229920386060522e-5,1.1546648119076241e-5,1.2899387894321767e-5,1.7270392964355286e-4,1.7270392964355286e-4,1.7270392964355286e-4,1.0191600321722607e-6,9.622206765902938e-7,1.07494899119814e-6,0.003530295242345952,0.003333061510873183,0.0037235440849292633,12.397740392202703,78.66411516970956
TUR.10.4_1,2045,aegypti,0.02192611113165684,1.0836651576084933e-12,9.673900569495686e-13,1.2020495709919033e-12,1.7958152162628194e-4,1.7958152162628194e-4,1.7958152162628194e-4,9.03055028447017e-14,8.061598130726094e-14,1.0017590132891184e-13,3.5067083347291766e-10,3.1243285528170796e-10,3.8951745278311315e-10,12.954491447224784,80.09505516197845
TUR.10.4_1,2046,aegypti,0.02224964781584731,2.2623505474266393e-5,2.1680908720395074e-5,2.352100238070254e-5,1.8223110991862543e-4,1.8223110991862543e-4,1.8223110991862543e-4,1.8852921228555666e-6,1.8067423933674096e-6,1.9600835317304255e-6,0.0061891084830451885,0.005931242452980846,0.006434636553637616,13.804312917902635,79.27783892459237
TUR.10.4_1,2047,aegypti,0.022099727356095597,2.648504715551603e-5,2.5589328925537667e-5,2.7344426507458496e-5,1.8100334443800956e-4,1.8100334443800956e-4,1.8100334443800956e-4,2.207087263116322e-6,2.1324440772512353e-6,2.2787022091233807e-6,0.0072946581081757,0.007047954104498852,0.0075313531251885385,12.903374128852851,79.55367269025807
TUR.10.4_1,2048,aegypti,0.023003821020401882,6.978234490587631e-5,6.884775212792904e-5,7.072019294161735e-5,1.881402078917719e-4,1.881402078917719e-4,1.881402078917719e-4,5.815195408822981e-6,5.7373126773286516e-6,5.893349411805812e-6,0.01849078437330505,0.01824313787250463,0.01873929344573855,13.19078520269649,80.62452910250985
TUR.10.4_1,2049,aegypti,0.020869696886822248,7.769670462565159e-13,6.856348822026348e-13,8.801570583472084e-13,1.7093001158926166e-4,1.7093001158926166e-4,1.7093001158926166e-4,6.474737524928296e-14,5.713801557996479e-14,7.335095770441274e-14,2.2660771950566705e-10,1.9997592817788679e-10,2.5671917323425814e-10,12.494356317633954,81.9372137974358
TUR.10.4_1,2050,aegypti,0.021320832830385796,5.88079948249387e-9,5.282601059364289e-9,6.503479862973727e-9,1.7462460223487594e-4,1.7462460223487594e-4,1.7462460223487594e-4,4.900666237004907e-10,4.4021675969421816e-10,5.419566533737539e-10,1.6879918622029107e-6,1.5168175478067852e-6,1.8655857538088515e-6,12.92781553746717,80.51815022932057
TUR.10.4_1,2051,aegypti,0.02199202798200411,1.4140421894515142e-8,1.267231699575433e-8,1.5603892827842358e-8,1.8012134518819814e-4,1.8012134518819814e-4,1.8012134518819814e-4,1.1783684914921286e-9,1.0560264135009624e-9,1.3003244000833956e-9,3.964901338621762e-6,3.559676754204497e-6,4.367231854175702e-6,12.447550141130455,80.22266346123382
TUR.10.4_1,2052,aegypti,0.021266523312484974,2.3440949910037645e-5,2.265714164185473e-5,2.429257291640674e-5,1.7393286791636542e-4,1.7393286791636542e-4,1.7393286791636542e-4,1.9534124925482105e-6,1.8880951368549757e-6,2.0243810764191983e-6,0.006718671328929519,0.006494015280180311,0.006962764314106149,12.584206137373615,81.70499282982513
TUR.10.4_1,2053,aegypti,0.022106796399317504,3.157599419711943e-10,2.8221455172783296e-10,3.4860859476903985e-10,1.8106123602305382e-4,1.8106123602305382e-4,1.8106123602305382e-4,2.631332843395038e-11,2.3517876722800166e-11,2.905071957956812e-11,8.867151086838776e-8,7.932040799185636e-8,9.780224726127495e-8,13.167613797698982,80.21398725019459
TUR.10.4_1,2054,aegypti,0.021637589066723143,1.0604105641602858e-6,9.71716182343596e-7,1.1525444227972193e-6,1.772186771332914e-4,1.772186771332914e-4,1.772186771332914e-4,8.836754701330461e-8,8.097634852857925e-8,9.604536856619485e-8,2.9830100481143505e-4,2.7335064892197725e-4,3.242189096652044e-4,12.85984369448281,81.38191085961029
TUR.10.4_1,2055,aegypti,0.0212472092917095,1.2944950075644001e-8,1.1595640922457128e-8,1.4421881622261877e-8,1.7402166123415644e-4,1.7402166123415644e-4,1.7402166123415644e-4,1.078745840697577e-9,9.663034134042312e-10,1.2018234670574733e-9,3.708402558675744e-6,3.3218594801933767e-6,4.131506267071594e-6,12.264643468771942,80.91435740298593
TUR.10.4_1,2056,aegypti,0.023513204922980546,6.858330274250868e-9,6.055365109336464e-9,7.604613064260413e-9,1.923058234644485e-4,1.923058234644485e-4,1.923058234644485e-4,5.715275228575074e-10,5.046137587803257e-10,6.337177511432619e-10,1.7779430020039752e-6,1.5697835454235587e-6,1.9714081926580637e-6,13.506800048862464,79.49361727542245
TUR.10.4_1,2057,aegypti,0.020183030507605247,9.072739208026981e-9,8.11848276938143e-9,1.0082266899136272e-8,1.6530650783009673e-4,1.6530650783009673e-4,1.6530650783009673e-4,7.560616006706696e-10,6.765402338592706e-10,8.401889134498469e-10,2.7372797265744857e-6,2.449441096204439e-6,3.041697446438026e-6,11.722047225450046,83.35998143659596
TUR.10.4_1,2058,aegypti,0.02181165902059443,7.556985163234775e-6,7.0503411330608e-6,8.024041394985582e-6,1.78644219585448e-4,1.78644219585448e-4,1.78644219585448e-4,6.297487636034956e-7,5.875284277513481e-7,6.686701162513515e-7,0.0021088704734091132,0.0019674851713144402,0.0022392083071626806,13.30204035174307,80.34041235751474
TUR.10.4_1,2059,aegypti,0.020917972770100813,4.12381062180055e-5,4.038531413382007e-5,4.207450098969445e-5,1.7132536905346366e-4,1.7132536905346366e-4,1.7132536905346366e-4,3.4365088517206366e-6,3.365442844706975e-6,3.5062084160265465e-6,0.011999595917653826,0.011751447887341095,0.012242972588235097,12.420829150393176,81.23531649417245
TUR.10.4_1,2060,aegypti,0.02167932779962734,5.497289263628824e-5,5.4040702058774645e-5,5.5905551555809896e-5,1.7730873719042547e-4,1.7730873719042547e-4,1.7730873719042547e-4,4.581076099313755e-6,4.503393538337691e-6,4.658797677622058e-6,0.015485114350698912,0.015222938969581436,0.015748513909915315,12.802069133335916,80.37156031436288
TUR.10.4_1,2061,aegypti,0.020200622262897542,2.029830610568062e-5,1.9369054401474628e-5,2.122190593740747e-5,1.6545057722741618e-4,1.6545057722741618e-4,1.6545057722741618e-4,1.6915255257842002e-6,1.614087883274169e-6,1.7684921803273123e-6,0.0061167475921695994,0.005836759970600198,0.0063950779505115,12.072583549533851,81.57179123070404
TUR.10.4_1,2062,aegypti,0.0217871697394427,5.17185997962466e-8,4.68124036590023e-8,5.7419927562696316e-8,1.7844366524097377e-4,1.7844366524097377e-4,1.7844366524097377e-4,4.309883343606325e-9,3.901033654225887e-9,4.784993991100588e-9,1.67858179145563e-5,1.5162134274663193e-5,1.868641525190039e-5,12.755454205785759,80.97219584292733
TUR.10.4_1,2063,aegypti,0.02383338483154948,3.877747645051377e-5,3.75545466400673e-5,3.989663126994503e-5,1.9520093327518584e-4,1.9520093327518584e-4,1.9520093327518584e-4,3.231456379389238e-6,3.1295455610692266e-6,3.3247192815041033e-6,0.009903652459693109,0.009591315930689058,0.01018948126070497,13.285780145043699,80.08597363935475
TUR.10.4_1,2064,aegypti,0.02161149939369671,9.216920957981766e-7,8.444695016623926e-7,1.0065509459894483e-6,1.7675404490900362e-4,1.7675404490900362e-4,1.7675404490900362e-4,7.680767663274213e-8,7.037246033224697e-8,8.387924767354516e-8,2.613653248773464e-4,2.3968384928040506e-4,2.8530465591915287e-4,12.904704136962263,83.29206774539315
