district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,78.6579922444407,0.001075802263883339,0.0010327344514394876,0.0011227117654695334,0.012538208920910739,0.012538208920910739,0.012538208920910739,1.7579842146951356e-06,1.6876043844589584e-6,1.834639222461288e-6,7.878817311499263e-5,7.564436965106296e-5,8.221960097227271e-5
TUR.39.3_1,albopictus,2025,2075,1.1616032216066305,1.4678158355430072e-11,1.3516507357813623e-11,1.5961121313523563e-11,1.8648396701689647e-4,1.8648396701689647e-4,1.8648396701689647e-4,2.398405462659168e-14,2.2085853154234044e-14,2.6080989698714147e-14,7.769212878558163e-11,7.174107719017208e-11,8.418307535721159e-11
TUR.40.25_1,albopictus,2025,2075,203.56945991917652,0.011064803584539198,0.010930940745078476,0.011188773912098798,0.032080792479591946,0.032080792479591946,0.032080792479591946,1.8177037228917207e-5,1.7955993745840672e-5,1.8381757027180464e-5,3.4753686246332197e-4,3.433560634490517e-4,3.513515805603113e-4
TUR.59.4_1,albopictus,2025,2075,1033.8569605776113,4.0854267780754406e-7,3.9701547729364964e-7,4.212751162108175e-7,0.15125359239423508,0.15125359239423508,0.15125359239423508,6.675535245892699e-10,6.487182227866548e-10,6.883581703178552e-10,2.8687315505838236e-9,2.789450983220222e-9,2.955276691182875e-9
TUR.81.6_1,aegypti,2025,2075,0.7764083709184215,1.3333554535536196e-6,1.2692307136824565e-6,1.4029388551911603e-6,1.2464914123274455e-4,1.2464914123274455e-4,1.2464914123274455e-4,2.178686566117917e-9,2.0739074682122125e-9,2.292385054674743e-9,9.965960602040171e-6,9.488047128678718e-6,1.0483093173443412e-5
