district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.023339772865035243,1.2929672566863726e-4,1.2929672566863726e-4,1.2929672566863726e-4,1.9115857818375695e-4,1.9115857818375695e-4,1.9115857818375695e-4,1.0775026854861655e-5,1.0775026854861655e-5,1.0775026854861655e-5,0.03570037849398578,0.03570037849398578,0.03570037849398578,11.987555373027492,82.00079144941334
TUR.10.4_1,2026,aegypti,0.022567114876814898,8.258939026684065e-5,8.258939026684065e-5,8.258939026684065e-5,1.8483098352996738e-4,1.8483098352996738e-4,1.8483098352996738e-4,6.882449200912914e-6,6.882449200912914e-6,6.882449200912914e-6,0.02227625700467902,0.02227625700467902,0.02227625700467902,12.571779522612262,79.88245572553639
TUR.10.4_1,2027,aegypti,0.023083389962273798,8.458945152012287e-5,8.458945152012287e-5,8.458945152012287e-5,1.890589646490933e-4,1.890589646490933e-4,1.890589646490933e-4,7.049124040762642e-6,7.049124040762642e-6,7.049124040762642e-6,0.022327141483337327,0.022327141483337327,0.022327141483337327,12.158861481462486,81.48944526817962
TUR.10.4_1,2028,aegypti,0.022390774658325518,6.733824609028716e-11,6.733824609028716e-11,6.733824609028716e-11,1.831268400967756e-4,1.831268400967756e-4,1.831268400967756e-4,5.611517838018544e-12,5.611517838018544e-12,5.611517838018544e-12,2.0304841770920252e-8,2.0304841770920252e-8,2.0304841770920252e-8,11.52963851721542,83.77635818627044
TUR.10.4_1,2029,aegypti,0.02539449660329965,3.318559645120178e-4,3.318559645120178e-4,3.318559645120178e-4,2.0798528198567867e-4,2.0798528198567867e-4,2.0798528198567867e-4,2.7656958244381075e-5,2.7656958244381075e-5,2.7656958244381075e-5,0.08707260780370694,0.08707260780370694,0.08707260780370694,13.321432067269651,80.11147806948983
TUR.10.4_1,2030,aegypti,0.02466717953822914,1.4238270173883016e-5,1.4238270173883016e-5,1.4238270173883016e-5,2.0202911734032436e-4,2.0202911734032436e-4,2.0202911734032436e-4,1.1865233282429544e-6,1.1865233282429544e-6,1.1865233282429544e-6,0.00415458768410736,0.00415458768410736,0.00415458768410736,13.04720964363671,79.66073216901783
TUR.10.4_1,2031,aegypti,0.024058109373840945,1.4387036540775e-4,1.4387036540775e-4,1.4387036540775e-4,1.970412722641183e-4,1.970412722641183e-4,1.970412722641183e-4,1.1989199149500549e-5,1.1989199149500549e-5,1.1989199149500549e-5,0.03640848680482801,0.03640848680482801,0.03640848680482801,12.51264945995268,81.87432533409759
TUR.10.4_1,2032,aegypti,0.025439061236297217,1.617667676890866e-4,1.617667676890866e-4,1.617667676890866e-4,2.0805482105989057e-4,2.0805482105989057e-4,2.0805482105989057e-4,1.3480563974091242e-5,1.3480563974091242e-5,1.3480563974091242e-5,0.03876191388455566,0.03876191388455566,0.03876191388455566,13.1178748938586,78.91104306684498
TUR.10.4_1,2033,aegypti,0.024526308677413053,1.0919450111190887e-4,1.0919450111190887e-4,1.0919450111190887e-4,2.008754891825356e-4,2.008754891825356e-4,2.008754891825356e-4,9.099788231006948e-6,9.099788231006948e-6,9.099788231006948e-6,0.032573322227614145,0.032573322227614145,0.032573322227614145,12.991372260763812,83.02621958560312
TUR.10.4_1,2034,aegypti,0.023590985362700986,1.9081324167025127e-4,1.9081324167025127e-4,1.9081324167025127e-4,1.9321584449516482e-4,1.9321584449516482e-4,1.9321584449516482e-4,1.5901103472578293e-5,1.5901103472578293e-5,1.5901103472578293e-5,0.04923316470737663,0.04923316470737663,0.04923316470737663,12.21449005188005,80.53120984540944
TUR.10.4_1,2035,aegypti,0.022988501523995085,4.537033477791663e-5,4.537033477791663e-5,4.537033477791663e-5,1.8828188718298758e-4,1.8828188718298758e-4,1.8828188718298758e-4,3.7808612522192114e-6,3.7808612522192114e-6,3.7808612522192114e-6,0.012013365533392032,0.012013365533392032,0.012013365533392032,11.759104741925565,83.11171585228607
TUR.10.4_1,2036,aegypti,0.023661089279628865,2.8884738979551017e-5,2.8884738979551017e-5,2.8884738979551017e-5,1.9351518144748262e-4,1.9351518144748262e-4,1.9351518144748262e-4,2.4070636412844095e-6,2.4070636412844095e-6,2.4070636412844095e-6,0.007483861818606978,0.007483861818606978,0.007483861818606978,12.044812334889738,82.43104416039154
TUR.10.4_1,2037,aegypti,0.023981799713483347,4.6584025773399595e-5,4.6584025773399595e-5,4.6584025773399595e-5,1.9641634921688245e-4,1.9641634921688245e-4,1.9641634921688245e-4,3.882002147912404e-6,3.882002147912404e-6,3.882002147912404e-6,0.011823656037126817,0.011823656037126817,0.011823656037126817,11.991824139097897,80.47836929466888
TUR.10.4_1,2038,aegypti,0.02473269866206443,7.758615783004519e-5,7.758615783004519e-5,7.758615783004519e-5,2.0256566998697045e-4,2.0256566998697045e-4,2.0256566998697045e-4,6.4655166522646055e-6,6.4655166522646055e-6,6.4655166522646055e-6,0.019119791989344714,0.019119791989344714,0.019119791989344714,12.374981515918739,80.26988273766204
TUR.10.4_1,2039,aegypti,0.025598571615012736,2.2001655751247018e-4,2.2001655751247018e-4,2.2001655751247018e-4,2.0965649133318035e-4,2.0965649133318035e-4,2.0965649133318035e-4,1.833547532176437e-5,1.833547532176437e-5,1.833547532176437e-5,0.05479834533464229,0.05479834533464229,0.05479834533464229,12.797790451163618,82.29003832644784
TUR.10.4_1,2040,aegypti,0.02343044720981027,9.063957264976441e-5,9.063957264976441e-5,9.063957264976441e-5,1.9162905270181385e-4,1.9162905270181385e-4,1.9162905270181385e-4,7.5532977210667604e-6,7.5532977210667604e-6,7.5532977210667604e-6,0.02358024557265631,0.02358024557265631,0.02358024557265631,11.54308981529332,81.75367790367767
TUR.10.4_1,2041,aegypti,0.02461750913729994,1.7317547092299268e-4,1.7317547092299268e-4,1.7317547092299268e-4,2.016223536678389e-4,2.016223536678389e-4,2.016223536678389e-4,1.4431893215279838e-5,1.4431893215279838e-5,1.4431893215279838e-5,0.04610040220853403,0.04610040220853403,0.04610040220853403,12.449291294008065,79.67336199588144
