district_id,year,month,species,temp_c,rh,lambda_import,lambda_local_i1_mean,lambda_local_i1_p2_5,lambda_local_i1_p97_5,p_establishment_mean,p_establishment_p2_5,p_establishment_p97_5,q_extinction_mean,q_extinction_p2_5,q_extinction_p97_5,q_import_month,p_month_major_mean,p_month_major_p2_5,p_month_major_p97_5
TUR.10.4_1,2025,1,aegypti,1.9076979631174575,82.07717808602479,0.08950668177346113,0,0,0,0,0,0,1,1,1,0.008624530452137513,0,0,0
TUR.10.4_1,2025,2,aegypti,1.5397522550158422,86.2872310110294,0.06695370667096757,0,0,0,0,0,0,1,1,1,0.007147942494893256,0,0,0
TUR.10.4_1,2025,3,aegypti,8.335869807859554,70.30499235306922,0.08219125782891548,0,0,0,0,0,0,1,1,1,0.007922443396280232,0,0,0
TUR.10.4_1,2025,4,aegypti,9.7727491014144,84.49056491570018,0.10868282135721948,0,0,0,0,0,0,1,1,1,0.010809435736794049,0,0,0
TUR.10.4_1,2025,5,aegypti,14.633528597214642,82.55988178974857,0.15190984670215546,0,0,0,0,0,0,1,1,1,0.01459342148152487,0,0,0
TUR.10.4_1,2025,6,aegypti,20.200050914988797,82.508457048709,0.1708637659061587,0.10507899970156406,0.10454057728363675,0.10561699532718322,3.728481529408079e-9,3.2224104495881534e-9,4.288193486412517e-9,0.9999999962715185,0.9999999957118064,0.9999999967775896,0.01694123229718436,6.316507170546348e-11,5.45916039833472e-11,7.264728198858733e-11
TUR.10.4_1,2025,7,aegypti,21.90388303644517,89.0671723615429,0.20065117496521725,0.2350141138707125,0.2340042230343055,0.2359393698713499,0.15017273302239506,0.1466341144278726,0.15340285228322037,0.8498272669776049,0.8465971477167796,0.8533658855721274,0.01923054344265429,0.0028879032662892925,0.0028198537076803442,0.002950020215059548
TUR.10.4_1,2025,8,aegypti,22.780098915100098,82.17669166736681,0.23826062225528577,0.27759930248694953,0.276315232845988,0.2787297118330815,0.27954857274980577,0.2762060000580047,0.2824723637892925,0.7204514272501943,0.7175276362107075,0.7237939999419952,0.022793687242730787,0.006371942736410847,0.006295753179887842,0.006438586714928007
TUR.10.4_1,2025,9,aegypti,17.966311987708597,83.59601243196332,0.18990522147539776,0.025831378311750197,0.025658274846129453,0.02600575945453414,0,0,0,1,1,1,0.018811338239892006,0,0,0
TUR.10.4_1,2025,10,aegypti,11.512502726386574,87.9230093840779,0.1871436701930328,0,0,0,0,0,0,1,1,1,0.017947665010023428,0,0,0
TUR.10.4_1,2025,11,aegypti,9.041542340727414,81.17020000093409,0.10855261107953493,0,0,0,0,0,0,1,1,1,0.010796555375130912,0,0,0
TUR.10.4_1,2025,12,aegypti,4.256676830351353,71.84810634279388,0.08928622700868327,0,0,0,0,0,0,1,1,1,0.008603379893043162,0,0,0
TUR.10.4_1,2026,1,aegypti,3.981240140794612,74.199668015224,0.08654358298619894,0,0,0,0,0,0,1,1,1,0.008340211291077315,0,0,0
TUR.10.4_1,2026,2,aegypti,4.729166994624607,73.13338427030675,0.0647372191070383,0,0,0,0,0,0,1,1,1,0.006912131184426462,0,0,0
TUR.10.4_1,2026,3,aegypti,5.834232825895443,76.21394315873329,0.07947033452385087,0,0,0,0,0,0,1,1,1,0.0076611799413601744,0,0,0
TUR.10.4_1,2026,4,aegypti,10.756913339390474,73.5511423082783,0.10508490073521631,0,0,0,0,0,0,1,1,1,0.010453468790567855,0,0,0
TUR.10.4_1,2026,5,aegypti,15.082682497361127,79.9875017238306,0.14688090502296786,1.1526605597906262e-4,1.1359206913068202e-4,1.170128977256046e-4,0,0,0,1,1,1,0.014113735197041177,0,0,0
TUR.10.4_1,2026,6,aegypti,17.19030054877786,85.06349550085744,0.1652073589484638,0.012562373433504118,0.012461318469558705,0.012660224291224202,0,0,0,1,1,1,0.01638501695765282,0,0,0
TUR.10.4_1,2026,7,aegypti,20.535209711860208,89.92673046701165,0.19400866245752585,0.13794235784118905,0.13733447019624487,0.13855742076826377,6.514908434133937e-6,5.777520437438843e-6,7.325557613324651e-6,0.9999934850915658,0.9999926744423866,0.9999942224795625,0.01859987882103309,1.2117650740501766e-7,1.0746118002240457e-7,1.3625448390433486e-7
TUR.10.4_1,2026,8,aegypti,22.256203651428223,91.02319587879259,0.23037305736215508,0.27338251795663454,0.2722694940963906,0.27441119160908684,0.26844417910737955,0.2654590865008489,0.2711872691969354,0.7315558208926205,0.7288127308030646,0.7345409134991511,0.02204748846752791,0.0059185199430449465,0.00585270614822796,0.00597899819015982
TUR.10.4_1,2026,9,aegypti,19.28712802774766,85.53725083528363,0.18361845136729893,0.06750671702185265,0.0670953276736935,0.06787702918622811,1.3921530594984689e-14,1.1657341758564144e-14,1.6212031717088846e-14,0.9999999999999861,0.9999999999999838,0.9999999999999883,0.018194293544391837,2.5329241423238334e-16,2.1209709790261298e-16,2.949664640117053e-16
TUR.10.4_1,2026,10,aegypti,14.798754748176124,82.22702549735915,0.1809483206257652,9.358755279470513e-6,9.208377520893631e-6,9.515498282895728e-6,0,0,0,1,1,1,0.01735869903408538,0,0,0
TUR.10.4_1,2026,11,aegypti,11.483078290434445,72.70373118989893,0.1049590010398062,0,0,0,0,0,0,1,1,1,0.010441010351454949,0,0,0
TUR.10.4_1,2026,12,aegypti,4.926443494856358,75.02239986086029,0.08633042632736376,0,0,0,0,0,0,1,1,1,0.008319755058743827,0,0,0
TUR.10.4_1,2027,1,aegypti,4.327662813066341,70.62942417977479,0.08852346813970713,0,0,0,0,0,0,1,1,1,0.008530196879351526,0,0,0
TUR.10.4_1,2027,2,aegypti,5.652651081614963,72.74163774931066,0.06621823311832403,0,0,0,0,0,0,1,1,1,0.007069701937585937,0,0,0
TUR.10.4_1,2027,3,aegypti,5.483438987394466,78.61359373246376,0.08128840271607249,0,0,0,0,0,0,1,1,1,0.007835758742191001,0,0,0
TUR.10.4_1,2027,4,aegypti,10.088720475926118,76.53469333366893,0.10748896152914848,0,0,0,0,0,0,1,1,1,0.010691333199342457,0,0,0
TUR.10.4_1,2027,5,aegypti,14.26106346354765,76.92716847187748,0.15024114633901314,0,0,0,0,0,0,1,1,1,0.014434278149933588,0,0,0
TUR.10.4_1,2027,6,aegypti,17.96149309943704,85.21138368445119,0.16898686039670546,0.026365845575060998,0.02617965815078833,0.026551325907695343,0,0,0,1,1,1,0.016756704138908396,0,0,0
TUR.10.4_1,2027,7,aegypti,21.008031901191263,90.68618328683587,0.19844706051313782,0.17134658335739503,0.1705932855958952,0.17209853541837408,0.001634645768065336,0.00147277868805753,0.0018075082418117004,0.9983653542319346,0.9981924917581884,0.9985272213119425,0.01902132163301884,3.109312291042387e-5,2.8014197119797803e-5,3.4381195621832747e-5
TUR.10.4_1,2027,8,aegypti,22.17793369293213,92.35766090564806,0.23564337527945642,0.27221415154648754,0.2710634287735945,0.27325605213012444,0.26530689969910654,0.26219398128396226,0.26810876496715563,0.7346931003008935,0.7318912350328444,0.7378060187160378,0.022546147159835495,0.005981648403135771,0.005911464086451366,0.006044819669791239
TUR.10.4_1,2027,9,aegypti,18.059913214515237,90.9263804739555,0.18781914924954696,0.031169552897916657,0.03097371497704281,0.03136011510594925,0,0,0,1,1,1,0.018606633847665255,0,0,0
TUR.10.4_1,2027,10,aegypti,16.914449747870947,80.86137150565993,0.18508793307532512,0.0085540433024759,0.008474417894087179,0.008626883200888995,0,0,0,1,1,1,0.017752273822955522,0,0,0
TUR.10.4_1,2027,11,aegypti,7.826254178495969,81.88544810884424,0.10736018158624719,0,0,0,0,0,0,1,1,1,0.010678592805945075,0,0,0
TUR.10.4_1,2027,12,aegypti,2.1447251215577126,80.49839778566498,0.08830543502799541,0,0,0,0,0,0,1,1,1,0.008509276667062804,0,0,0
TUR.10.4_1,2028,1,aegypti,1.3842147463549148,90.6447592627826,0.08574556692055314,0,0,0,0,0,0,1,1,1,0.008263625065157654,0,0,0
TUR.10.4_1,2028,2,aegypti,5.726936588817112,72.72405199491612,0.06643100318775212,0,0,0,0,0,0,1,1,1,0.006848613363387601,0,0,0
TUR.10.4_1,2028,3,aegypti,5.401063937803402,81.49243131791297,0.07873754069322807,0,0,0,0,0,0,1,1,1,0.007590805210714424,0,0,0
TUR.10.4_1,2028,4,aegypti,9.420816575779634,71.71308383659861,0.10411591567416482,0,0,0,0,0,0,1,1,1,0.010357578564237357,0,0,0
TUR.10.4_1,2028,5,aegypti,15.722939379074994,81.50498829609623,0.14552652012347028,0.0011512821224756008,0.0011367255745490237,0.0011655437333817755,0,0,0,1,1,1,0.013984507102197674,0,0,0
TUR.10.4_1,2028,6,aegypti,19.067560756907742,83.19980989294729,0.16368398630713454,0.0569895102534453,0.05662143925828566,0.0573323092229388,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.016235164328396,1.8024653245958257e-18,1.8024653245958257e-18,1.8024653245958257e-18
TUR.10.4_1,2028,7,aegypti,20.21106725580552,90.9856293927929,0.19221971376631847,0.12037364174070046,0.11981610937374723,0.1209292176680508,1.6087767874339854e-7,1.4129559486597555e-7,1.8218908059974837e-7,0.9999998391223213,0.9999998178109194,0.9999998587044052,0.018429960132724466,2.964969205486089e-9,2.604072180309517e-9,3.3577374920710868e-9
TUR.10.4_1,2028,8,aegypti,20.4249849319458,83.67695106678087,0.22824879355745153,0.11901681511614576,0.11839147259299572,0.11960837211005032,1.1781192435489362e-7,1.0165482322854746e-7,1.347090806569362e-7,0.9999998821880757,0.9999998652909193,0.9999998983451768,0.021846426273635533,2.57376951957431e-9,2.220794601021915e-9,2.942911998960979e-9
TUR.10.4_1,2028,9,aegypti,17.112660940955667,92.37734635530316,0.181925310534853,0.012882937207163218,0.01278559823282014,0.012976659202478924,0,0,0,1,1,1,0.01802804593764562,0,0,0
TUR.10.4_1,2028,10,aegypti,13.471415575812843,88.70407627860915,0.17927980099752175,0,0,0,0,0,0,1,1,1,0.017200019484931217,0,0,0
TUR.10.4_1,2028,11,aegypti,8.162676621885861,82.72433818452784,0.10399117689648113,0,0,0,0,0,0,1,1,1,0.010345233808644605,0,0,0
