district_id,province_name,district_name,pi_scenario,year,month,V_TR,pi_global,seasonal_multiplier,M_climate,eta,rho,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.06705690518671184,1,0.6281034622015411,1,0.25,1.0911248368792599,31,7,0.011489182909643167,0.08042428036750217,0.35616467019893816,0.35616467019893816,0.07727523068095121
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.06705690518671184,1,0.6545846179366359,1,0.25,1.0911248368792599,29,7,0.011973572600527605,0.08381500820369324,0.3472336054153006,0.3472336054153006,0.08039864093188753
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.06705690518671184,1,0.6517097770197132,1,0.25,1.0911248368792599,31,7,0.011920986402363882,0.08344690481654717,0.3695505784732803,0.3695505784732803,0.0800600702461054
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.06705690518671184,1,0.8013462854757657,1,0.25,1.0911248368792599,30,7,0.014658117017097396,0.10260681911968178,0.4397435105129219,0.4397435105129219,0.09751825770130362
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.06705690518671184,1,1.103207914941687,1,0.25,1.0911248368792599,31,7,0.020179728794527892,0.14125810156169524,0.6255715926303647,0.6255715926303647,0.1317348178246628
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.06705690518671184,1,1.2494033544433176,1,0.25,1.0911248368792599,30,7,0.02285391584502205,0.15997741091515436,0.6856174753506615,0.6856174753506615,0.14783696166802707
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.06705690518671184,1,1.4337240087847871,1,0.25,1.0911248368792599,31,7,0.02622548412826572,0.18357838889786005,0.8129900079762373,0.8129900079762373,0.16771336885101706
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.06705690518671184,1,1.5342554185233497,1,0.25,1.0911248368792599,31,7,0.028064390971100497,0.19645073679770347,0.8699961201041154,0.8699961201041154,0.1783581929951823
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.06705690518671184,1,1.3207324366221658,1,0.25,1.0911248368792599,30,7,0.024158657692897417,0.16911060385028193,0.7247597307869225,0.7247597307869225,0.15558449738493985
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.06705690518671184,1,1.243603460048037,1,0.25,1.0911248368792599,31,7,0.022747824967365635,0.15923477477155945,0.7051825739883347,0.7051825739883347,0.14720387954979053
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.06705690518671184,1,0.7251823004971923,1,0.25,1.0911248368792599,30,7,0.013264935786287112,0.09285455050400979,0.39794807358861334,0.39794807358861334,0.08867395742962203
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.06705690518671184,1,0.6541469635058071,1,0.25,1.0911248368792599,31,7,0.011965567085338464,0.08375896959736924,0.37093257964549237,0.37093257964549237,0.080347106309401
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.06705690518671184,1.165393464128417,0.6281034622015411,1.203212843421189,0.25,1.0911248368792599,31,7,0.01611032051097977,0.11277224357685839,0.49941993584037286,0.49941993584037286,0.1066458959173543
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.06705690518671184,1.165393464128417,0.6545846179366359,1.203212843421189,0.25,1.0911248368792599,28,7,0.016789539671622857,0.11752677770136,0.47010711080544,0.47010711080544,0.11088329707386835
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.06705690518671184,1.165393464128417,0.6517097770197132,1.203212843421189,0.25,1.0911248368792599,31,7,0.016715802443002324,0.11701061710101626,0.5181898757330721,0.5181898757330721,0.11042425160230895
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.06705690518671184,1.165393464128417,0.8013462854757657,1.203212843421189,0.25,1.0911248368792599,30,7,0.02055385183524945,0.14387696284674617,0.6166155550574836,0.6166155550574836,0.13400570902300213
TUR.10.4_1,Artvin,Hopa,high,2025,5,0.06705690518671184,1.165393464128417,1.103207914941687,1.203212843421189,0.25,1.0911248368792599,31,7,0.028296346333874227,0.19807442433711958,0.877186736350101,0.877186736350101,0.1796912000727311
TUR.10.4_1,Artvin,Hopa,high,2025,6,0.06705690518671184,1.165393464128417,1.2494033544433176,1.203212843421189,0.25,1.0911248368792599,30,7,0.03204613522909781,0.22432294660368465,0.9613840568729342,0.9613840568729342,0.20094296006095025
TUR.10.4_1,Artvin,Hopa,high,2025,7,0.06705690518671184,1.165393464128417,1.4337240087847871,1.203212843421189,0.25,1.0911248368792599,31,7,0.036773803514552617,0.2574166246018683,1.1399879089511311,1.1399879089511311,0.2269539233489254
TUR.10.4_1,Artvin,Hopa,high,2025,8,0.06705690518671184,1.165393464128417,1.5342554185233497,1.203212843421189,0.25,1.0911248368792599,31,7,0.0393523488176339,0.2754664417234373,1.2199228133466509,1.2199228133466509,0.24078209028886044
TUR.10.4_1,Artvin,Hopa,high,2025,9,0.06705690518671184,1.165393464128417,1.3207324366221658,1.203212843421189,0.25,1.0911248368792599,30,7,0.03387566562465951,0.23712965937261657,1.0162699687397854,1.0162699687397854,0.21111100546599681
TUR.10.4_1,Artvin,Hopa,high,2025,10,0.06705690518671184,1.165393464128417,1.243603460048037,1.203212843421189,0.25,1.0911248368792599,31,7,0.031897372862289164,0.22328161003602415,0.9888185587309641,0.9888185587309641,0.20011043935371808
TUR.10.4_1,Artvin,Hopa,high,2025,11,0.06705690518671184,1.165393464128417,0.7251823004971923,1.203212843421189,0.25,1.0911248368792599,30,7,0.018600310287974,0.13020217201581802,0.55800930863922,0.55800930863922,0.12208207745857047
TUR.10.4_1,Artvin,Hopa,high,2025,12,0.06705690518671184,1.165393464128417,0.6541469635058071,1.203212843421189,0.25,1.0911248368792599,31,7,0.016778314207064857,0.117448199449454,0.5201277404190106,0.5201277404190106,0.11081342909259606
TUR.10.4_1,Artvin,Hopa,high,2026,1,0.06705690518671184,1.35121251537538,0.6281034622015411,1.1633806969029414,0.25,1.0911248368792599,31,7,0.01806070322388556,0.12642492256719892,0.5598817999404524,0.5598817999404524,0.11875969168000167
TUR.10.4_1,Artvin,Hopa,high,2026,2,0.06705690518671184,1.35121251537538,0.6545846179366359,1.1633806969029414,0.25,1.0911248368792599,28,7,0.018822151494017177,0.13175506045812024,0.527020241832481,0.527020241832481,0.12344432806840988
TUR.10.4_1,Artvin,Hopa,high,2026,3,0.06705690518671184,1.35121251537538,0.6517097770197132,1.1633806969029414,0.25,1.0911248368792599,31,7,0.0187394873284123,0.1311764112988861,0.5809241071807812,0.5809241071807812,0.12293696308682167
TUR.10.4_1,Artvin,Hopa,high,2026,4,0.06705690518671184,1.35121251537538,0.8013462854757657,1.1633806969029414,0.25,1.0911248368792599,30,7,0.023042187016152654,0.16129530911306858,0.6912656104845796,0.6912656104845796,0.14895928608346864
TUR.10.4_1,Artvin,Hopa,high,2026,5,0.06705690518671184,1.35121251537538,1.103207914941687,1.1633806969029414,0.25,1.0911248368792599,31,7,0.03172202024832989,0.22205414173830923,0.9833826276982265,0.9833826276982265,0.19912799744155285
TUR.10.4_1,Artvin,Hopa,high,2026,6,0.06705690518671184,1.35121251537538,1.2494033544433176,1.1633806969029414,0.25,1.0911248368792599,30,7,0.03592577425450863,0.25148041978156044,1.077773227635259,1.077773227635259,0.22235131600819913
TUR.10.4_1,Artvin,Hopa,high,2026,7,0.06705690518671184,1.35121251537538,1.4337240087847871,1.1633806969029414,0.25,1.0911248368792599,31,7,0.04122579381565778,0.2885805567096045,1.2779996082853913,1.2779996082853913,0.2506735605562771
TUR.10.4_1,Artvin,Hopa,high,2026,8,0.06705690518671184,1.35121251537538,1.5342554185233497,1.1633806969029414,0.25,1.0911248368792599,31,7,0.044116508586760916,0.3088155601073264,1.3676117661895884,1.3676117661895884,0.2656838052628343
TUR.10.4_1,Artvin,Hopa,high,2026,9,0.06705690518671184,1.35121251537538,1.3207324366221658,1.1633806969029414,0.25,1.0911248368792599,30,7,0.037976795243867476,0.2658375667070723,1.1393038573160243,1.1393038573160243,0.23343636715603955
TUR.10.4_1,Artvin,Hopa,high,2026,10,0.06705690518671184,1.35121251537538,1.243603460048037,1.1633806969029414,0.25,1.0911248368792599,31,7,0.03575900209401793,0.2503130146581255,1.1085290649145558,1.1085290649145558,0.22144295484069643
TUR.10.4_1,Artvin,Hopa,high,2026,11,0.06705690518671184,1.35121251537538,0.7251823004971923,1.1633806969029414,0.25,1.0911248368792599,30,7,0.02085214156691247,0.14596499096838728,0.6255642470073741,0.6255642470073741,0.13581204296143212
TUR.10.4_1,Artvin,Hopa,high,2026,12,0.06705690518671184,1.35121251537538,0.6541469635058071,1.1633806969029414,0.25,1.0911248368792599,31,7,0.01880956702781775,0.13166696919472426,0.5830965778623503,0.5830965778623503,0.12336710777066562
TUR.10.4_1,Artvin,Hopa,high,2027,1,0.06705690518671184,1.559886660763142,0.6281034622015411,1.1899957644146502,0.25,1.0911248368792599,31,7,0.021326893655534453,0.14928825558874118,0.6611337033215681,0.6611337033215681,0.138679201422495
