year,month,M_climate,deltaT_centered
2024,1,1,0
2024,2,1,0
2024,3,1,0
2024,4,1,0
2024,5,1,0
2024,6,1,0
2024,7,1,0
2024,8,1,0
2024,9,1,0
2024,10,1,0
2024,11,1,0
2024,12,1,0
2025,1,0.9449988234365747,-0.4230859735648096
2025,2,0.9449988234365747,-0.4230859735648096
2025,3,0.9449988234365747,-0.4230859735648096
2025,4,0.9449988234365747,-0.4230859735648096
2025,5,0.9449988234365747,-0.4230859735648096
2025,6,0.9449988234365747,-0.4230859735648096
2025,7,0.9449988234365747,-0.4230859735648096
2025,8,0.9449988234365747,-0.4230859735648096
2025,9,0.9449988234365747,-0.4230859735648096
2025,10,0.9449988234365747,-0.4230859735648096
2025,11,0.9449988234365747,-0.4230859735648096
2025,12,0.9449988234365747,-0.4230859735648096
2026,1,1.0754719476161918,0.5805534432014756
2026,2,1.0754719476161918,0.5805534432014756
2026,3,1.0754719476161918,0.5805534432014756
2026,4,1.0754719476161918,0.5805534432014756
2026,5,1.0754719476161918,0.5805534432014756
2026,6,1.0754719476161918,0.5805534432014756
2026,7,1.0754719476161918,0.5805534432014756
2026,8,1.0754719476161918,0.5805534432014756
2026,9,1.0754719476161918,0.5805534432014756
2026,10,1.0754719476161918,0.5805534432014756
2026,11,1.0754719476161918,0.5805534432014756
2026,12,1.0754719476161918,0.5805534432014756
2027,1,1.0238316597676584,0.18332045975121858
2027,2,1.0238316597676584,0.18332045975121858
2027,3,1.0238316597676584,0.18332045975121858
2027,4,1.0238316597676584,0.18332045975121858
2027,5,1.0238316597676584,0.18332045975121858
2027,6,1.0238316597676584,0.18332045975121858
2027,7,1.0238316597676584,0.18332045975121858
2027,8,1.0238316597676584,0.18332045975121858
2027,9,1.0238316597676584,0.18332045975121858
2027,10,1.0238316597676584,0.18332045975121858
2027,11,1.0238316597676584,0.18332045975121858
2027,12,1.0238316597676584,0.18332045975121858
2028,1,0.9725170934514388,-0.21140697345047066
2028,2,0.9725170934514388,-0.21140697345047066
2028,3,0.9725170934514388,-0.21140697345047066
2028,4,0.9725170934514388,-0.21140697345047066
2028,5,0.9725170934514388,-0.21140697345047066
2028,6,0.9725170934514388,-0.21140697345047066
2028,7,0.9725170934514388,-0.21140697345047066
2028,8,0.9725170934514388,-0.21140697345047066
2028,9,0.9725170934514388,-0.21140697345047066
2028,10,0.9725170934514388,-0.21140697345047066
2028,11,0.9725170934514388,-0.21140697345047066
2028,12,0.9725170934514388,-0.21140697345047066
2029,1,0.9181745453371569,-0.6294265743295622
2029,2,0.9181745453371569,-0.6294265743295622
2029,3,0.9181745453371569,-0.6294265743295622
2029,4,0.9181745453371569,-0.6294265743295622
2029,5,0.9181745453371569,-0.6294265743295622
2029,6,0.9181745453371569,-0.6294265743295622
2029,7,0.9181745453371569,-0.6294265743295622
2029,8,0.9181745453371569,-0.6294265743295622
2029,9,0.9181745453371569,-0.6294265743295622
2029,10,0.9181745453371569,-0.6294265743295622
2029,11,0.9181745453371569,-0.6294265743295622
2029,12,0.9181745453371569,-0.6294265743295622
2030,1,1.0847160873686814,0.6516622105283183
2030,2,1.0847160873686814,0.6516622105283183
2030,3,1.0847160873686814,0.6516622105283183
2030,4,1.0847160873686814,0.6516622105283183
2030,5,1.0847160873686814,0.6516622105283183
2030,6,1.0847160873686814,0.6516622105283183
2030,7,1.0847160873686814,0.6516622105283183
2030,8,1.0847160873686814,0.6516622105283183
2030,9,1.0847160873686814,0.6516622105283183
2030,10,1.0847160873686814,0.6516622105283183
2030,11,1.0847160873686814,0.6516622105283183
2030,12,1.0847160873686814,0.6516622105283183
2031,1,1.0376587292610897,0.28968253277761313
2031,2,1.0376587292610897,0.28968253277761313
2031,3,1.0376587292610897,0.28968253277761313
2031,4,1.0376587292610897,0.28968253277761313
2031,5,1.0376587292610897,0.28968253277761313
2031,6,1.0376587292610897,0.28968253277761313
2031,7,1.0376587292610897,0.28968253277761313
2031,8,1.0376587292610897,0.28968253277761313
2031,9,1.0376587292610897,0.28968253277761313
2031,10,1.0376587292610897,0.28968253277761313
2031,11,1.0376587292610897,0.28968253277761313
2031,12,1.0376587292610897,0.28968253277761313
2032,1,0.9152370533713479,-0.652022666374247
2032,2,0.9152370533713479,-0.652022666374247
2032,3,0.9152370533713479,-0.652022666374247
2032,4,0.9152370533713479,-0.652022666374247
2032,5,0.9152370533713479,-0.652022666374247
2032,6,0.9152370533713479,-0.652022666374247
2032,7,0.9152370533713479,-0.652022666374247
2032,8,0.9152370533713479,-0.652022666374247
2032,9,0.9152370533713479,-0.652022666374247
2032,10,0.9152370533713479,-0.652022666374247
2032,11,0.9152370533713479,-0.652022666374247
2032,12,0.9152370533713479,-0.652022666374247
2033,1,1.0553152644018373,0.42550203386028684
2033,2,1.0553152644018373,0.42550203386028684
2033,3,1.0553152644018373,0.42550203386028684
2033,4,1.0553152644018373,0.42550203386028684
2033,5,1.0553152644018373,0.42550203386028684
2033,6,1.0553152644018373,0.42550203386028684
2033,7,1.0553152644018373,0.42550203386028684
2033,8,1.0553152644018373,0.42550203386028684
2033,9,1.0553152644018373,0.42550203386028684
2033,10,1.0553152644018373,0.42550203386028684
2033,11,1.0553152644018373,0.42550203386028684
2033,12,1.0553152644018373,0.42550203386028684
2034,1,1.0742312068379716,0.5710092833690119
2034,2,1.0742312068379716,0.5710092833690119
2034,3,1.0742312068379716,0.5710092833690119
2034,4,1.0742312068379716,0.5710092833690119
2034,5,1.0742312068379716,0.5710092833690119
2034,6,1.0742312068379716,0.5710092833690119
2034,7,1.0742312068379716,0.5710092833690119
2034,8,1.0742312068379716,0.5710092833690119
2034,9,1.0742312068379716,0.5710092833690119
2034,10,1.0742312068379716,0.5710092833690119
2034,11,1.0742312068379716,0.5710092833690119
