scenario,m_val,beta_vh,ip_days,gamma_day,mean_delta_pct,mean_delta_abs,mean_p_mean
m_200,2,0.3,5,0.2,733613.3603792281,0.20590899149617065,0.279766250946918
beta_plus_20,1,0.36,5,0.2,1868.1737139436495,0.07566094821706457,0.1495182076678119
ip_plus_20,1,0.3,6,0.16666666666666666,1868.1737139436495,0.0756609482170646,0.14951820766781193
m_120,1.2,0.3,5,0.2,1868.1737139436495,0.07566094821706455,0.14951820766781188
m_050,0.5,0.3,5,0.2,-99.98651368312049,-0.07385702656441322,2.3288633410611936e-7
beta_minus_20,1,0.24,5,0.2,-89.12701850118567,-0.06677916557851078,0.007078093872236546
ip_minus_20,1,0.3,4,0.25,-89.12701850118567,-0.06677916557851078,0.007078093872236546
m_080,0.8,0.3,5,0.2,-89.12701850118567,-0.06677916557851078,0.007078093872236546
