district_id,year,month,species,temp_c,rh,lambda_import,lambda_local_i1_mean,lambda_local_i1_p2_5,lambda_local_i1_p97_5,p_establishment_mean,p_establishment_p2_5,p_establishment_p97_5,q_extinction_mean,q_extinction_p2_5,q_extinction_p97_5,q_import_month,p_month_major_mean,p_month_major_p2_5,p_month_major_p97_5
TUR.59.4_1,2067,4,albopictus,11.601732099757475,58.19001592574271,0.09511631850829826,1.0531452398809975e-5,1.003543200799675e-5,1.1027680140792929e-5,0,0,0,1,1,1,0.009466539361565496,0,0,0
TUR.59.4_1,2067,5,albopictus,15.818664691027472,65.58605579724427,0.1329474629295605,0.013996482796417138,0.013901751217006588,0.014094209580221822,0,0,0,1,1,1,0.012783471841656957,0,0,0
TUR.59.4_1,2067,6,albopictus,23.59836586783914,39.88733724700507,0.14953542957852137,0.1037760736961085,0.10321897794730005,0.10428244736548123,2.6324179240866384e-9,2.2590061599103707e-9,3.0075783308269877e-09,0.999999997367582,0.9999999969924217,0.9999999977409938,0.014842293946960128,3.907112062054046e-11,3.3528833453383333e-11,4.463936165464184e-11
TUR.59.4_1,2067,7,albopictus,27.43747475567986,31.779060929675914,0.1756045787983964,0.10203477946781982,0.10128575681551781,0.10273298347292359,1.6439707797299973e-9,1.3316279023900536e-9,1.9799438172318775e-9,0.9999999983560293,0.9999999980200562,0.9999999986683721,0.016850408125190453,2.7701578584338032e-11,2.2438473626163677e-11,3.3362861385304625e-11
TUR.59.4_1,2067,8,albopictus,28.814971811631146,34.54526295710402,0.2085193681155177,0.10041140985358873,0.09967544832462218,0.10113148343657326,1.0504507621522664e-9,8.50286094311592e-10,1.2760364986874606e-9,0.9999999989495493,0.9999999987239635,0.9999999991497139,0.019977054375038383,2.0984911993816337e-11,1.6986211540401687e-11,2.5491450518812996e-11
TUR.59.4_1,2067,9,albopictus,24.70761501087862,39.1555014868454,0.16620000572926777,0.1132855720468676,0.11269332941655431,0.11386817915190614,3.0153936991128564e-8,2.601331290652542e-8,3.4668310872065784e-8,0.999999969846063,0.9999999653316891,0.9999999739866872,0.01648265033644647,4.970167996920108e-10,4.287683407308285e-10,5.714256458594859e-10
TUR.59.4_1,2067,10,albopictus,18.673090542063996,49.391500163888885,0.16378316939699142,0.04191259368995737,0.041682154837263466,0.04212669608028329,0,0,0,1,1,1,0.015725034159388085,0,0,0
TUR.59.4_1,2067,11,albopictus,12.435734678717221,68.29703670223024,0.09500236193180686,2.780344228021023e-4,2.717965085538025e-4,2.8380607742275874e-4,0,0,0,1,1,1,0.009455251517041963,0,0,0
TUR.59.4_1,2067,12,albopictus,8.20782683877384,74.31148923075934,0.0781409343308146,0,0,0,0,0,0,1,1,1,0.007533505720502931,0,0,0
TUR.59.4_1,2068,1,albopictus,5.292027267463067,74.59988064979612,0.07516658468740847,0,0,0,0,0,0,1,1,1,0.0072477927610106185,0,0,0
TUR.59.4_1,2068,2,albopictus,7.328121202833513,78.65868870518274,0.05823498294212992,0,0,0,0,0,0,1,1,1,0.006006198817800623,0,0,0
TUR.59.4_1,2068,3,albopictus,9.077577492770025,69.54604281636048,0.06902318374172593,0,0,0,0,0,0,1,1,1,0.006657403583481325,0,0,0
TUR.59.4_1,2068,4,albopictus,11.894887769923491,69.46336950240287,0.09127046533006586,5.57099198100616e-5,5.408003071222702e-5,5.7442668954765954e-5,0,0,0,1,1,1,0.009085521473544689,0,0,0
TUR.59.4_1,2068,5,albopictus,16.330233714159796,75.14844898572083,0.12757197709427792,0.021477555760344953,0.021360905328170556,0.021600943939130486,0,0,0,1,1,1,0.01226978000145973,0,0,0
TUR.59.4_1,2068,6,albopictus,23.11343582938699,47.75569585906562,0.1434892398592175,0.11243482255058532,0.11195565262250814,0.1128788429399618,2.4450916630947005e-8,2.168384905520959e-8,2.7226244783684624e-8,0.9999999755490834,0.9999999727737552,0.999999978316151,0.014246468802094792,3.483392209654072e-10,3.0891827907437605e-10,3.8787784690895907e-10
TUR.59.4_1,2068,7,albopictus,27.316194085513846,37.90029200877748,0.16850433103780782,0.1180673770409688,0.11732758034500848,0.11877746587651021,9.459224340624405e-8,7.926183989981351e-8,1.1118967769840892e-7,0.9999999054077566,0.9999998888103223,0.99999992073816,0.01617463349645465,1.5299948687034266e-9,1.2820312106341491e-9,1.7984522853606812e-9
TUR.59.4_1,2068,8,albopictus,27.24827755198759,41.03888859797316,0.20008827146284278,0.12697451197323031,0.1262376323255747,0.12765683352544696,6.94405331100989e-7,5.907609692323844e-7,8.012651078803667e-7,0.9999993055946689,0.9999991987348922,0.9999994092390307,0.01917711502979924,1.3316690911829495e-8,1.1329091062085127e-8,1.5365953143186292e-8
TUR.59.4_1,2068,9,albopictus,24.91542636646944,38.80774224001923,0.1594800145618175,0.11412538476244391,0.11354155932521891,0.11478600732964775,3.699975583548731e-8,3.201830426347029e-8,4.329030190708405e-8,0.9999999630002442,0.9999999567096981,0.9999999679816958,0.015821505426651616,5.853918377359473e-10,5.065777746566779e-10,6.849177465443171e-10
TUR.59.4_1,2068,10,albopictus,15.737095440135283,52.45166938385959,0.1571608985559323,0.011062807603798113,0.01098212312879172,0.011153407355175723,0,0,0,1,1,1,0.015094044694135222,0,0,0
TUR.59.4_1,2068,11,albopictus,11.818872381659116,71.81735377986696,0.09116111637788912,4.388352565831206e-5,4.248658439628257e-5,4.535346694366555e-5,0,0,0,1,1,1,0.009074685868309396,0,0,0
TUR.59.4_1,2068,12,albopictus,8.64513848809635,75.13090909159918,0.07498144955092381,0,0,0,0,0,0,1,1,1,0.007230006151800139,0,0,0
TUR.59.4_1,2069,1,albopictus,7.830763849265435,79.70058865760862,0.07955972477999533,0,0,0,0,0,0,1,1,1,0.0076697642998402316,0,0,0
