ssp,parameter,value,label,lambda_2075_main,M_climate_2075
ssp585,k_elasticity,0.1,k010,3296.8125878062783,1.5376870153539814
ssp585,k_elasticity,0.13,k013,3642.654095763134,1.6989931199601758
ssp585,k_elasticity,0.2,k020,4449.617614329131,2.075374030707963
ssp585,eta_x_rho,0.75,eta_rho_low,1092.7962287289402,1.6989931199601758
ssp585,eta_x_rho,2.5,eta_rho_base,3642.654095763134,1.6989931199601758
ssp585,eta_x_rho,6.6000000000000005,eta_rho_high,9616.606812814674,1.6989931199601758
