district_id,month,CSI_3_mean,CSI_4_mean,R_suit_mean,pr_mm_mean,delta_CSI
TUR.10.4_1,1,0.0033235098265630733,0.07749263236992229,0.3,17187.888696190326,0.07416912254335924
TUR.10.4_1,2,0.008333419341306152,0.0812500645059796,0.3,13885.385432347666,0.07291664516467346
TUR.10.4_1,3,0.04087200636924631,0.10565400477693472,0.3,15334.654411297606,0.06478199840768842
TUR.10.4_1,4,0.2078034958745043,0.2308526219058782,0.3,12836.128722290197,0.023049126031373924
TUR.10.4_1,5,0.3962708495868183,0.3722031371901137,0.3,13524.963707974171,-0.02406771239670456
TUR.10.4_1,6,0.5562522893040789,0.4921892169780592,0.3,17729.15005840495,-0.06406307232601974
TUR.10.4_1,7,0.6864063814031927,0.5898047860523945,0.3,15278.371993226265,-0.0966015953507982
TUR.10.4_1,8,0.7380588697147754,0.6285441522860815,0.3,15790.94228233001,-0.10951471742869388
TUR.10.4_1,9,0.6053560767904123,0.5290170575928091,0.3,18615.097622257465,-0.07633901919760307
TUR.10.4_1,10,0.39137011117179504,0.3685275833788463,0.3,23698.728250722055,-0.022842527792948753
TUR.10.4_1,11,0.13284332843446134,0.174632496325846,0.3,22120.07719540471,0.04178916789138467
TUR.10.4_1,12,0.021142861167819778,0.09085714587586483,0.3,17488.051430155974,0.06971428470804505
TUR.39.3_1,1,0.0022749473996677766,0.07670621054975083,0.3,8473.196276083774,0.07443126315008305
TUR.39.3_1,2,0.0031276013711688338,0.07734570102837662,0.3,6220.602819827447,0.07421809965720778
TUR.39.3_1,3,0.022864231781130232,0.09214817383584767,0.3,6886.259092276289,0.06928394205471744
TUR.39.3_1,4,0.16995193372165113,0.20246395029123834,0.3,5369.511873062095,0.032512016569587215
TUR.39.3_1,5,0.41730379504247805,0.39067013346096363,0.31076914871642036,4416.493731621325,-0.026633661581514402
TUR.39.3_1,6,0.6814486145614934,0.5875687400571499,0.3059291165441196,1754.074905742671,-0.09387987450434347
TUR.39.3_1,7,0.8195444883812252,0.7241425844800677,0.4379368727765954,562.9634146672611,-0.09540190390115748
TUR.39.3_1,8,0.8264720575985851,0.7369399501369779,0.46834362775215604,488.02222497064906,-0.0895321074616073
TUR.39.3_1,9,0.6483092121230218,0.5764681042137466,0.3609447804859212,1638.490043352932,-0.07184110790927517
TUR.39.3_1,10,0.35126786428340984,0.34527138875837926,0.32728196218328753,4164.603159434631,-0.005996475525030565
TUR.39.3_1,11,0.07036850940776093,0.1312077546048403,0.3137254901960784,6079.934001172525,0.060839245197079374
TUR.39.3_1,12,0.002836203172050817,0.07712715237903811,0.3,6394.670081214808,0.0742909492069873
TUR.40.25_1,1,0.06587963480576935,0.124409726104327,0.3,7519.517893736686,0.058530091298557664
TUR.40.25_1,2,0.05872288986730466,0.11904216740047849,0.3,4950.622661220535,0.060319277533173836
TUR.40.25_1,3,0.10840565191272454,0.1563042389345434,0.3,7601.494289012694,0.047898587021818866
TUR.40.25_1,4,0.2863254225198802,0.29411117470996145,0.31746843128020535,4149.788683586475,0.0077857521900813
TUR.40.25_1,5,0.5357436090139498,0.48149430759925277,0.31874640335516163,2993.556995964617,-0.05424930141469703
TUR.40.25_1,6,0.7408329754769463,0.6354022792975423,0.31911019075933056,2482.1098588867903,-0.10543069617940397
TUR.40.25_1,7,0.8197743449668233,0.7090270649829118,0.37678522503117756,1783.2597648436304,-0.11074727998391146
TUR.40.25_1,8,0.8315536139320305,0.7169871983750039,0.373287951703924,1392.660592248125,-0.11456641555702667
TUR.40.25_1,9,0.7173536127829434,0.6265630233536991,0.3541912550659662,5155.215936089052,-0.09079058942924433
TUR.40.25_1,10,0.5047367587630273,0.4535525690722705,0.3,6452.039712665696,-0.05118418969075682
TUR.40.25_1,11,0.2641573827347531,0.2731180370510648,0.3,8391.727539883326,0.008960654316311734
TUR.40.25_1,12,0.11144022033233454,0.1585801652492509,0.3,8881.508653535164,0.04713994491691636
TUR.59.4_1,1,0.030329231941286627,0.09774692395596497,0.3,9197.374402073685,0.06741769201467834
TUR.59.4_1,2,0.02910398151958089,0.09682798613968566,0.3,7396.33996351615,0.06772400462010478
TUR.59.4_1,3,0.11825110674215636,0.16368833005661726,0.3,6813.554294985626,0.04543722331446091
TUR.59.4_1,4,0.29331208209460924,0.2949840615709569,0.3,4319.987517856233,0.0016719794763476968
