district_id,month,pr_mm_mean,pr_mm_sd
TUR.10.4_1,1,18422.50097668616,5734.566564354468
TUR.10.4_1,2,15092.141477300578,6003.676668748161
TUR.10.4_1,3,16810.072552075846,4474.3579378136465
TUR.10.4_1,4,11832.723407062209,3734.9630537406
TUR.10.4_1,5,14134.363750713283,4200.946847857751
TUR.10.4_1,6,16811.87372560062,6287.251449895373
TUR.10.4_1,7,15895.755993947163,8012.054077026002
TUR.10.4_1,8,17534.265246558767,8367.425231079575
TUR.10.4_1,9,18518.33410482443,7704.2486819928
TUR.10.4_1,10,21649.70514011636,10052.436423929454
TUR.10.4_1,11,19558.918278127043,9335.45677329719
TUR.10.4_1,12,15131.457607612954,7091.173981831472
TUR.39.3_1,1,8045.493265414742,3590.5873973890593
TUR.39.3_1,2,6472.321232059853,3461.6097886810812
TUR.39.3_1,3,6304.271073496859,2823.230911566677
TUR.39.3_1,4,5862.308539206425,3316.608694324024
TUR.39.3_1,5,4821.94920012737,3121.920403184768
TUR.39.3_1,6,1922.623270115529,1261.0270213869421
TUR.39.3_1,7,649.1961661194781,768.914257995892
TUR.39.3_1,8,269.9333728331265,602.4445232079737
TUR.39.3_1,9,1346.399418482862,1300.0057404824718
TUR.39.3_1,10,3793.9539570737634,2746.2499129361154
TUR.39.3_1,11,6653.272838037051,2679.276284402361
TUR.39.3_1,12,7526.772650061555,3045.018855432552
TUR.40.25_1,1,7306.975076675499,3144.080950809176
TUR.40.25_1,2,5424.803576586722,2936.2069359747693
TUR.40.25_1,3,7146.8391585921845,3287.9732218513554
TUR.40.25_1,4,4324.734928263135,2217.080409615023
TUR.40.25_1,5,3099.1577571086655,2117.7524748985047
TUR.40.25_1,6,2573.9873265870383,2405.5089236391427
TUR.40.25_1,7,2112.7790423445376,2241.1117472662045
TUR.40.25_1,8,1323.554532559953,2378.4959036452897
TUR.40.25_1,9,3947.9191911114476,4025.2456100572476
TUR.40.25_1,10,6050.89584969759,5302.327042020958
TUR.40.25_1,11,9182.057735111737,4287.346735574821
TUR.40.25_1,12,9111.40302417086,3838.709006404199
TUR.59.4_1,1,8871.944867853406,4079.701562999265
TUR.59.4_1,2,7248.8160039036175,4047.0849903600915
TUR.59.4_1,3,5432.052931774723,3000.822558900634
TUR.59.4_1,4,5165.193623059289,3265.863998822358
TUR.59.4_1,5,4531.136899708311,3037.4508407496314
TUR.59.4_1,6,1153.0494934850658,1002.3194548085484
TUR.59.4_1,7,396.337223430806,535.9670907848848
TUR.59.4_1,8,540.5372477966743,1264.9303130605751
TUR.59.4_1,9,825.1927728759421,759.4214113615967
TUR.59.4_1,10,2997.625780527858,2286.9440190207138
TUR.59.4_1,11,7213.4410488818085,3187.8934378485083
TUR.59.4_1,12,8431.60166564898,3221.836594618778
TUR.81.6_1,1,8529.396225538878,2859.395609306566
TUR.81.6_1,2,8216.293421917608,3814.024768336411
TUR.81.6_1,3,9835.690622722328,3058.1814725862882
TUR.81.6_1,4,6239.809961892651,2478.655116787084
TUR.81.6_1,5,5367.799354560146,2515.438423545006
TUR.81.6_1,6,4977.458452051313,3398.8000816712765
TUR.81.6_1,7,4550.828213143262,3298.7746280082342
TUR.81.6_1,8,2581.3840863212126,2874.583143230203
TUR.81.6_1,9,4902.662058566906,3181.7258196816215
TUR.81.6_1,10,7654.489058229488,5750.653117701129
TUR.81.6_1,11,8124.095971823224,3437.3072148874794
TUR.81.6_1,12,9164.291724487295,3987.4379332159515
