district_id,year,month,temp_c,rh,pr_mm_day,pr_mm,a_raw,lf_raw,eip_dr,R_suit,a_norm,lf_norm,eip_norm,R_norm,CSI_3,CSI_4
TUR.10.4_1,2025,1,1.9076979631174575,82.07717808602479,492.9008113808488,15279.925152806312,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2025,2,1.5397522550158422,86.2872310110294,932.2755886259121,26103.71648152554,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2025,3,8.335869807859554,70.30499235306922,206.8137337312053,6411.225745667364,0,8.96554548862645,0,0.3,0,0.24475375272806651,0,0.3,0.08158458424268884,0.13618843818201662
TUR.10.4_1,2025,4,9.7727491014144,84.49056491570018,530.4722979572483,15914.16893871745,0,14.386226500750487,0,0.3,0,0.3927349348817016,0,0.3,0.1309116449605672,0.1731837337204254
TUR.10.4_1,2025,5,14.633528597214642,82.55988178974857,489.1157327686437,15162.587715827955,0.06025323898493478,28.346250516095036,0.036081764377714334,0.3,0.17841353004798882,0.7738348099828841,0.14229776035314307,0.3,0.36484870012800535,0.348636525096004
TUR.10.4_1,2025,6,20.200050914988797,82.508457048709,330.0178778027822,9900.5363340834665,0.16512527834094684,36.032883778278794,0.10325066127541184,0.3,0.488946060083693,0.9836750633339472,0.4071956598537828,0.3,0.6266055944238077,0.5449541958178558
TUR.10.4_1,2025,7,21.90388303644517,89.0671723615429,424.3382450443057,13154.485596373477,0.19961091922608798,36.61424398305604,0.12641096249400122,0.3,0.5910601543620712,0.9995458312628474,0.4985342916903396,0.3,0.6963800924384195,0.5972850693288145
TUR.10.4_1,2025,8,22.780098915100098,82.17669166736681,106.89647289578556,3313.7906597693527,0.21716585342848888,36.58993826360139,0.1385104983071674,0.3,0.6430413894554017,0.9988823004094455,0.5462519373548519,0.3,0.7293918757398997,0.6220439068049247
TUR.10.4_1,2025,9,17.966311987708597,83.59601243196332,561.9441247393246,16858.32374217974,0.12071120393092216,34.01295810676675,0.0743085831242478,0.3,0.3574332662023912,0.9285323629860988,0.2930550968324252,0.3,0.5263402420069717,0.4697551815052288
TUR.10.4_1,2025,10,11.512502726386574,87.9230093840779,1030.9709347019775,31960.098975761302,0.014524042630265252,20.15921439987889,0.007910378448061733,0.3,0.04300657956132456,0.5503338734580384,0.031196621232862817,0.3,0.20817902475074193,0.23113426856305647
TUR.10.4_1,2025,11,9.041542340727414,81.17020000093409,581.8235648022288,17454.706944066864,0,11.701508510090838,0,0.3,0,0.31944382235942576,0,0.3,0.10648127411980858,0.15486095558985644
TUR.10.4_1,2025,12,4.256676830351353,71.84810634279388,328.10670626673203,10171.307894268693,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2026,1,3.981240140794612,74.199668015224,426.1648847553207,13211.111427414942,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2026,2,4.729166994624607,73.13338427030675,416.70430458793277,11667.720528462118,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2026,3,5.834232825895443,76.21394315873329,472.7422497280985,14655.009741571053,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2026,4,10.756913339390474,73.5511423082783,337.22856256713595,10116.85687701408,0.005525131564883301,17.75829625260054,0.002444738702856037,0.3,0.016360252877307874,0.4847903181568294,0.009641458727554036,0.3,0.17026400992056379,0.20269800744042282
TUR.10.4_1,2026,5,15.082682497361127,79.9875017238306,600.1325674020729,18604.10958946426,0.06781365574401645,29.295156317769177,0.04079920160226115,0.3,0.20080038700947098,0.7997393415297718,0.16090219290340305,0.3,0.38714730714754864,0.3653604803606615
TUR.10.4_1,2026,6,17.19030054877786,85.06349550085744,358.5918060198482,10757.754180595446,0.10584387143093447,32.97723549946748,0.06479624094312894,0.3,0.3134101843165657,0.9002577872513177,0.25554071771514514,0.3,0.4897362297610095,0.44230217232075714
TUR.10.4_1,2026,7,20.535209711860208,89.92673046701165,499.4257241753051,15482.197449434458,0.1719071644568759,36.21283983039335,0.10775082948865557,0.3,0.5090276401399765,0.9885877503686669,0.4249432359216678,0.3,0.6408528754767704,0.5556396566075777
TUR.10.4_1,2026,8,22.256203651428223,91.02319587879259,897.1354584890319,27811.199213159987,0.20669891460030698,36.63086562538184,0.13126721620519818,0.3,0.6120481426757686,0.9999995916437302,0.5176861829220438,0.3,0.7099113057471809,0.6074334793103856
TUR.10.4_1,2026,9,19.28712802774766,85.53725083528363,630.5700023061019,18917.100069183056,0.14675992136436228,35.37977563059426,0.09117869359798743,0.3,0.43456511353236865,0.9658456216914001,0.35958673625541177,0.3,0.5866658238263934,0.514999367869795
TUR.10.4_1,2026,10,14.798754748176124,82.22702549735915,451.1824331391769,13986.655427314485,0.06300937313883898,28.702024300905727,0.03779953078914771,0.3,0.18657461204072323,0.7835472105351036,0.14907221601994516,0.3,0.37306467953192396,0.354798509648943
TUR.10.4_1,2026,11,11.483078290434445,72.70373118989893,712.0933383057626,21362.80014917288,0.014157045767433119,20.068772454756967,0.007686917308781502,0.3,0.04191987937860426,0.5478648652420076,0.030315344493935425,0.3,0.20670002970484913,0.23002502227863686
TUR.10.4_1,2026,12,4.926443494856358,75.02239986086029,546.8604951435029,16952.67534944859,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2027,1,4.327662813066341,70.62942417977479,418.15132629205056,12962.691115053567,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.10.4_1,2027,2,5.652651081614963,72.74163774931066,463.54461085549246,12979.249103953789,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
