district_id,month,pr_mm_mean,pr_mm_sd
TUR.10.4_1,1,18605.161741376618,7354.364959408383
TUR.10.4_1,2,14576.917371121848,5483.267353254673
TUR.10.4_1,3,15709.617120772797,4584.843635730289
TUR.10.4_1,4,13212.12239245579,3780.905101730531
TUR.10.4_1,5,14118.185408691179,3268.91491665649
TUR.10.4_1,6,16023.48273811999,5959.04691521218
TUR.10.4_1,7,13765.61980550349,6873.9981541257375
TUR.10.4_1,8,15815.292313605387,10160.08929326658
TUR.10.4_1,9,17843.659770818016,7932.577122061806
TUR.10.4_1,10,25102.27430817926,9974.084873993497
TUR.10.4_1,11,22701.90130290418,9614.416215045681
TUR.10.4_1,12,17185.016127653496,7575.54782022858
TUR.39.3_1,1,7366.532357535891,3886.785460260069
TUR.39.3_1,2,6440.190852956515,2902.4184288603446
TUR.39.3_1,3,7172.664265595956,3239.128317658259
TUR.39.3_1,4,6070.593720650458,2672.3826145361836
TUR.39.3_1,5,3883.8847358604517,2479.6529168891016
TUR.39.3_1,6,1672.5207498694585,1363.1825884295065
TUR.39.3_1,7,447.0588725894416,655.7299739716765
TUR.39.3_1,8,393.7831349039226,622.6660412423809
TUR.39.3_1,9,1009.1018823654929,1048.83648225838
TUR.39.3_1,10,3295.2931875061286,2178.731150199719
TUR.39.3_1,11,6713.2941693464745,3778.0397310575477
TUR.39.3_1,12,6172.015262569298,3389.153908594555
TUR.40.25_1,1,7060.618384333493,3282.6853475447924
TUR.40.25_1,2,5913.5928110207315,3034.293304970991
TUR.40.25_1,3,7017.131058168703,3842.5912492211
TUR.40.25_1,4,4764.468956657519,2782.1357827606394
TUR.40.25_1,5,2545.8324499449604,1839.5568694583244
TUR.40.25_1,6,2232.3392426509736,2150.448673861008
TUR.40.25_1,7,1342.583121292745,1724.0976110226075
TUR.40.25_1,8,1200.837342217858,1773.4622655581807
TUR.40.25_1,9,4092.873401577869,3645.198358145302
TUR.40.25_1,10,6441.214764723772,5265.070401228051
TUR.40.25_1,11,8218.115047571056,3748.7015314360647
TUR.40.25_1,12,8092.192632379893,4766.028176002193
TUR.59.4_1,1,8181.220775006941,4153.716017750265
TUR.59.4_1,2,7484.743586447022,3531.3855215428425
TUR.59.4_1,3,6387.901162147633,3325.8313498386374
TUR.59.4_1,4,4972.247204048866,2676.0625943896544
TUR.59.4_1,5,3247.1786124195683,2115.792480624103
TUR.59.4_1,6,1023.1192442847394,923.4368497065926
TUR.59.4_1,7,291.486778686549,401.2782071384761
TUR.59.4_1,8,466.8593312662765,992.7301748401051
TUR.59.4_1,9,600.4960449042607,661.4698809960549
TUR.59.4_1,10,2652.0677832225533,1927.7551622591352
TUR.59.4_1,11,7617.341853871765,4523.883870105536
TUR.59.4_1,12,7122.107243258015,3646.3290743836446
TUR.81.6_1,1,8333.171118058375,3341.637280577619
TUR.81.6_1,2,8102.17267019579,2979.802182953383
TUR.81.6_1,3,9149.278541295014,3095.1090385947236
TUR.81.6_1,4,7139.721943945508,3186.634656579456
TUR.81.6_1,5,5075.711128071441,2506.1694583050985
TUR.81.6_1,6,4236.706058809788,2822.8135732148057
TUR.81.6_1,7,2788.5667313424237,3094.8073400696244
TUR.81.6_1,8,3169.698012047751,3223.871766279564
TUR.81.6_1,9,5468.910664407728,4089.0463290571347
TUR.81.6_1,10,8739.992244743224,5283.325467646534
TUR.81.6_1,11,8236.357350250362,3405.932958831539
TUR.81.6_1,12,9927.986371051591,4554.927789618675
