district_id,month,R_suit_mean,pr_mm_mean,m_eff_factor
TUR.10.4_1,1,0.3,18605.161741376618,0.3
TUR.10.4_1,2,0.3,14576.917371121848,0.3
TUR.10.4_1,3,0.3,15709.617120772797,0.3
TUR.10.4_1,4,0.3,13212.12239245579,0.3
TUR.10.4_1,5,0.3,14118.185408691179,0.3
TUR.10.4_1,6,0.3,16023.48273811999,0.3
TUR.10.4_1,7,0.3,13765.61980550349,0.3
TUR.10.4_1,8,0.3,15815.292313605387,0.3
TUR.10.4_1,9,0.3,17843.659770818016,0.3
TUR.10.4_1,10,0.3,25102.27430817926,0.3
TUR.10.4_1,11,0.3,22701.90130290418,0.3
TUR.10.4_1,12,0.3,17185.016127653496,0.3
TUR.39.3_1,1,0.3,7366.532357535891,0.3
TUR.39.3_1,2,0.3,6440.190852956515,0.3
TUR.39.3_1,3,0.3,7172.664265595956,0.3
TUR.39.3_1,4,0.3,6070.593720650458,0.3
TUR.39.3_1,5,0.3207342287364781,3883.8847358604517,0.3207342287364781
TUR.39.3_1,6,0.3709422670984847,1672.5207498694585,0.3709422670984847
TUR.39.3_1,7,0.4918954894157071,447.0588725894416,0.4918954894157071
TUR.39.3_1,8,0.4923389740730717,393.7831349039226,0.4923389740730717
TUR.39.3_1,9,0.40452617250866346,1009.1018823654929,0.40452617250866346
TUR.39.3_1,10,0.3202050748235257,3295.2931875061286,0.3202050748235257
TUR.39.3_1,11,0.3,6713.2941693464745,0.3
TUR.39.3_1,12,0.3,6172.015262569298,0.3
TUR.40.25_1,1,0.3,7060.618384333493,0.3
TUR.40.25_1,2,0.3,5913.5928110207315,0.3
TUR.40.25_1,3,0.3,7017.131058168703,0.3
TUR.40.25_1,4,0.3137254901960784,4764.468956657519,0.3137254901960784
TUR.40.25_1,5,0.32119613845674266,2545.8324499449604,0.32119613845674266
TUR.40.25_1,6,0.3333729750405935,2232.3392426509736,0.3333729750405935
TUR.40.25_1,7,0.36534892617303727,1342.583121292745,0.36534892617303727
TUR.40.25_1,8,0.32695344916782393,1200.837342217858,0.32695344916782393
TUR.40.25_1,9,0.3476742123813308,4092.873401577869,0.3476742123813308
TUR.40.25_1,10,0.3090902823759128,6441.214764723772,0.3090902823759128
TUR.40.25_1,11,0.3,8218.115047571056,0.3
TUR.40.25_1,12,0.3,8092.192632379893,0.3
TUR.59.4_1,1,0.3,8181.220775006941,0.3
TUR.59.4_1,2,0.3,7484.743586447022,0.3
TUR.59.4_1,3,0.3,6387.901162147633,0.3
TUR.59.4_1,4,0.3,4972.247204048866,0.3
TUR.59.4_1,5,0.32208967795121135,3247.1786124195683,0.32208967795121135
TUR.59.4_1,6,0.4331292839193472,1023.1192442847394,0.4331292839193472
TUR.59.4_1,7,0.5154863500131593,291.486778686549,0.5154863500131593
TUR.59.4_1,8,0.45613197220101626,466.8593312662765,0.45613197220101626
TUR.59.4_1,9,0.4407119674548047,600.4960449042607,0.4407119674548047
TUR.59.4_1,10,0.3338916678707923,2652.0677832225533,0.3338916678707923
TUR.59.4_1,11,0.3,7617.341853871765,0.3
TUR.59.4_1,12,0.3,7122.107243258015,0.3
TUR.81.6_1,1,0.3,8333.171118058375,0.3
TUR.81.6_1,2,0.3,8102.17267019579,0.3
TUR.81.6_1,3,0.3,9149.278541295014,0.3
TUR.81.6_1,4,0.3,7139.721943945508,0.3
TUR.81.6_1,5,0.3,5075.711128071441,0.3
TUR.81.6_1,6,0.32745098039215687,4236.706058809788,0.32745098039215687
TUR.81.6_1,7,0.338972237216121,2788.5667313424237,0.338972237216121
TUR.81.6_1,8,0.32969052422507045,3169.698012047751,0.32969052422507045
TUR.81.6_1,9,0.3,5468.910664407728,0.3
TUR.81.6_1,10,0.3,8739.992244743224,0.3
TUR.81.6_1,11,0.3,8236.357350250362,0.3
TUR.81.6_1,12,0.3034424435273405,9927.986371051591,0.3034424435273405
