|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Çıkış Yapan Ziyaretçi Sayısı, Aylık|Ölçüm bazında|2024|3245893.0|2684623.0|3079574.0|4040974.0|5585634.0|6471276.0|7395701.0|8661295.0|7149583.0|6723819.0|4018247.0|3175828.0|
||2025|3355818.0|2782758.0|2982576.0|4242307.0|5618724.0|6551137.0|7403653.0|8912005.0|7324078.0|7079267.0|4255110.0|3409623.0|
|||||||||||||||
