trait,form,c,T0,Tm,unit,notes,source
a_biting,briere,2.71e-4,14.67,41,1/day,"Biting rate a(T); c unit: 1/(day*degC^3.5); fill c,T0,Tm from your selected source | Species override: Ae. aegypti","Mordecai et al. 2017, PLOS NTD (Ae. aegypti thermal response)"
eip_dev_rate,briere,1.04e-4,11.5,38.97,1/day,"EIP development rate; mean EIP=1/rate; fill c,T0,Tm from your selected source | Species override: Ae. aegypti","Mordecai et al. 2017, PLOS NTD (Ae. aegypti thermal response)"
lifespan_temp,quadratic,0.148,9.16,37.73,days,Adult lifespan lf(T) days; mu_v=1/lf in mu_v_of_TRH(); Ae. aegypti override,"Mordecai et al. 2017, PLOS NTD (Ae. aegypti thermal response)"
vpd_ref,scalar,1,,,kPa,Reference VPD (kPa); Schmidt et al. 2018 / Brady et al. 2013,Schmidt et al. 2018 Parasites & Vectors; Brady et al. 2013 Parasites & Vectors
k_vpd,scalar,0.5,,,per_kPa,VPD sensitivity of mortality (/kPa); Schmidt et al. 2018 / Brady et al. 2013,Schmidt et al. 2018 Parasites & Vectors; Brady et al. 2013 Parasites & Vectors
