district_id,month,variable,era5_mean,era5_sd,n_era5,hist_mean,hist_sd,n_hist,method,delta_add,ratio_mult,correction
TUR.10.4_1,1,hurs,77.30969117716823,3.2285960030888514,34,72.43531765657313,5.059710951433753,34,additive,4.8743735205951,1.0672927748271257,4.8743735205951
TUR.10.4_1,1,pr,6.25207336509929,2.7571975211043505,34,0.09431244016570203,0.03906935952017946,34,multiplicative,6.157760924933588,66.29107839978187,66.29107839978187
TUR.10.4_1,1,tas,2.079283100717208,1.7199548937943272,34,0.26497935747508616,1.6370493799065549,34,additive,1.8143037432421218,7.846962572972146,1.8143037432421218
TUR.10.4_1,2,hurs,76.99643360915239,3.2591888486413736,34,72.80739290574017,4.114447277183297,34,additive,4.189040703412218,1.0575359250788658,4.189040703412218
TUR.10.4_1,2,pr,5.785616895731757,2.448620896844156,34,0.08824547402122442,0.031384144522450245,34,multiplicative,5.697371421710533,65.56276069569557,65.56276069569557
TUR.10.4_1,2,tas,2.125266538823352,1.9143649856777663,34,0.9241840607240138,1.743530226458201,34,additive,1.2010824780993383,2.299613928808077,1.2010824780993383
TUR.10.4_1,3,hurs,75.84025249747123,3.43808947071984,34,72.49144453160903,4.3032093514108505,34,additive,3.3488079658621928,1.046195906116921,3.3488079658621928
TUR.10.4_1,3,pr,4.966414907399346,1.5720421668067694,34,0.07624878257732182,0.023655238843019035,34,multiplicative,4.8901661248220245,65.13435020897599,65.13435020897599
TUR.10.4_1,3,tas,4.414755854536505,1.9843784242247058,34,3.1548166420749006,2.0619255753789627,34,additive,1.2599392124616045,1.399370028564624,1.2599392124616045
TUR.10.4_1,4,hurs,75.25460659194098,3.7842034208680437,34,74.13473869772518,3.8475159350262835,34,additive,1.1198678942158011,1.0151058453012416,1.1198678942158011
TUR.10.4_1,4,pr,4.196180273504818,1.314147109369265,34,0.0737491044051507,0.026271757146012212,34,multiplicative,4.122431169099667,56.898050591265935,56.898050591265935
TUR.10.4_1,4,tas,9.278517218197093,1.83848510020318,34,6.943192776511697,1.467126775363458,34,additive,2.3353244416853958,1.3363473429091044,2.3353244416853958
TUR.10.4_1,5,hurs,80.86145066253695,3.605238972228669,34,77.79609096751494,3.1828046291076455,34,additive,3.0653596950220106,1.0394024899824594,3.0653596950220106
TUR.10.4_1,5,pr,4.999482828028062,1.5752304758126932,34,0.08463079383706346,0.024766631284533863,34,multiplicative,4.914852034190998,59.07403914529481,59.07403914529481
TUR.10.4_1,5,tas,13.653364770552692,1.3713085059031136,34,11.914112792295569,1.1321142461069227,34,additive,1.7392519782571227,1.145982500634192,1.7392519782571227
TUR.10.4_1,6,hurs,84.98997798197244,2.3720047526272885,34,80.69105462466969,3.835760080945368,34,additive,4.298923357302755,1.0532763312773514,4.298923357302755
TUR.10.4_1,6,pr,6.337672654320212,1.7238850698702466,34,0.08721298998331323,0.02823437797756714,34,multiplicative,6.250459664336899,72.66890695448947,72.66890695448947
TUR.10.4_1,6,tas,16.977931162890265,0.9310470621322664,34,15.29060417063096,1.1475398009021487,34,additive,1.6873269922593046,1.110350576957593,1.6873269922593046
TUR.10.4_1,7,hurs,88.23371643431116,1.4638667168056143,34,83.05313312306123,2.830976302395702,34,additive,5.180583311249933,1.062376735427594,5.180583311249933
TUR.10.4_1,7,pr,7.026376724243164,2.667200072047761,34,0.07340180917697794,0.025258283010927966,34,multiplicative,6.952974915066186,95.72484388364295,95.72484388364295
TUR.10.4_1,7,tas,19.34201487372903,1.1292068216411584,34,16.65226223889519,0.8690001695084429,34,additive,2.689752634833841,1.161524758392965,2.689752634833841
TUR.10.4_1,8,hurs,89.32350275996791,1.283914080083067,34,82.57636126349954,3.3547504293631634,34,additive,6.747141496468373,1.0817079051829177,6.747141496468373
TUR.10.4_1,8,pr,7.8516611281563256,2.757320759919282,34,0.06073014257366166,0.025057082569975426,34,multiplicative,7.790930985582664,129.28771110050957,129.28771110050957
TUR.10.4_1,8,tas,19.750418270335476,1.2955304666654952,34,16.178792560801785,1.2865501595810263,34,additive,3.5716257095336914,1.2207597196212947,3.5716257095336914
TUR.10.4_1,9,hurs,86.08391984163129,1.6983409814970971,34,79.93704986572266,3.187599524867342,34,additive,6.146869975908629,1.0768963826690385,6.146869975908629
TUR.10.4_1,9,pr,9.167080928297604,2.677634765997299,34,0.08146012618261225,0.03368230620447409,34,multiplicative,9.085620802114992,112.53457805537168,112.53457805537168
TUR.10.4_1,9,tas,17.188904341529398,1.1566634683876174,34,14.666714668273926,1.473724886874574,34,additive,2.522189673255472,1.1719669149023064,2.522189673255472
TUR.10.4_1,10,hurs,82.36694769548645,3.4143446438340264,34,76.55277925379136,3.4250854056867395,34,additive,5.814168441695088,1.075949802193591,5.814168441695088
TUR.10.4_1,10,pr,8.576677020858316,2.954597591524636,34,0.08007523899569231,0.03262355760635914,34,multiplicative,8.496601781862624,107.10772928594946,107.10772928594946
TUR.10.4_1,10,tas,13.573876661412855,1.3032453655284595,34,11.793169246000403,1.0408835933253406,34,additive,1.7807074154124525,1.1509948155807541,1.7807074154124525
TUR.10.4_1,11,hurs,78.2572267092004,4.2017864943027785,34,74.10544406666475,4.058613668802727,34,additive,4.15178264253565,1.0560253392287986,4.15178264253565
TUR.10.4_1,11,pr,7.1992181898916465,3.237431784135592,34,0.08502273929907996,0.040962345891885146,34,multiplicative,7.114195450592566,84.67403249108854,84.67403249108854
TUR.10.4_1,11,tas,8.227574067957262,2.049179823098562,34,6.762865452205434,2.0006823867374157,34,additive,1.464708615751828,1.216581067020071,1.464708615751828
TUR.10.4_1,12,hurs,76.7769704291694,3.2774433058206625,34,72.94449671577004,5.061855005593162,34,additive,3.8324737133993523,1.0525395867536476,3.8324737133993523
TUR.10.4_1,12,pr,6.347509668153875,2.0385358598730985,34,0.1071098937159952,0.03674787412921181,34,multiplicative,6.24039977443788,59.26165593053868,59.26165593053868
