month,seasonal_multiplier
1,0.6279892517689902
2,0.520085854004514
3,0.5766633896290498
4,0.7879489782849164
5,1.0658170884747757
6,1.2387599814800696
7,1.407791895937949
8,1.6716641364809814
9,1.3768102756615694
10,1.3130216771444592
11,0.7870049555407285
12,0.6264425155919956
