scenario,m_val,beta_vh,ip_days,gamma_day,mean_delta_pct,mean_delta_abs,mean_p_mean
m_200,2,0.3,5,0.2,9573473.759359054,0.21458360233111,0.2732792403159754
beta_plus_20,1,0.36,5,0.2,4309.843608106505,0.07865073791851902,0.13734637590338442
ip_plus_20,1,0.3,6,0.16666666666666666,4309.843608106505,0.07865073791851904,0.13734637590338444
m_120,1.2,0.3,5,0.2,4309.843608106505,0.07865073791851902,0.13734637590338442
m_050,0.5,0.3,5,0.2,-99.99995842314833,-0.0586956241210707,1.3863794690038845e-8
beta_minus_20,1,0.24,5,0.2,-96.7124274034338,-0.056221897405326814,0.0024737405795385746
ip_minus_20,1,0.3,4,0.25,-96.7124274034338,-0.056221897405326814,0.0024737405795385746
m_080,0.8,0.3,5,0.2,-96.7124274034338,-0.056221897405326814,0.0024737405795385746
