district_id,province_name,district_name,pi_scenario,year,month,V_TR,A_d,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.003624691199245481,33820,58.187935602266435,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6279892517689902,1,0.25,31,3,2.7680547566603604e-5,8.304164269981082e-5,8.580969745647117e-4,8.580969745647117e-4,8.303819483801433e-5,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.003624691199245481,33820,48.189872828582644,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.520085854004514,1,0.25,29,3,2.2924375186257746e-5,6.877312555877324e-5,6.648068804014746e-4,6.648068804014746e-4,6.877076074163213e-5,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.003624691199245481,33820,53.43220777329991,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.5766633896290498,1,0.25,31,3,2.5418203164435104e-5,7.62546094933053e-5,7.879642980974883e-4,7.879642980974883e-4,7.625170218450439e-5,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.003624691199245481,33820,73.00940943998869,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7879489782849164,1,0.25,30,3,3.473126189983837e-5,1.041937856995151e-4,0.0010419378569951512,0.0010419378569951512,1.0418835771552892e-4,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.003624691199245481,33820,98.75598337593676,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.0658170884747757,1,0.25,31,3,4.697914897702363e-5,1.409374469310709e-4,0.0014563536182877325,0.0014563536182877325,1.4092751571570528e-4,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.003624691199245481,33820,114.78044540727659,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.2387599814800696,1,0.25,30,3,5.4602136094484766e-5,1.6380640828345428e-4,0.001638064082834543,0.001638064082834543,1.6379299274627002e-4,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.003624691199245481,33820,130.44252580992173,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.407791895937949,1,0.25,31,3,6.205273486706784e-5,1.8615820460120348e-4,0.0019236347808791027,0.0019236347808791027,1.861408782377616e-4,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.003624691199245481,33820,154.89227697475835,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.6716641364809814,1,0.25,31,3,7.368371117005806e-5,2.2105113351017416e-4,0.0022841950462718,0.0022841950462718,2.2102670350854225e-4,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.003624691199245481,33820,127.5718452681487,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3768102756615694,1,0.25,30,3,6.068712516700526e-5,1.820613755010158e-4,0.001820613755010158,0.001820613755010158,1.8204480333450235e-4,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.003624691199245481,33820,121.66135101650853,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3130216771444592,1,0.25,31,3,5.787544753002977e-5,1.7362634259008932e-4,0.0017941388734309229,0.0017941388734309229,1.7361127040893543e-4,0.15,0.6
