district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.06705690518671184,3.858537867424856e-4,2.390332958990271e-5,0.6281034622015411,1,0.25,31,3,2.4043249589352446e-7,7.212974876805733e-7,7.453407372699258e-6,7.453407372699258e-6,7.212972275016938e-7,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.06705690518671184,3.858537867424856e-4,2.4911093353785496e-5,0.6545846179366359,1,0.25,29,3,2.505691237683182e-7,7.517073713049545e-7,7.266504589281228e-6,7.266504589281228e-6,7.517070887974597e-7,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.06705690518671184,3.858537867424856e-4,2.480168879337441e-5,0.6517097770197132,1,0.25,31,3,2.494686740831462e-7,7.484060222494386e-7,7.733528896577532e-6,7.733528896577532e-6,7.484057421569545e-7,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.06705690518671184,3.858537867424856e-4,3.0496219788345158e-5,0.8013462854757657,1,0.25,30,3,3.0674731783502803e-7,9.20241953505084e-7,9.20241953505084e-6,9.20241953505084e-6,9.202415300890721e-7,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.06705690518671184,3.858537867424856e-4,4.1983694702762975e-5,1.103207914941687,1,0.25,31,3,4.222944952606549e-7,1.2668834857819647e-6,1.3091129353080302e-5,1.3091129353080302e-5,1.266882683315096e-6,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.06705690518671184,3.858537867424856e-4,4.7547177973283894e-5,1.2494033544433176,1,0.25,30,3,4.782549907875317e-7,1.4347649723625951e-6,1.4347649723625951e-5,1.4347649723625951e-5,1.4347639430978276e-6,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.06705690518671184,3.858537867424856e-4,5.456147630578112e-5,1.4337240087847871,1,0.25,31,3,5.488085615225684e-7,1.6464256845677052e-6,1.701306540719962e-5,1.701306540719962e-5,1.6464243292046987e-6,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.06705690518671184,3.858537867424856e-4,5.8387165185136425e-5,1.5342554185233497,1,0.25,31,3,5.872893899910864e-7,1.7618681699732591e-6,1.8205971089723678e-5,1.8205971089723678e-5,1.7618666179330944e-6,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.06705690518671184,3.858537867424856e-4,5.0261602678958184e-5,1.3207324366221658,1,0.25,30,3,5.055581288062621e-7,1.5166743864187863e-6,1.5166743864187864e-5,1.5166743864187864e-5,1.5166732362237312e-6,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.06705690518671184,3.858537867424856e-4,4.7326462954133675e-5,1.243603460048037,1,0.25,31,3,4.760349208706658e-7,1.4281047626119974e-6,1.475708254699064e-5,1.475708254699064e-5,1.4281037428176546e-6,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.06705690518671184,3.858537867424856e-4,2.7597745537177865e-5,0.7251823004971923,1,0.25,30,3,2.775929108780304e-7,8.327787326340911e-7,8.327787326340911e-6,8.327787326340911e-6,8.327783859174431e-7,0.15,0.6
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.06705690518671184,3.858537867424856e-4,2.4894438036215938e-5,0.6541469635058071,1,0.25,31,3,2.5040159566065074e-7,7.512047869819523e-7,7.762449465480173e-6,7.762449465480173e-6,7.51204504823022e-7,0.15,0.6
