district_id,year,month,species,temp_c,rh,lambda_import,lambda_local_i1_mean,lambda_local_i1_p2_5,lambda_local_i1_p97_5,p_establishment_mean,p_establishment_p2_5,p_establishment_p97_5,q_extinction_mean,q_extinction_p2_5,q_extinction_p97_5,q_import_month,p_month_major_mean,p_month_major_p2_5,p_month_major_p97_5
TUR.10.4_1,2061,1,aegypti,0.8031257265795242,83.32779606698182,0.0010737469566399456,0,0,0,0,0,0,1,1,1,1.0390559724338111e-4,0,0,0
TUR.10.4_1,2061,2,aegypti,1.7011683087878149,85.749900383588,8.031952179354607e-4,0,0,0,0,0,0,1,1,1,8.605292772745354e-5,0,0,0
TUR.10.4_1,2061,3,aegypti,5.426769275327816,82.80480924760047,9.85989103914856e-4,0,0,0,0,0,0,1,1,1,9.541374819765913e-5,0,0,0
TUR.10.4_1,2061,4,aegypti,9.6474091165206,75.58205661491893,0.0013037892407487099,0,0,0,0,0,0,1,1,1,1.30370425112325e-4,0,0,0
TUR.10.4_1,2061,5,aegypti,13.033696062424603,80.01424275166264,0.0018223526148909623,0,0,0,0,0,0,1,1,1,1.7634115473730283e-4,0,0,0
TUR.10.4_1,2061,6,aegypti,18.660416210398953,82.49221406775197,0.0020497290817474536,0.02594268094459195,0.02594268094459195,0.02594268094459195,0,0,0,1,1,1,2.0495190266345276e-4,0,0,0
TUR.10.4_1,2061,7,aegypti,22.3332176769481,83.33117230050775,0.002407067094839081,0.1481703862842376,0.1481703862842376,0.1481703862842376,4.32327393738996e-5,4.32327393738996e-5,4.32327393738996e-5,0.9999567672606261,0.9999567672606261,0.9999567672606261,2.329148480441079e-4,1.0069546921802345e-8,1.0069546921802345e-8,1.0069546921802345e-8
TUR.10.4_1,2061,8,aegypti,23.849696159362793,80.1812311571129,0.0028582404460178214,0.21375119857108313,0.21375119857108313,0.21375119857108313,0.07446199313461832,0.07446199313461832,0.07446199313461832,0.9255380068653817,0.9255380068653817,0.9255380068653817,2.7656566279499195e-4,2.0593630484311858e-5,2.0593630484311858e-5,2.0593630484311858e-5
TUR.10.4_1,2061,9,aegypti,20.743558462928323,85.79331620393597,0.002278155659097429,0.08523989961413675,0.08523989961413675,0.08523989961413675,1.0412004591842106e-11,1.0412004591842106e-11,1.0412004591842106e-11,0.999999999989588,0.999999999989588,0.999999999989588,2.2778961791414254e-4,2.3717465476960108e-15,2.3717465476960108e-15,2.3717465476960108e-15
TUR.10.4_1,2061,10,aegypti,11.544933375190285,84.67476414482009,0.0022450273246949833,0,0,0,0,0,0,1,1,1,2.1723710944276942e-4,0,0,0
TUR.10.4_1,2061,11,aegypti,10.678685475798215,80.11764873140284,0.0013022272021766526,0,0,0,0,0,0,1,1,1,1.302142416073071e-4,0,0,0
TUR.10.4_1,2061,12,aegypti,6.4483267441391945,74.79234309816498,0.0010711023201941871,0,0,0,0,0,0,1,1,1,1.0364969124410095e-4,0,0,0
TUR.10.4_1,2062,1,aegypti,3.220569598077632,80.7165366065326,0.0011580785431789433,0,0,0,0,0,0,1,1,1,1.1206583723677443e-4,0,0,0
TUR.10.4_1,2062,2,aegypti,4.229481230311863,75.30707506620519,8.662777967592409e-4,0,0,0,0,0,0,1,1,1,9.28111710010171e-5,0,0,0
TUR.10.4_1,2062,3,aegypti,5.103153724332943,77.05306974564735,0.0010634282295199277,0,0,0,0,0,0,1,1,1,1.0290711400806618e-4,0,0,0
