delta_temp,mean_R0_shifted,median_R0_shifted,max_R0_shifted,prop_R0_gt1_shifted,mean_lambda_shifted,max_lambda_shifted
0,0.10280059646973584,0.0077428908963070985,0.36422962291961297,0,0.02056011929394716,0.07284592458392268
1,0.11120718760722689,0.01576625942903757,0.3642296423836851,0,0.02224143752144537,0.07284592847673711
2,0.11898385379804452,0.02364222586949322,0.3642294240817475,0,0.02379677075960889,0.0728458848163496
3,0.1266247162001512,0.03955493467727498,0.3642293714816379,0,0.025324943240030224,0.07284587429632768
4,0.13251357338134198,0.057010790444466046,0.3642291386655373,0,0.026502714676268375,0.07284582773310753
