district_id,month,mean_temp,mean_lambda_local,mean_R0,month_f
TUR.10.4_1,1,0.45661083952176806,0,0,Oca
TUR.10.4_1,2,1.8112146990264164,0,0,Şub
TUR.10.4_1,3,4.7196555289567685,0,0,Mar
TUR.10.4_1,4,9.602624986685958,0,0,Nis
TUR.10.4_1,5,15.406050308077942,8.121973653285197e-4,0.004060986826642598,May
TUR.10.4_1,6,19.35583595201081,0.01842168900539888,0.09210844502699439,Haz
TUR.10.4_1,7,21.43451032451555,0.04573167487088041,0.22865837435440203,Tem
TUR.10.4_1,8,21.91704439649395,0.05198201868597728,0.25991009342988636,Ağu
TUR.10.4_1,9,19.07290464289048,0.016667221283349652,0.08333610641674825,Eyl
TUR.10.4_1,10,14.863548110513126,6.895513254730116e-4,0.0034477566273650576,Eki
TUR.10.4_1,11,7.867120041566737,0,0,Kas
TUR.10.4_1,12,2.272378523852311,0,0,Ara
TUR.39.3_1,1,0.7422670920689901,0,0,Oca
TUR.39.3_1,2,2.591962761154362,0,0,Şub
TUR.39.3_1,3,6.370964241962807,6.385145261414958e-10,3.192572630707479e-9,Mar
TUR.39.3_1,4,11.826319292479871,5.741043333058367e-4,0.002870521666529183,Nis
TUR.39.3_1,5,17.304568197212966,0.013826780484589678,0.06913390242294838,May
TUR.39.3_1,6,23.14101724063649,0.04527474831319437,0.22637374156597181,Haz
TUR.39.3_1,7,28.32128666896446,0.040710979782096764,0.2035548989104838,Tem
TUR.39.3_1,8,28.492967942181757,0.03807531211586152,0.1903765605793076,Ağu
TUR.39.3_1,9,23.581410838108436,0.04321524733598772,0.2160762366799386,Eyl
TUR.39.3_1,10,15.768337960336723,0.007550691678401435,0.03775345839200717,Eki
TUR.39.3_1,11,7.672120000801835,7.297197148248803e-14,3.6485985741244013e-13,Kas
TUR.39.3_1,12,2.058291314863691,0,0,Ara
TUR.40.25_1,1,9.007121843450209,1.5288293796489267e-7,7.644146898244633e-7,Oca
TUR.40.25_1,2,9.313962964450612,4.293605610170366e-6,2.1468028050851828e-5,Şub
TUR.40.25_1,3,11.0017866340338,8.885602311047106e-5,4.4428011555235525e-4,Mar
TUR.40.25_1,4,13.998578931771073,0.002750836911022147,0.013754184555110734,Nis
TUR.40.25_1,5,18.420952983931,0.029946269471781653,0.14973134735890825,May
TUR.40.25_1,6,22.93096979926614,0.08533626801569602,0.42668134007848,Haz
TUR.40.25_1,7,25.0222910712747,0.10926533124428191,0.5463266562214095,Tem
TUR.40.25_1,8,24.971213920443667,0.10957176993897597,0.5478588496948797,Ağu
TUR.40.25_1,9,22.75263797535616,0.08117117290692867,0.4058558645346433,Eyl
TUR.40.25_1,10,18.985286282558068,0.035409734955022275,0.17704867477511138,Eki
TUR.40.25_1,11,14.325897011102414,0.0038788073451567527,0.019394036725783763,Kas
TUR.40.25_1,12,10.465659562279196,7.2013470532636e-5,3.600673526631799e-4,Ara
TUR.59.4_1,1,5.567278428404939,0,0,Oca
TUR.59.4_1,2,6.913268996220009,0,0,Şub
TUR.59.4_1,3,9.640506435843076,1.0938533830664182e-5,5.4692669153320906e-5,Mar
TUR.59.4_1,4,14.863596673105278,0.004791109877345885,0.023955549386729426,Nis
TUR.59.4_1,5,20.122292649512197,0.03189094068337734,0.1594547034168867,May
TUR.59.4_1,6,25.903586668126724,0.06120032667239258,0.3060016333619629,Haz
TUR.59.4_1,7,30.93358627020144,0.034224088894211815,0.17112044447105906,Tem
TUR.59.4_1,8,31.036304137286017,0.03288337613261709,0.16441688066308544,Ağu
TUR.59.4_1,9,26.34836877561083,0.05883439534131792,0.2941719767065896,Eyl
TUR.59.4_1,10,19.035967920340745,0.02641298646209158,0.1320649323104579,Eki
TUR.59.4_1,11,11.915144583758186,3.705323569952331e-4,0.0018526617849761653,Kas
TUR.59.4_1,12,6.792399387733609,0,0,Ara
TUR.81.6_1,1,4.527864657196344,0,0,Oca
TUR.81.6_1,2,5.735207655850579,0,0,Şub
TUR.81.6_1,3,8.437111443164302,0,0,Mar
TUR.81.6_1,4,12.278418447457108,1.172473896183491e-6,5.862369480917455e-6,Nis
TUR.81.6_1,5,16.946359241709988,0.004077841266960036,0.02038920633480018,May
TUR.81.6_1,6,21.59447812099083,0.03981913647806056,0.19909568239030281,Haz
TUR.81.6_1,7,24.24324791104186,0.07199887839838141,0.359994391991907,Tem
TUR.81.6_1,8,24.389553556255265,0.07085075448627712,0.35425377243138556,Ağu
TUR.81.6_1,9,21.06550366270776,0.03102222315225054,0.1551111157612527,Eyl
TUR.81.6_1,10,16.308955117767933,0.002626607104696597,0.013133035523482984,Eki
TUR.81.6_1,11,10.528419008442,0,0,Kas
TUR.81.6_1,12,5.935267418038611,0,0,Ara
