district_id,province_name,district_name,pi_scenario,year,month,V_TR,A_d,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.003624691199245481,33820,58.187935602266435,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6279892517689902,1,0.25,31,3,4.613424594433934e-5,1.3840273783301802e-4,0.0014301616242745196,0.0014301616242745196,1.3839316061592388e-4
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.003624691199245481,33820,48.189872828582644,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.520085854004514,1,0.25,29,3,3.820729197709624e-5,1.1462187593128874e-4,0.001108011467335791,0.001108011467335791,1.1461530709500067e-4
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.003624691199245481,33820,53.43220777329991,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.5766633896290498,1,0.25,31,3,4.2363671940725175e-5,1.270910158221755e-4,0.0013132738301624804,0.0013132738301624804,1.2708294010110865e-4
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.003624691199245481,33820,73.00940943998869,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7879489782849164,1,0.25,30,3,5.788543649973062e-5,1.7365630949919185e-4,0.0017365630949919186,0.0017365630949919186,1.7364123211505156e-4
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.003624691199245481,33820,98.75598337593676,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.0658170884747757,1,0.25,31,3,7.829858162837272e-5,2.3489574488511815e-4,0.0024272560304795542,0.0024272560304795542,2.34868159039614e-4
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.003624691199245481,33820,114.78044540727659,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.2387599814800696,1,0.25,30,3,9.100356015747461e-5,2.730106804724238e-4,0.0027301068047242386,0.0027301068047242386,2.7297341644783035e-4
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.003624691199245481,33820,130.44252580992173,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.407791895937949,1,0.25,31,3,1.034212247784464e-4,3.1026367433533916e-4,0.003206057968131838,0.003206057968131838,3.102155475389612e-4
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.003624691199245481,33820,154.89227697475835,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.6716641364809814,1,0.25,31,3,1.228061852834301e-4,3.684185558502903e-4,0.0038069917437863333,0.0038069917437863333,3.68350698067732e-4
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.003624691199245481,33820,127.5718452681487,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3768102756615694,1,0.25,30,3,1.0114520861167544e-4,3.0343562583502634e-4,0.0030343562583502633,0.0030343562583502633,3.033895939015263e-4
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.003624691199245481,33820,121.66135101650853,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,1.3130216771444592,1,0.25,31,3,9.645907921671628e-5,2.8937723765014886e-4,0.002990231455718205,0.002990231455718205,2.893353720957448e-4
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.003624691199245481,33820,72.92193862023956,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.7870049555407285,1,0.25,30,3,5.7816085348680295e-5,1.7344825604604088e-4,0.0017344825604604088,0.0017344825604604088,1.7343321476692708e-4
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.003624691199245481,33820,58.04461884197614,3.858537867424856e-4,1.0571336623081797e-6,3.171395958068146e-6,0.6264425155919956,1,0.25,31,3,4.602061739576232e-5,1.3806185218728697e-4,0.001426639139268632,0.001426639139268632,1.3805232208841112e-4
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.003624691199245481,33820,58.187935602266435,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.6279892517689902,1.0920669637443554,0.25,31,3,5.038167853761588e-5,1.5114503561284765e-4,0.0015618320346660925,0.0015618320346660925,1.5113361377738777e-4
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.003624691199245481,33820,48.189872828582644,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.520085854004514,1.0920669637443554,0.25,28,3,4.1724915250708334e-5,1.2517474575212502e-4,0.0011682976270198334,0.0011682976270198334,1.2516691172048677e-4
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.003624691199245481,33820,53.43220777329991,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.5766633896290498,1.0920669637443554,0.25,31,3,4.6263959835080354e-5,1.3879187950524108e-4,0.001434182754887491,0.001434182754887491,1.3878224835794928e-4
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.003624691199245481,33820,73.00940943998869,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.7879489782849164,1.0920669637443554,0.25,30,3,6.321476365426197e-5,1.8964429096278592e-4,0.001896442909627859,0.001896442909627859,1.896263096209383e-4
TUR.10.4_1,Artvin,Hopa,high,2025,5,0.003624691199245481,33820,98.75598337593676,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.0658170884747757,1.0920669637443554,0.25,31,3,8.550728182078327e-5,2.565218454623498e-4,0.0026507257364442815,0.0026507257364442815,2.564889465469511e-4
TUR.10.4_1,Artvin,Hopa,high,2025,6,0.003624691199245481,33820,114.78044540727659,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.2387599814800696,1.0920669637443554,0.25,30,3,9.938196712186737e-5,2.9814590136560215e-4,0.0029814590136560213,0.0029814590136560213,2.981014602930765e-4
TUR.10.4_1,Artvin,Hopa,high,2025,7,0.003624691199245481,33820,130.44252580992173,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.407791895937949,1.0920669637443554,0.25,31,3,1.1294288644146643e-4,3.388286593243993e-4,0.0035012294796854596,0.0035012294796854596,3.3877126337689134e-4
TUR.10.4_1,Artvin,Hopa,high,2025,8,0.003624691199245481,33820,154.89227697475835,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.6716641364809814,1.0920669637443554,0.25,31,3,1.3411255831178998e-4,4.0233767493536997e-4,0.00415748930766549,0.00415748930766549,4.0225674798666233e-4
TUR.10.4_1,Artvin,Hopa,high,2025,9,0.003624691199245481,33820,127.5718452681487,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.3768102756615694,1.0920669637443554,0.25,30,3,1.1045732473966645e-4,3.313719742189993e-4,0.0033137197421899936,0.0033137197421899936,3.3131707659039833e-4
TUR.10.4_1,Artvin,Hopa,high,2025,10,0.003624691199245481,33820,121.66135101650853,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,1.3130216771444592,1.0920669637443554,0.25,31,3,1.0533975838673738e-4,3.160192751602121e-4,0.0032655325099888587,0.0032655325099888587,3.15969346328715e-4
TUR.10.4_1,Artvin,Hopa,high,2025,11,0.003624691199245481,33820,72.92193862023956,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.7870049555407285,1.0920669637443554,0.25,30,3,6.313902756435933e-5,1.89417082693078e-4,0.0018941708269307799,0.0018941708269307799,1.89399144410074e-4
TUR.10.4_1,Artvin,Hopa,high,2025,12,0.003624691199245481,33820,58.04461884197614,3.858537867424856e-4,1.1544607488688445e-6,3.4633762491242948e-6,0.6264425155919956,1.0920669637443554,0.25,31,3,5.025758857169317e-5,1.507727657150795e-4,0.0015579852457224884,0.0015579852457224884,1.5076140007286298e-4
TUR.10.4_1,Artvin,Hopa,high,2026,1,0.003624691199245481,33820,58.187935602266435,3.858537867424856e-4,1.0938085680393468e-6,3.281420320244699e-6,0.6279892517689902,1.0346927801457857,0.25,31,3,4.773476856959176e-5,1.4320430570877526e-4,0.0014797778256573446,0.0014797778256573446,1.4319405246165928e-4
TUR.10.4_1,Artvin,Hopa,high,2026,2,0.003624691199245481,33820,48.189872828582644,3.858537867424856e-4,1.0938085680393468e-6,3.281420320244699e-6,0.520085854004514,1.0346927801457857,0.25,28,3,3.9532806982429746e-5,1.1859842094728924e-4,0.0011069185955080328,0.0011069185955080328,1.1859138843262063e-4
TUR.10.4_1,Artvin,Hopa,high,2026,3,0.003624691199245481,33820,53.43220777329991,3.858537867424856e-4,1.0938085680393468e-6,3.281420320244699e-6,0.5766633896290498,1.0346927801457857,0.25,31,3,4.383338308571077e-5,1.315001492571323e-4,0.0013588348756570338,0.0013588348756570338,1.3149150349145433e-4
