scenario,m_val,beta_vh,ip_days,gamma_day,mean_delta_pct,mean_delta_abs,mean_p_mean
m_200,2,0.3,5,0.2,3945326.929324761,0.19093915271418888,0.2901100204150934
beta_plus_20,1,0.36,5,0.2,3690.126625399654,0.07393489327026256,0.17310576097116703
ip_plus_20,1,0.3,6,0.16666666666666666,3690.126625399654,0.07393489327026259,0.17310576097116706
m_120,1.2,0.3,5,0.2,3690.126625399654,0.07393489327026256,0.17310576097116703
m_050,0.5,0.3,5,0.2,-99.95633845871598,-0.09916977043216235,1.0972687421118011e-6
beta_minus_20,1,0.24,5,0.2,-90.75369471947786,-0.09055247320902235,0.00861839449188211
ip_minus_20,1,0.3,4,0.25,-90.75369471947786,-0.09055247320902234,0.00861839449188213
m_080,0.8,0.3,5,0.2,-90.75369471947786,-0.09055247320902234,0.00861839449188213
