district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5,scenario,m_val,beta_vh,beta_hv,ip_days,gamma_day,p_base_mean,p_base_p2_5,p_base_p97_5,delta_abs,delta_pct
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,3.7803128871143587e-6,3.7803128871143587e-6,3.7803128871143587e-6,0.009687706308565703,0.009687706308565703,0.009687706308565703,base,1,0.3,0.33,5,0.2,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,0,0
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,1.7023367160362568e-9,1.7023367160362568e-9,1.7023367160362568e-9,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,2.7815960807316366e-12,2.7815960807316366e-12,2.7815960807316366e-12,9.761459784838668e-8,9.761459784838668e-8,9.761459784838668e-8,base,1,0.3,0.33,5,0.2,1.7023367160362568e-9,1.7023367160362568e-9,1.7023367160362568e-9,0,0
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.4932948687820319,0.4932948687820319,0.4932948687820319,0.04527248508707732,0.04527248508707732,0.04527248508707732,0.001105911372563396,0.001105911372563396,0.001105911372563396,0.015386059923524422,0.015386059923524422,0.015386059923524422,base,1,0.3,0.33,5,0.2,0.4932948687820319,0.4932948687820319,0.4932948687820319,0,0
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,3.694971262924174e-5,3.694971262924174e-5,3.694971262924174e-5,0.014257595668631126,0.014257595668631126,0.014257595668631126,6.037635210671219e-8,6.037635210671219e-8,6.037635210671219e-8,2.7027512784681185e-6,2.7027512784681185e-6,2.7027512784681185e-6,base,1,0.3,0.33,5,0.2,3.694971262924174e-5,3.694971262924174e-5,3.694971262924174e-5,0,0
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,2.1152392587020508e-4,2.1152392587020508e-4,2.1152392587020508e-4,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,3.456627420574808e-7,3.456627420574808e-7,3.456627420574808e-7,0.006680865700805111,0.006680865700805111,0.006680865700805111,base,1,0.3,0.33,5,0.2,2.1152392587020508e-4,2.1152392587020508e-4,2.1152392587020508e-4,0,0
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,5.041689511653402e-6,5.041689511653402e-6,5.041689511653402e-6,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,8.238062084593977e-9,8.238062084593977e-9,8.238062084593977e-9,1.8390562149213282e-5,1.8390562149213282e-5,1.8390562149213282e-5,m_050,0.5,0.3,0.33,5,0.2,0.0023109943816542744,0.0023109943816542744,0.0023109943816542744,-0.002305952692142621,-99.78183895418887
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,0,0,0,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,1.0973435856922112e-20,1.0973435856922112e-20,1.0973435856922112e-20,3.845870608178647e-16,3.845870608178647e-16,3.845870608178647e-16,m_050,0.5,0.3,0.33,5,0.2,1.7023367160362568e-9,1.7023367160362568e-9,1.7023367160362568e-9,-1.7023367160362568e-9,-100
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,4.4453546177436465e-7,4.4453546177436465e-7,4.4453546177436465e-7,0.04527248508707732,0.04527248508707732,0.04527248508707732,7.263652806020185e-10,7.263652806020185e-10,7.263652806020185e-10,9.241992536373779e-9,9.241992536373779e-9,9.241992536373779e-9,m_050,0.5,0.3,0.33,5,0.2,0.4932948687820319,0.4932948687820319,0.4932948687820319,-0.4932944242465701,-99.99990988443426
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,1.8396395518038844e-13,1.8396395518038844e-13,1.8396395518038844e-13,0.014257595668631126,0.014257595668631126,0.014257595668631126,3.0189000621947765e-16,3.0189000621947765e-16,3.0189000621947765e-16,1.3490661021123267e-14,1.3490661021123267e-14,1.3490661021123267e-14,m_050,0.5,0.3,0.33,5,0.2,3.694971262924174e-5,3.694971262924174e-5,3.694971262924174e-5,-3.694971244527778e-5,-99.99999950212344
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,1.1855316728315302e-10,1.1855316728315302e-10,1.1855316728315302e-10,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,1.9371522770280755e-13,1.9371522770280755e-13,1.9371522770280755e-13,3.584519975503662e-9,3.584519975503662e-9,3.584519975503662e-9,m_050,0.5,0.3,0.33,5,0.2,2.1152392587020508e-4,2.1152392587020508e-4,2.1152392587020508e-4,-2.115238073170378e-4,-99.99994395283332
