term,estimate,std.error,conf.low,conf.high,p.value,R2_active,T_opt_active,truncation_bias_deg
(Intercept),-219.4079,3.3098,-225.904,-212.9117,<0.0001,0.926,26.41,0.08
T,15.4858,0.2719,14.9522,16.0194,<0.0001,0.926,26.41,0.08
I(T^2),-0.2932,0.0057,-0.3043,-0.2821,<0.0001,0.926,26.41,0.08
RH,0.2117,0.0064,0.1992,0.2243,<0.0001,0.926,26.41,0.08
