term,estimate,std.error,statistic,p.value
(Intercept),-236.3269,3.3238,-71.102,<0.0001
T,16.7875,0.2755,60.944,<0.0001
I(T^2),-0.3188,0.0058,-55.287,<0.0001
RH,0.2205,0.0068,32.6,<0.0001
