Model,Terim,Katsayi,SE,CI_low,CI_high,p_value
M1,b0 (Sabit),-256.5905,36.4248,-328.3263,-184.8546,<0.0001
M1,b1 (T),20.6841,3.0762,14.6257,26.7424,<0.0001
M1,b2 (T_kare),-0.427,0.0648,-0.5547,-0.2993,<0.0001
M2,b0 (Sabit),-354.8484,18.1489,-390.5919,-319.1049,<0.0001
M2,b1 (T),26.7055,1.5194,23.7131,29.698,<0.0001
M2,b2 (T_kare),-0.5226,0.0319,-0.5854,-0.4598,<0.0001
M2,b3 (RH),0.1508,0.0053,0.1403,0.1612,<0.0001
