Model,R2,Adj_R2,delta_R2,ANOVA_p
M1: T + T^2,0.18991901020195878,0.1834897959972125,NA,NA
M2: + RH,0.8070039452317339,0.8046972194775315,0.6170849350297751,3.769085298478657e-80
