term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-220.9252265638005,3.485873236868405,-63.37729789688868,4.464362277394954e-166,-227.78762263010316,-214.06283049749783
T,15.482721776735431,0.2718531418887085,56.95252101619543,9.577171560650714e-294,14.949146797718257,16.016296755752606
I(T^2),-0.293131304873069,0.0056526887610639075,-51.856968827326334,1.1377857641500889e-266,-0.30422602110693503,-0.28203658863920295
RH,0.2107238667339921,0.006343166142847971,33.22061285933475,3.030218326684777e-156,0.19827393184893616,0.22317380161904804
