Model,AIC,BIC,logLik,delta_AIC,chi2,p_LRT
LMM1: T + T^2 + RH + (1|district),2630.10708953412,2658.6903989854945,-1309.05354476706,NA,NA,NA
LMM2: + (T|district) random slope,1144.5833283196337,1182.6944075881331,-564.2916641598168,1485.5237612144863,1489.5237612144863,5e-324
