district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5
TUR.10.4_1,aegypti,2025,2075,1.1397090351891614,3.5400067494661226e-4,3.5116459591585383e-4,3.5672752976919356e-4,1.8296796198330993e-4,1.8296796198330993e-4,1.8296796198330993e-4,5.785177635408854e-7,5.738823125597176e-7,5.829747160520762e-7,0.001729790814445958,0.001715917888387164,0.0017430360163007822
TUR.39.3_1,albopictus,2025,2075,0.08930304385722287,1.9147861851642743e-11,1.7132098517613767e-11,2.13690898309693e-11,1.4338026506301598e-5,1.4338026506301598e-5,1.4338026506301598e-5,3.1288010361577315e-14,2.7994469239457888e-14,3.4917530456438537e-14,1.1252415654070798e-9,1.0085683547128395e-9,1.253432822911759e-9
TUR.40.25_1,albopictus,2025,2075,239.1124383502067,0.03494987402979564,0.034591421573293486,0.0353119649122698,0.037558238947917745,0.037558238947917745,0.037558238947917745,5.807189390248935e-5,5.746654694631699e-5,5.868396359816275e-5,8.97695675401588e-4,8.887407660225794e-4,9.069278192010051e-4
TUR.59.4_1,albopictus,2025,2075,73.93375411456199,1.4514299787928841e-6,1.319157234744295e-6,1.5983158608512403e-6,0.011790003984745676,0.011790003984745676,0.011790003984745676,2.371618058429257e-9,2.1554860779874583e-9,2.6116277144543895e-9,1.0555776706002492e-7,9.622958747699492e-8,1.158307201805856e-7
TUR.81.6_1,aegypti,2025,2075,0.15407302510008414,9.425931283244315e-6,9.192239433250537e-6,9.670773724695936e-6,2.47370059369938e-5,2.47370059369938e-5,2.47370059369938e-5,1.5401910463074906e-8,1.502005815123147e-8,1.5801983016433226e-8,3.421112870859294e-4,3.336525350838911e-4,3.5101224313445093e-4
